call_id,date,from_person,to_person,duration_sec,phone_id,call_type
CALL_000001,2022-07-19,PERSON_00001,PERSON_00008,760,PHONE_00001,missed
CALL_000002,2024-11-13,PERSON_00002,PERSON_00037,274,PHONE_00002,voice
CALL_000003,2024-08-06,PERSON_00003,PERSON_00066,651,PHONE_00003,voice
CALL_000004,2022-10-27,PERSON_00004,PERSON_00095,449,PHONE_00004,voice
CALL_000005,2023-03-28,PERSON_00005,PERSON_00124,89,PHONE_00005,missed
CALL_000006,2021-01-23,PERSON_00006,PERSON_00370,100,PHONE_00006,voice
CALL_000007,2026-04-03,PERSON_00007,PERSON_00182,385,PHONE_00007,missed
CALL_000008,2022-06-27,PERSON_00008,PERSON_00211,40,PHONE_00008,voice
CALL_000009,2022-01-30,PERSON_00009,PERSON_00240,376,PHONE_00009,voice
CALL_000010,2022-07-14,PERSON_00010,PERSON_00269,68,PHONE_00010,voice
CALL_000011,2024-09-04,PERSON_00011,PERSON_00298,89,PHONE_00011,voice
CALL_000012,2023-11-14,PERSON_00012,PERSON_00327,398,PHONE_00012,missed
CALL_000013,2025-10-10,PERSON_00013,PERSON_00356,342,PHONE_00013,voice
CALL_000014,2023-03-08,PERSON_00014,PERSON_00385,504,PHONE_00014,voice
CALL_000015,2025-12-24,PERSON_00015,PERSON_00414,57,PHONE_00015,voice
CALL_000016,2024-02-15,PERSON_00016,PERSON_00321,43,PHONE_00016,voice
CALL_000017,2022-09-29,PERSON_00017,PERSON_00022,354,PHONE_00017,missed
CALL_000018,2025-07-22,PERSON_00018,PERSON_00051,17,PHONE_00018,voice
CALL_000019,2024-01-15,PERSON_00019,PERSON_00080,356,PHONE_00019,voice
CALL_000020,2024-03-27,PERSON_00020,PERSON_00109,794,PHONE_00020,missed
CALL_000021,2025-11-16,PERSON_00021,PERSON_00018,48,PHONE_00021,voice
CALL_000022,2023-10-11,PERSON_00022,PERSON_00167,294,PHONE_00022,voice
CALL_000023,2023-05-23,PERSON_00023,PERSON_00196,564,PHONE_00023,missed
CALL_000024,2023-12-18,PERSON_00024,PERSON_00225,339,PHONE_00024,voice
CALL_000025,2025-06-24,PERSON_00025,PERSON_00254,617,PHONE_00025,missed
CALL_000026,2025-04-01,PERSON_00026,PERSON_00283,124,PHONE_00026,voice
CALL_000027,2025-05-16,PERSON_00027,PERSON_00312,524,PHONE_00027,missed
CALL_000028,2021-06-09,PERSON_00028,PERSON_00341,72,PHONE_00028,voice
CALL_000029,2021-11-03,PERSON_00029,PERSON_00370,696,PHONE_00029,missed
CALL_000030,2024-03-26,PERSON_00030,PERSON_00399,286,PHONE_00030,voice
CALL_000031,2023-03-05,PERSON_00031,PERSON_00428,365,PHONE_00031,voice
CALL_000032,2021-04-14,PERSON_00032,PERSON_00007,42,PHONE_00032,voice
CALL_000033,2022-05-28,PERSON_00033,PERSON_00036,95,PHONE_00033,voice
CALL_000034,2022-07-04,PERSON_00034,PERSON_00065,465,PHONE_00034,voice
CALL_000035,2026-06-14,PERSON_00035,PERSON_00094,790,PHONE_00035,voice
CALL_000036,2023-01-28,PERSON_00036,PERSON_00123,585,PHONE_00036,missed
CALL_000037,2025-03-27,PERSON_00037,PERSON_00152,421,PHONE_00037,voice
CALL_000038,2022-01-05,PERSON_00038,PERSON_00181,707,PHONE_00038,voice
CALL_000039,2023-06-25,PERSON_00039,PERSON_00210,837,PHONE_00039,voice
CALL_000040,2023-02-22,PERSON_00040,PERSON_00239,837,PHONE_00040,voice
CALL_000041,2022-02-21,PERSON_00041,PERSON_00268,117,PHONE_00041,missed
CALL_000042,2023-06-09,PERSON_00042,PERSON_00297,803,PHONE_00042,missed
CALL_000043,2025-10-08,PERSON_00043,PERSON_00326,847,PHONE_00043,missed
CALL_000044,2022-02-11,PERSON_00044,PERSON_00355,578,PHONE_00044,missed
CALL_000045,2022-12-25,PERSON_00045,PERSON_00384,664,PHONE_00045,voice
CALL_000046,2025-11-06,PERSON_00046,PERSON_00065,75,PHONE_00046,voice
CALL_000047,2025-08-20,PERSON_00047,PERSON_00442,378,PHONE_00047,voice
CALL_000048,2023-04-01,PERSON_00048,PERSON_00021,477,PHONE_00048,voice
CALL_000049,2024-10-02,PERSON_00049,PERSON_00050,371,PHONE_00049,voice
CALL_000050,2022-09-12,PERSON_00050,PERSON_00079,856,PHONE_00050,missed
CALL_000051,2024-01-09,PERSON_00051,PERSON_00108,899,PHONE_00051,missed
CALL_000052,2026-04-25,PERSON_00052,PERSON_00137,18,PHONE_00052,voice
CALL_000053,2021-01-02,PERSON_00053,PERSON_00166,384,PHONE_00053,voice
CALL_000054,2022-11-03,PERSON_00054,PERSON_00195,497,PHONE_00054,voice
CALL_000055,2023-10-08,PERSON_00055,PERSON_00224,778,PHONE_00055,voice
CALL_000056,2026-04-11,PERSON_00056,PERSON_00253,609,PHONE_00056,voice
CALL_000057,2022-07-17,PERSON_00057,PERSON_00282,661,PHONE_00057,voice
CALL_000058,2024-12-13,PERSON_00058,PERSON_00311,294,PHONE_00058,voice
CALL_000059,2021-12-21,PERSON_00059,PERSON_00340,684,PHONE_00059,voice
CALL_000060,2023-09-21,PERSON_00060,PERSON_00369,707,PHONE_00060,missed
CALL_000061,2022-02-01,PERSON_00061,PERSON_00074,21,PHONE_00061,missed
CALL_000062,2023-10-07,PERSON_00062,PERSON_00427,635,PHONE_00062,voice
CALL_000063,2024-02-26,PERSON_00063,PERSON_00006,243,PHONE_00063,voice
CALL_000064,2026-01-01,PERSON_00064,PERSON_00035,544,PHONE_00064,voice
CALL_000065,2023-03-20,PERSON_00065,PERSON_00064,431,PHONE_00065,voice
CALL_000066,2023-01-03,PERSON_00066,PERSON_00093,365,PHONE_00066,missed
CALL_000067,2023-07-10,PERSON_00067,PERSON_00122,669,PHONE_00067,voice
CALL_000068,2024-09-10,PERSON_00068,PERSON_00151,82,PHONE_00068,missed
CALL_000069,2023-07-19,PERSON_00069,PERSON_00180,787,PHONE_00069,voice
CALL_000070,2023-02-12,PERSON_00070,PERSON_00209,121,PHONE_00070,voice
CALL_000071,2026-04-03,PERSON_00071,PERSON_00238,431,PHONE_00071,voice
CALL_000072,2021-02-23,PERSON_00072,PERSON_00267,89,PHONE_00072,missed
CALL_000073,2021-03-21,PERSON_00073,PERSON_00296,752,PHONE_00073,voice
CALL_000074,2022-11-22,PERSON_00074,PERSON_00325,118,PHONE_00074,voice
CALL_000075,2023-10-21,PERSON_00075,PERSON_00354,151,PHONE_00075,voice
CALL_000076,2024-04-25,PERSON_00076,PERSON_00401,111,PHONE_00076,voice
