case_id,person_id,role
CASE_0001,PERSON_00390,employee
CASE_0001,PERSON_00368,owner
CASE_0001,PERSON_00021,associate
CASE_0001,PERSON_00374,associate
CASE_0001,PERSON_00007,owner
CASE_0001,PERSON_00336,witness
CASE_0001,PERSON_00373,associate
CASE_0001,PERSON_00133,complainant
CASE_0002,PERSON_00103,associate
CASE_0002,PERSON_00023,owner
CASE_0002,PERSON_00056,complainant
CASE_0003,PERSON_00046,associate
CASE_0003,PERSON_00413,employee
CASE_0003,PERSON_00226,complainant
CASE_0003,PERSON_00230,associate
CASE_0003,PERSON_00158,subject
CASE_0003,PERSON_00029,witness
CASE_0003,PERSON_00047,associate
CASE_0003,PERSON_00438,subject
CASE_0004,PERSON_00443,complainant
CASE_0004,PERSON_00063,witness
CASE_0004,PERSON_00333,complainant
CASE_0005,PERSON_00268,associate
CASE_0005,PERSON_00303,employee
CASE_0005,PERSON_00196,employee
CASE_0005,PERSON_00107,associate
CASE_0006,PERSON_00003,associate
CASE_0006,PERSON_00270,witness
CASE_0006,PERSON_00242,complainant
CASE_0006,PERSON_00141,employee
CASE_0007,PERSON_00191,employee
CASE_0007,PERSON_00198,owner
CASE_0007,PERSON_00072,witness
CASE_0007,PERSON_00349,associate
CASE_0007,PERSON_00364,complainant
CASE_0007,PERSON_00421,associate
CASE_0008,PERSON_00234,subject
CASE_0008,PERSON_00025,witness
CASE_0008,PERSON_00151,employee
CASE_0009,PERSON_00131,witness
CASE_0009,PERSON_00219,complainant
CASE_0009,PERSON_00355,witness
CASE_0009,PERSON_00136,witness
CASE_0009,PERSON_00382,complainant
CASE_0009,PERSON_00432,complainant
CASE_0009,PERSON_00283,witness
CASE_0009,PERSON_00095,associate
CASE_0010,PERSON_00356,witness
CASE_0010,PERSON_00262,complainant
CASE_0010,PERSON_00355,witness
CASE_0010,PERSON_00083,owner
CASE_0011,PERSON_00373,associate
CASE_0011,PERSON_00289,witness
CASE_0011,PERSON_00044,owner
CASE_0011,PERSON_00261,complainant
CASE_0011,PERSON_00007,witness
CASE_0011,PERSON_00140,witness
CASE_0012,PERSON_00117,subject
CASE_0012,PERSON_00028,witness
CASE_0012,PERSON_00327,complainant
CASE_0013,PERSON_00005,complainant
CASE_0013,PERSON_00103,witness
CASE_0013,PERSON_00282,complainant
CASE_0013,PERSON_00170,witness
CASE_0013,PERSON_00360,owner
CASE_0013,PERSON_00370,subject
CASE_0014,PERSON_00269,owner
CASE_0014,PERSON_00127,subject
CASE_0014,PERSON_00399,subject
CASE_0015,PERSON_00322,subject
CASE_0015,PERSON_00392,witness
CASE_0015,PERSON_00227,owner
CASE_0015,PERSON_00101,subject
CASE_0015,PERSON_00165,associate
CASE_0015,PERSON_00397,complainant
CASE_0015,PERSON_00413,complainant
CASE_0015,PERSON_00383,owner
CASE_0016,PERSON_00424,complainant
CASE_0016,PERSON_00057,complainant
CASE_0016,PERSON_00371,associate
CASE_0016,PERSON_00085,complainant
CASE_0016,PERSON_00305,owner
CASE_0017,PERSON_00151,associate
CASE_0017,PERSON_00046,associate
CASE_0017,PERSON_00391,employee
CASE_0017,PERSON_00058,associate
CASE_0017,PERSON_00388,employee
CASE_0017,PERSON_00332,subject
CASE_0018,PERSON_00076,owner
CASE_0018,PERSON_00011,associate
CASE_0018,PERSON_00090,employee
CASE_0018,PERSON_00422,employee
CASE_0019,PERSON_00330,witness
CASE_0019,PERSON_00119,subject
CASE_0019,PERSON_00354,complainant
CASE_0019,PERSON_00261,subject
CASE_0019,PERSON_00265,witness
CASE_0019,PERSON_00111,complainant
CASE_0019,PERSON_00011,witness
CASE_0019,PERSON_00395,subject
CASE_0020,PERSON_00179,associate
CASE_0020,PERSON_00267,associate
CASE_0020,PERSON_00325,owner
CASE_0020,PERSON_00178,witness
CASE_0021,PERSON_00208,owner
CASE_0021,PERSON_00148,subject
CASE_0021,PERSON_00001,owner
CASE_0021,PERSON_00023,complainant
CASE_0021,PERSON_00010,witness
CASE_0022,PERSON_00390,employee
CASE_0022,PERSON_00307,employee
CASE_0022,PERSON_00173,complainant
CASE_0022,PERSON_00034,associate
CASE_0023,PERSON_00151,witness
CASE_0023,PERSON_00064,witness
CASE_0023,PERSON_00218,owner
CASE_0023,PERSON_00140,witness
CASE_0023,PERSON_00207,witness
CASE_0023,PERSON_00357,owner
CASE_0024,PERSON_00028,complainant
CASE_0024,PERSON_00267,subject
CASE_0024,PERSON_00355,owner
CASE_0024,PERSON_00126,subject
CASE_0025,PERSON_00180,witness
CASE_0025,PERSON_00087,associate
CASE_0025,PERSON_00284,associate
CASE_0025,PERSON_00268,owner
CASE_0025,PERSON_00065,employee
CASE_0025,PERSON_00342,subject
CASE_0026,PERSON_00240,witness
CASE_0026,PERSON_00069,employee
CASE_0026,PERSON_00227,associate
CASE_0026,PERSON_00186,associate
CASE_0027,PERSON_00098,subject
CASE_0027,PERSON_00231,employee
CASE_0027,PERSON_00057,owner
CASE_0027,PERSON_00211,complainant
CASE_0027,PERSON_00355,associate
CASE_0027,PERSON_00338,witness
CASE_0027,PERSON_00340,owner
CASE_0028,PERSON_00174,complainant
CASE_0028,PERSON_00009,witness
CASE_0028,PERSON_00241,complainant
CASE_0028,PERSON_00134,owner
CASE_0028,PERSON_00167,complainant
CASE_0028,PERSON_00238,subject
CASE_0029,PERSON_00199,employee
CASE_0029,PERSON_00005,employee
CASE_0029,PERSON_00163,associate
CASE_0029,PERSON_00388,witness
CASE_0029,PERSON_00282,associate
CASE_0029,PERSON_00336,complainant
CASE_0029,PERSON_00424,associate
CASE_0029,PERSON_00284,associate
CASE_0030,PERSON_00048,subject
CASE_0030,PERSON_00005,witness
CASE_0030,PERSON_00202,complainant
CASE_0030,PERSON_00116,associate
CASE_0030,PERSON_00079,witness
CASE_0030,PERSON_00390,associate
CASE_0031,PERSON_00231,employee
CASE_0031,PERSON_00372,witness
CASE_0031,PERSON_00319,complainant
CASE_0031,PERSON_00411,witness
CASE_0032,PERSON_00148,employee
CASE_0032,PERSON_00019,employee
CASE_0032,PERSON_00020,owner
CASE_0032,PERSON_00081,subject
CASE_0032,PERSON_00180,employee
CASE_0032,PERSON_00145,subject
CASE_0032,PERSON_00187,subject
CASE_0033,PERSON_00217,owner
CASE_0033,PERSON_00125,associate
CASE_0033,PERSON_00096,employee
CASE_0033,PERSON_00135,associate
CASE_0033,PERSON_00011,witness
CASE_0033,PERSON_00024,employee
CASE_0034,PERSON_00217,associate
CASE_0034,PERSON_00350,employee
CASE_0034,PERSON_00023,complainant
CASE_0034,PERSON_00223,associate
CASE_0034,PERSON_00254,complainant
CASE_0035,PERSON_00252,employee
CASE_0035,PERSON_00375,witness
CASE_0035,PERSON_00389,subject
CASE_0035,PERSON_00402,associate
CASE_0035,PERSON_00039,employee
CASE_0035,PERSON_00153,owner
CASE_0035,PERSON_00163,subject
CASE_0035,PERSON_00237,employee
CASE_0036,PERSON_00005,subject
