device_id,imei,device_type
DEV_0001,791954217414993,Feature Phone
DEV_0002,066001253042325,iPhone
DEV_0003,365112625302741,Feature Phone
DEV_0004,001644043404555,iPhone
DEV_0005,496502435418202,iPhone
DEV_0006,609031222074044,Feature Phone
DEV_0007,163204080092353,Feature Phone
DEV_0008,297975252841159,Android
DEV_0009,308709111242465,Feature Phone
DEV_0010,027264522991355,Android
DEV_0011,547545048826798,Feature Phone
DEV_0012,151782991369910,iPhone
DEV_0013,770799987005309,Android
DEV_0014,724317646576508,Feature Phone
DEV_0015,820938297081691,Feature Phone
DEV_0016,188434882285290,iPhone
DEV_0017,487502350005945,iPhone
DEV_0018,613399517683278,Android
DEV_0019,639730086282417,Android
DEV_0020,959251939088077,Android
DEV_0021,964946659189233,Android
DEV_0022,271748113847560,Feature Phone
DEV_0023,205609843880644,Feature Phone
DEV_0024,278010539017334,Android
DEV_0025,060842172013757,Android
DEV_0026,343898481362231,iPhone
DEV_0027,738155562684766,Feature Phone
DEV_0028,898622289244983,Feature Phone
DEV_0029,239556251755460,Android
DEV_0030,527511551186287,Android
DEV_0031,376012533780089,Android
DEV_0032,950990488176245,iPhone
DEV_0033,314745790226121,Feature Phone
DEV_0034,223798579706770,iPhone
DEV_0035,406029089519501,Android
DEV_0036,708222263430234,Android
DEV_0037,219405258547232,Android
DEV_0038,437365307909260,Feature Phone
DEV_0039,808324203621099,iPhone
DEV_0040,061317553004988,Feature Phone
DEV_0041,743193779814910,Android
DEV_0042,383592386941177,iPhone
DEV_0043,274944066048940,iPhone
DEV_0044,830950749762088,Android
DEV_0045,116870299584089,Android
DEV_0046,709905132984880,iPhone
DEV_0047,866217972948506,Feature Phone
DEV_0048,994726639296313,Feature Phone
DEV_0049,160198956564752,iPhone
DEV_0050,098784439336989,Android
DEV_0051,417362334947256,Feature Phone
DEV_0052,006814926046120,Android
DEV_0053,614822872853562,iPhone
DEV_0054,025008666449377,Android
DEV_0055,529971042257905,Feature Phone
DEV_0056,510454583964965,Feature Phone
DEV_0057,573961360418276,Feature Phone
DEV_0058,699383987275545,iPhone
DEV_0059,678911534461431,iPhone
DEV_0060,282108514322671,Android
DEV_0061,076956137563552,Android
DEV_0062,825561875992950,Android
DEV_0063,308491973553449,Feature Phone
DEV_0064,033926159219677,iPhone
DEV_0065,526987839559191,Android
DEV_0066,808401331128698,iPhone
DEV_0067,640913917265108,iPhone
DEV_0068,497540189688718,Feature Phone
DEV_0069,340689770847849,Feature Phone
DEV_0070,377438521160825,Android
DEV_0071,983430973545202,Android
DEV_0072,525843306017797,Feature Phone
DEV_0073,720625154074164,iPhone
DEV_0074,137872533742768,iPhone
DEV_0075,970261445512050,iPhone
DEV_0076,421491834310206,iPhone
DEV_0077,699772492092914,Android
DEV_0078,894337696092480,Feature Phone
DEV_0079,176615804860851,Android
DEV_0080,710885400531900,iPhone
DEV_0081,560644946214871,iPhone
DEV_0082,644553011251812,iPhone
DEV_0083,342093202195077,Feature Phone
DEV_0084,883563576435647,iPhone
DEV_0085,151989172628595,Android
DEV_0086,916564955525417,iPhone
DEV_0087,914213115897561,Feature Phone
DEV_0088,916280561181308,iPhone
DEV_0089,738041449967804,iPhone
DEV_0090,183935397691050,iPhone
DEV_0091,383760107391705,iPhone
DEV_0092,480747688311301,iPhone
DEV_0093,615723430927670,Feature Phone
DEV_0094,933146210394922,Android
DEV_0095,039216095484866,iPhone
DEV_0096,305326711212210,iPhone
DEV_0097,659121329073870,Feature Phone
DEV_0098,429288714207913,Feature Phone
DEV_0099,440316245486208,Android
DEV_0100,281974227197023,iPhone
DEV_0101,729320990380708,iPhone
DEV_0102,635667592876564,Feature Phone
DEV_0103,577273492174377,iPhone
DEV_0104,804298148448715,iPhone
DEV_0105,037871370207220,Feature Phone
DEV_0106,328771436960705,iPhone
DEV_0107,694403654419638,Feature Phone
DEV_0108,426790207381239,Android
DEV_0109,939352096102722,iPhone
DEV_0110,484572397273272,Android
