person_id,org_id,role,valid_from,valid_to
PERSON_00001,ORG_0001,Accountant,2022-11-30,2023-08-08
PERSON_00002,ORG_0008,Technician,2022-09-30,
PERSON_00003,ORG_0015,Office Assistant,2021-11-05,
PERSON_00004,ORG_0022,Sales Executive,2022-06-23,2023-04-12
PERSON_00005,ORG_0029,Shop Owner,2021-09-03,
PERSON_00006,ORG_0036,Consultant,2022-07-03,
PERSON_00007,ORG_0043,Accountant,2021-03-25,2022-03-17
PERSON_00008,ORG_0050,Consultant,2021-11-30,
PERSON_00009,ORG_0002,Sales Executive,2021-01-10,
PERSON_00010,ORG_0009,Clerk,2021-04-06,2022-08-20
PERSON_00011,ORG_0016,Accountant,2022-08-27,
PERSON_00012,ORG_0023,Student,2021-10-31,
PERSON_00013,ORG_0030,Office Assistant,2022-02-14,2024-12-17
PERSON_00014,ORG_0037,Supervisor,2021-07-23,
PERSON_00015,ORG_0044,Shop Owner,2022-08-06,
PERSON_00016,ORG_0051,Warehouse Assistant,2021-06-10,2023-03-09
PERSON_00017,ORG_0003,Clerk,2022-02-18,
PERSON_00018,ORG_0010,Student,2022-10-30,
PERSON_00019,ORG_0017,Clerk,2021-04-02,2023-05-26
PERSON_00020,ORG_0024,Sales Executive,2021-02-18,
PERSON_00021,ORG_0031,Student,2021-05-03,
PERSON_00022,ORG_0038,Teacher,2022-11-17,2024-07-01
PERSON_00023,ORG_0045,Driver,2021-12-20,
PERSON_00024,ORG_0052,Student,2022-11-15,
PERSON_00025,ORG_0004,Technician,2022-03-30,2024-08-30
PERSON_00026,ORG_0011,Shop Owner,2021-11-17,
PERSON_00027,ORG_0018,Shop Owner,2021-04-23,
PERSON_00028,ORG_0025,Warehouse Assistant,2021-04-18,2024-02-03
PERSON_00029,ORG_0032,Office Assistant,2022-10-07,
PERSON_00030,ORG_0039,Mechanic,2022-08-16,
PERSON_00031,ORG_0046,Student,2021-08-22,2022-09-02
PERSON_00032,ORG_0053,Teacher,2021-10-13,
PERSON_00033,ORG_0005,Student,2022-02-05,
PERSON_00034,ORG_0012,Student,2022-05-10,2024-09-11
PERSON_00035,ORG_0019,Teacher,2022-03-08,
PERSON_00036,ORG_0026,Clerk,2021-11-18,
PERSON_00037,ORG_0033,Contractor,2022-02-15,2024-03-12
PERSON_00038,ORG_0040,Clerk,2022-02-25,
PERSON_00039,ORG_0047,Mechanic,2021-11-04,
PERSON_00040,ORG_0054,Student,2021-03-21,2022-01-09
PERSON_00041,ORG_0006,Clerk,2022-01-08,
PERSON_00042,ORG_0013,Driver,2021-05-18,
PERSON_00043,ORG_0020,Student,2021-05-23,2024-02-06
PERSON_00044,ORG_0027,Warehouse Assistant,2022-07-17,
PERSON_00045,ORG_0034,Mechanic,2021-06-02,
PERSON_00046,ORG_0041,Contractor,2022-01-29,2024-09-04
PERSON_00047,ORG_0048,Consultant,2022-04-23,
PERSON_00048,ORG_0055,Warehouse Assistant,2021-01-23,
PERSON_00049,ORG_0007,Broker,2021-03-28,2023-03-07
PERSON_00050,ORG_0014,Teacher,2021-01-05,
PERSON_00051,ORG_0021,Supervisor,2022-07-12,
PERSON_00052,ORG_0028,Technician,2022-05-30,2025-01-20
PERSON_00053,ORG_0035,Office Assistant,2022-03-09,
PERSON_00054,ORG_0042,Warehouse Assistant,2021-12-13,
PERSON_00055,ORG_0049,Accountant,2022-04-01,2024-10-03
PERSON_00056,ORG_0001,Consultant,2022-12-01,
PERSON_00057,ORG_0008,Clerk,2021-05-08,
PERSON_00058,ORG_0015,Accountant,2022-07-10,2024-09-19
PERSON_00059,ORG_0022,Clerk,2021-06-08,
PERSON_00060,ORG_0029,Consultant,2021-11-27,
PERSON_00061,ORG_0036,Supervisor,2021-10-19,2024-04-03
PERSON_00062,ORG_0043,Warehouse Assistant,2022-08-16,
PERSON_00063,ORG_0050,Sales Executive,2021-03-01,
PERSON_00064,ORG_0002,Student,2021-02-06,2022-10-09
PERSON_00065,ORG_0009,Student,2022-09-15,
PERSON_00066,ORG_0016,Driver,2021-06-08,
PERSON_00067,ORG_0023,Broker,2021-04-10,2022-01-23
PERSON_00068,ORG_0030,Student,2022-01-06,
PERSON_00069,ORG_0037,Shop Owner,2022-02-14,
PERSON_00070,ORG_0044,Broker,2021-11-25,2023-12-22
PERSON_00071,ORG_0051,Technician,2022-01-21,
PERSON_00072,ORG_0003,Office Assistant,2021-12-12,
PERSON_00073,ORG_0010,Shop Owner,2022-09-14,2025-05-16
PERSON_00074,ORG_0017,Technician,2021-03-30,
PERSON_00075,ORG_0024,Clerk,2021-03-11,
PERSON_00076,ORG_0031,Technician,2021-11-18,2024-05-07
PERSON_00077,ORG_0038,Supervisor,2022-06-19,
PERSON_00078,ORG_0045,Supervisor,2021-07-08,
PERSON_00079,ORG_0052,Driver,2022-02-06,2022-12-25
PERSON_00080,ORG_0004,Office Assistant,2021-03-14,
PERSON_00081,ORG_0011,Shop Owner,2021-01-31,
PERSON_00082,ORG_0018,Driver,2022-11-07,2024-10-25
PERSON_00083,ORG_0025,Mechanic,2022-09-20,
PERSON_00084,ORG_0032,Sales Executive,2022-01-01,
PERSON_00085,ORG_0039,Teacher,2021-08-13,2022-10-29
PERSON_00086,ORG_0046,Accountant,2022-06-17,
PERSON_00087,ORG_0053,Contractor,2021-09-03,
PERSON_00088,ORG_0005,Broker,2021-03-27,2022-08-27
PERSON_00089,ORG_0012,Student,2022-07-15,
PERSON_00090,ORG_0019,Driver,2022-07-31,
PERSON_00091,ORG_0026,Shop Owner,2022-02-17,2024-08-08
PERSON_00092,ORG_0033,Mechanic,2021-03-29,
PERSON_00093,ORG_0040,Warehouse Assistant,2022-05-21,
PERSON_00094,ORG_0047,Clerk,2021-03-08,2023-09-29
PERSON_00095,ORG_0054,Broker,2022-01-28,
PERSON_00096,ORG_0006,Sales Executive,2022-04-29,
PERSON_00097,ORG_0013,Consultant,2021-06-07,2023-09-19
PERSON_00098,ORG_0020,Supervisor,2021-03-22,
PERSON_00099,ORG_0027,Driver,2021-07-09,
PERSON_00100,ORG_0034,Mechanic,2021-03-20,2023-09-12
PERSON_00101,ORG_0041,Consultant,2022-08-29,
PERSON_00102,ORG_0048,Consultant,2022-05-08,
PERSON_00103,ORG_0055,Student,2021-09-10,2022-07-05
PERSON_00104,ORG_0007,Consultant,2021-05-13,
PERSON_00105,ORG_0014,Driver,2021-03-09,
PERSON_00106,ORG_0021,Driver,2021-01-16,2022-04-29
PERSON_00107,ORG_0028,Broker,2021-12-23,
PERSON_00108,ORG_0035,Teacher,2021-07-05,
PERSON_00109,ORG_0042,Contractor,2022-07-26,2024-05-09
PERSON_00110,ORG_0049,Contractor,2022-10-01,
PERSON_00111,ORG_0001,Mechanic,2022-01-29,
PERSON_00112,ORG_0008,Warehouse Assistant,2022-07-10,2023-05-03
PERSON_00113,ORG_0015,Mechanic,2021-07-13,
PERSON_00114,ORG_0022,Shop Owner,2021-01-28,
PERSON_00115,ORG_0029,Student,2021-05-20,2022-12-30
PERSON_00116,ORG_0036,Shop Owner,2021-09-27,
PERSON_00117,ORG_0043,Driver,2022-02-02,
PERSON_00118,ORG_0050,Contractor,2021-06-05,2023-01-15
PERSON_00119,ORG_0002,Student,2021-05-04,
PERSON_00120,ORG_0009,Office Assistant,2022-02-07,
PERSON_00121,ORG_0016,Clerk,2021-02-12,2023-01-14
PERSON_00122,ORG_0023,Accountant,2021-05-19,
PERSON_00123,ORG_0030,Broker,2022-07-04,
PERSON_00124,ORG_0037,Mechanic,2022-02-19,2023-05-04
PERSON_00125,ORG_0044,Mechanic,2021-05-26,
PERSON_00126,ORG_0051,Warehouse Assistant,2021-06-18,
PERSON_00127,ORG_0003,Accountant,2021-01-27,2023-02-06
PERSON_00128,ORG_0010,Office Assistant,2021-04-24,
PERSON_00129,ORG_0017,Consultant,2022-11-16,
PERSON_00130,ORG_0024,Consultant,2021-10-09,2023-07-01
PERSON_00131,ORG_0031,Driver,2022-08-21,
PERSON_00132,ORG_0038,Teacher,2021-06-09,
PERSON_00133,ORG_0045,Supervisor,2022-07-07,2025-01-24
PERSON_00134,ORG_0052,Clerk,2022-11-19,
PERSON_00135,ORG_0004,Technician,2021-05-07,
PERSON_00136,ORG_0011,Contractor,2022-06-09,2023-06-29
PERSON_00137,ORG_0018,Warehouse Assistant,2022-05-24,
PERSON_00138,ORG_0025,Supervisor,2021-08-26,
PERSON_00139,ORG_0032,Supervisor,2021-10-30,2022-12-22
PERSON_00140,ORG_0039,Mechanic,2021-11-13,
PERSON_00141,ORG_0046,Shop Owner,2022-07-18,
PERSON_00142,ORG_0053,Driver,2021-09-07,2023-11-03
PERSON_00143,ORG_0005,Clerk,2021-07-02,
PERSON_00144,ORG_0012,Clerk,2022-11-05,
PERSON_00145,ORG_0019,Sales Executive,2022-01-05,2024-06-30
PERSON_00146,ORG_0026,Office Assistant,2021-11-28,
PERSON_00147,ORG_0033,Student,2022-11-17,
PERSON_00148,ORG_0040,Warehouse Assistant,2021-09-18,2022-11-24
PERSON_00149,ORG_0047,Warehouse Assistant,2022-07-22,
PERSON_00150,ORG_0054,Clerk,2021-07-28,
PERSON_00151,ORG_0006,Student,2022-03-10,2024-11-14
PERSON_00152,ORG_0013,Accountant,2021-09-30,
PERSON_00153,ORG_0020,Mechanic,2022-11-26,
PERSON_00154,ORG_0027,Technician,2021-03-21,2022-04-04
PERSON_00155,ORG_0034,Teacher,2021-02-01,
PERSON_00156,ORG_0041,Broker,2022-08-28,
PERSON_00157,ORG_0048,Accountant,2021-02-03,2023-08-07
PERSON_00158,ORG_0055,Supervisor,2022-10-22,
PERSON_00159,ORG_0007,Supervisor,2022-07-29,
PERSON_00160,ORG_0014,Clerk,2021-05-06,2022-10-06
PERSON_00161,ORG_0021,Accountant,2021-02-24,
PERSON_00162,ORG_0028,Sales Executive,2021-10-28,
PERSON_00163,ORG_0035,Warehouse Assistant,2021-11-26,2024-04-02
PERSON_00164,ORG_0042,Consultant,2021-04-19,
PERSON_00165,ORG_0049,Sales Executive,2021-04-28,
PERSON_00166,ORG_0001,Teacher,2022-02-10,2023-01-27
PERSON_00167,ORG_0008,Teacher,2021-10-13,
PERSON_00168,ORG_0015,Supervisor,2022-01-01,
PERSON_00169,ORG_0022,Warehouse Assistant,2021-02-17,2022-11-16
PERSON_00170,ORG_0029,Teacher,2021-06-13,
PERSON_00171,ORG_0036,Consultant,2021-05-29,
PERSON_00172,ORG_0043,Clerk,2021-09-04,2023-10-24
PERSON_00173,ORG_0050,Broker,2022-05-27,
PERSON_00174,ORG_0002,Sales Executive,2021-04-21,
PERSON_00175,ORG_0009,Driver,2022-01-29,2023-07-28
PERSON_00176,ORG_0016,Clerk,2021-11-07,
PERSON_00177,ORG_0023,Accountant,2021-10-13,
PERSON_00178,ORG_0030,Contractor,2021-08-11,2023-06-07
