evidence_id,case_id,type,collected_date,status
EVID_00001,CASE_0006,statement,2026-04-05,Received
EVID_00002,CASE_0011,seized item,2025-06-12,Analyzed
EVID_00003,CASE_0016,statement,2025-12-18,Received
EVID_00004,CASE_0021,property document,2025-09-29,Pending
EVID_00005,CASE_0026,bank record,2022-09-28,Seized
EVID_00006,CASE_0031,vehicle document,2025-07-02,Pending
EVID_00007,CASE_0036,property document,2025-03-13,Received
EVID_00008,CASE_0041,seized item,2025-08-27,Pending
EVID_00009,CASE_0046,seized item,2026-06-14,Analyzed
EVID_00010,CASE_0051,bank record,2024-07-03,Pending
EVID_00011,CASE_0056,CCTV summary,2026-02-24,Seized
EVID_00012,CASE_0001,bank record,2025-05-01,Pending
EVID_00013,CASE_0006,vehicle document,2025-03-11,Seized
EVID_00014,CASE_0011,CCTV summary,2024-05-06,Seized
EVID_00015,CASE_0016,property document,2024-12-29,Analyzed
EVID_00016,CASE_0021,CCTV summary,2026-06-17,Analyzed
EVID_00017,CASE_0026,vehicle document,2024-09-21,Pending
EVID_00018,CASE_0031,CCTV summary,2026-03-07,Pending
EVID_00019,CASE_0036,bank record,2025-03-17,Analyzed
EVID_00020,CASE_0041,statement,2024-05-24,Received
EVID_00021,CASE_0046,CCTV summary,2025-06-14,Received
EVID_00022,CASE_0051,property document,2025-05-10,Received
EVID_00023,CASE_0056,CCTV summary,2025-07-03,Seized
EVID_00024,CASE_0001,seized item,2024-05-06,Pending
EVID_00025,CASE_0006,CCTV summary,2025-05-28,Pending
EVID_00026,CASE_0011,vehicle document,2024-09-27,Received
EVID_00027,CASE_0016,vehicle document,2025-03-14,Seized
EVID_00028,CASE_0021,CCTV summary,2025-10-30,Seized
EVID_00029,CASE_0026,property document,2024-11-09,Received
EVID_00030,CASE_0031,vehicle document,2025-06-11,Pending
EVID_00031,CASE_0036,seized item,2026-04-13,Seized
EVID_00032,CASE_0041,seized item,2024-10-17,Pending
EVID_00033,CASE_0046,bank record,2023-08-01,Pending
EVID_00034,CASE_0051,CCTV summary,2025-12-19,Pending
EVID_00035,CASE_0056,seized item,2025-10-16,Analyzed
EVID_00036,CASE_0001,statement,2025-02-22,Received
EVID_00037,CASE_0006,statement,2026-06-14,Received
EVID_00038,CASE_0011,seized item,2024-09-15,Analyzed
EVID_00039,CASE_0016,vehicle document,2024-09-09,Seized
EVID_00040,CASE_0021,statement,2024-03-15,Seized
EVID_00041,CASE_0026,seized item,2025-04-11,Analyzed
EVID_00042,CASE_0031,seized item,2026-03-10,Received
EVID_00043,CASE_0036,mobile device,2024-08-08,Seized
EVID_00044,CASE_0041,digital export,2024-09-23,Pending
EVID_00045,CASE_0046,digital export,2024-09-18,Seized
EVID_00046,CASE_0051,vehicle document,2023-12-17,Seized
EVID_00047,CASE_0056,digital export,2025-11-26,Received
EVID_00048,CASE_0001,seized item,2024-03-05,Received
EVID_00049,CASE_0006,statement,2025-03-08,Analyzed
EVID_00050,CASE_0011,seized item,2026-03-23,Seized
EVID_00051,CASE_0016,CCTV summary,2025-04-14,Pending
EVID_00052,CASE_0021,mobile device,2025-05-28,Pending
EVID_00053,CASE_0026,property document,2024-11-19,Seized
EVID_00054,CASE_0031,mobile device,2025-06-21,Pending
EVID_00055,CASE_0036,CCTV summary,2026-04-08,Pending
EVID_00056,CASE_0041,bank record,2025-09-23,Analyzed
EVID_00057,CASE_0046,statement,2024-12-05,Pending
EVID_00058,CASE_0051,property document,2024-11-22,Analyzed
EVID_00059,CASE_0056,bank record,2026-04-02,Analyzed
EVID_00060,CASE_0001,bank record,2026-04-24,Received
EVID_00061,CASE_0006,vehicle document,2025-08-17,Received
EVID_00062,CASE_0011,seized item,2025-07-22,Pending
EVID_00063,CASE_0016,CCTV summary,2024-12-11,Analyzed
EVID_00064,CASE_0021,CCTV summary,2026-01-12,Seized
EVID_00065,CASE_0026,vehicle document,2023-08-09,Received
EVID_00066,CASE_0031,bank record,2025-03-13,Received
EVID_00067,CASE_0036,statement,2026-06-10,Pending
EVID_00068,CASE_0041,CCTV summary,2025-08-02,Seized
EVID_00069,CASE_0046,digital export,2025-09-29,Pending
EVID_00070,CASE_0051,CCTV summary,2025-01-31,Received
EVID_00071,CASE_0056,mobile device,2024-08-25,Analyzed
EVID_00072,CASE_0001,property document,2026-04-02,Pending
EVID_00073,CASE_0006,property document,2025-07-17,Pending
EVID_00074,CASE_0011,vehicle document,2024-12-07,Analyzed
EVID_00075,CASE_0016,bank record,2026-05-01,Received
EVID_00076,CASE_0021,digital export,2025-07-11,Analyzed
EVID_00077,CASE_0026,statement,2025-05-09,Pending
EVID_00078,CASE_0031,digital export,2024-12-25,Received
EVID_00079,CASE_0036,mobile device,2023-11-02,Received
EVID_00080,CASE_0041,seized item,2024-11-16,Seized
EVID_00081,CASE_0046,digital export,2023-12-07,Received
EVID_00082,CASE_0051,seized item,2024-05-01,Received
EVID_00083,CASE_0056,CCTV summary,2025-08-19,Analyzed
EVID_00084,CASE_0001,statement,2024-03-30,Seized
EVID_00085,CASE_0006,bank record,2025-08-21,Received
EVID_00086,CASE_0011,CCTV summary,2026-03-07,Pending
