property_id,address_id,property_type,transaction_date,declared_value
PROP_0001,ADDR_00012,Commercial,2022-04-25,8439335.87
PROP_0002,ADDR_00023,Commercial,2025-04-19,1843326.45
PROP_0003,ADDR_00034,Warehouse,2021-04-21,1994741.75
PROP_0004,ADDR_00045,Residential,2024-04-09,7885547.49
PROP_0005,ADDR_00056,Warehouse,2021-08-16,5283304.32
PROP_0006,ADDR_00067,Residential,2023-05-18,6190538.02
PROP_0007,ADDR_00078,Residential,2025-07-31,4332475.24
PROP_0008,ADDR_00089,Warehouse,2025-05-17,7542973.15
PROP_0009,ADDR_00100,Residential,2022-03-13,7746253.39
PROP_0010,ADDR_00111,Plot,2021-11-04,5657659.04
PROP_0011,ADDR_00122,Plot,2023-06-20,5998285.05
PROP_0012,ADDR_00133,Commercial,2025-01-26,2958612.56
PROP_0013,ADDR_00144,Plot,2022-04-02,4061174.73
PROP_0014,ADDR_00155,Warehouse,2025-06-06,6864636.08
PROP_0015,ADDR_00166,Residential,2021-05-12,1371007.2
PROP_0016,ADDR_00177,Commercial,2023-06-09,8293618.89
PROP_0017,ADDR_00188,Plot,2025-09-22,6955606.43
PROP_0018,ADDR_00199,Plot,2024-08-01,7891370.56
PROP_0019,ADDR_00210,Plot,2025-08-01,7802594.57
PROP_0020,ADDR_00221,Residential,2022-09-09,4454997.2
PROP_0021,ADDR_00232,Commercial,2022-02-01,4998818.09
PROP_0022,ADDR_00243,Commercial,2022-07-26,4865929.58
PROP_0023,ADDR_00254,Commercial,2025-07-19,4161805.12
PROP_0024,ADDR_00265,Commercial,2021-07-31,2760800.34
PROP_0025,ADDR_00276,Warehouse,2023-07-09,7589741.47
PROP_0026,ADDR_00287,Warehouse,2025-01-26,4618745.27
PROP_0027,ADDR_00298,Residential,2021-07-31,1873971.51
PROP_0028,ADDR_00309,Plot,2022-02-08,8362527.89
PROP_0029,ADDR_00320,Plot,2022-02-25,1269971.74
PROP_0030,ADDR_00331,Warehouse,2026-04-05,1235996.78
PROP_0031,ADDR_00342,Warehouse,2024-11-27,2146685.58
PROP_0032,ADDR_00353,Commercial,2026-02-27,1001531.98
PROP_0033,ADDR_00364,Commercial,2026-03-17,6083247.33
PROP_0034,ADDR_00375,Warehouse,2025-05-13,4665105.16
PROP_0035,ADDR_00386,Warehouse,2025-11-06,4962837.1
PROP_0036,ADDR_00397,Commercial,2022-10-20,5202606.22
PROP_0037,ADDR_00408,Plot,2021-02-14,4497574.7
PROP_0038,ADDR_00419,Commercial,2025-04-26,8410086.99
PROP_0039,ADDR_00430,Warehouse,2021-06-20,4272621.52
PROP_0040,ADDR_00441,Commercial,2026-05-06,2957230.0
PROP_0041,ADDR_00452,Commercial,2023-06-18,1333220.38
PROP_0042,ADDR_00463,Plot,2025-06-28,3967509.69
PROP_0043,ADDR_00474,Plot,2025-01-07,3001231.06
PROP_0044,ADDR_00005,Residential,2023-10-28,826271.67
PROP_0045,ADDR_00016,Warehouse,2021-08-17,8317449.31
PROP_0046,ADDR_00027,Warehouse,2021-01-29,7636520.98
PROP_0047,ADDR_00038,Residential,2023-07-02,4817626.21
PROP_0048,ADDR_00049,Residential,2026-01-14,4068375.54
PROP_0049,ADDR_00060,Warehouse,2026-01-04,4819871.71
PROP_0050,ADDR_00071,Residential,2022-07-27,5849811.63
PROP_0051,ADDR_00082,Commercial,2023-08-29,998486.57
PROP_0052,ADDR_00093,Commercial,2026-01-04,7875224.22
PROP_0053,ADDR_00104,Commercial,2022-12-23,5365131.78
PROP_0054,ADDR_00115,Warehouse,2026-06-19,6916800.79
PROP_0055,ADDR_00126,Warehouse,2024-06-22,2615575.1
PROP_0056,ADDR_00137,Commercial,2021-05-24,1418839.25
PROP_0057,ADDR_00148,Commercial,2025-07-28,1616609.21
PROP_0058,ADDR_00159,Commercial,2023-02-14,4161529.29
PROP_0059,ADDR_00170,Residential,2023-08-30,1577541.08
PROP_0060,ADDR_00181,Commercial,2023-02-25,1063683.47
PROP_0061,ADDR_00192,Warehouse,2024-07-13,3741424.04
PROP_0062,ADDR_00203,Residential,2021-01-18,6650856.53
PROP_0063,ADDR_00214,Commercial,2023-03-15,5752345.42
PROP_0064,ADDR_00225,Warehouse,2022-07-24,4808737.99
PROP_0065,ADDR_00236,Residential,2022-04-08,4393830.67
PROP_0066,ADDR_00247,Commercial,2021-02-14,7599291.63
PROP_0067,ADDR_00258,Plot,2026-06-30,6105049.61
PROP_0068,ADDR_00269,Warehouse,2022-12-22,4883047.33
PROP_0069,ADDR_00280,Plot,2023-06-11,1049603.29
PROP_0070,ADDR_00291,Warehouse,2023-02-25,2446156.43
