source_id,target_id,relationship
PERSON_00001,PHONE_00001,uses_phone
PERSON_00001,ACCT_00001,holds_account
PERSON_00001,ADDR_00001,resides_at
PERSON_00002,PHONE_00002,uses_phone
PERSON_00002,ACCT_00002,holds_account
PERSON_00002,ADDR_00002,resides_at
PERSON_00003,PHONE_00003,uses_phone
PERSON_00003,ACCT_00003,holds_account
PERSON_00003,ADDR_00003,resides_at
PERSON_00004,PHONE_00004,uses_phone
PERSON_00004,ACCT_00004,holds_account
PERSON_00004,ADDR_00004,resides_at
PERSON_00005,PHONE_00005,uses_phone
PERSON_00005,ACCT_00005,holds_account
PERSON_00005,ADDR_00005,resides_at
PERSON_00006,PHONE_00006,uses_phone
PERSON_00006,ACCT_00006,holds_account
PERSON_00006,ADDR_00006,resides_at
PERSON_00007,PHONE_00007,uses_phone
PERSON_00007,ACCT_00007,holds_account
PERSON_00007,ADDR_00007,resides_at
PERSON_00008,PHONE_00008,uses_phone
PERSON_00008,ACCT_00008,holds_account
PERSON_00008,ADDR_00008,resides_at
PERSON_00009,PHONE_00009,uses_phone
PERSON_00009,ACCT_00009,holds_account
PERSON_00009,ADDR_00009,resides_at
PERSON_00010,PHONE_00010,uses_phone
PERSON_00010,ACCT_00010,holds_account
PERSON_00010,ADDR_00010,resides_at
PERSON_00011,PHONE_00011,uses_phone
PERSON_00011,ACCT_00011,holds_account
PERSON_00011,ADDR_00011,resides_at
PERSON_00012,PHONE_00012,uses_phone
PERSON_00012,ACCT_00012,holds_account
PERSON_00012,ADDR_00012,resides_at
PERSON_00013,PHONE_00013,uses_phone
PERSON_00013,ACCT_00013,holds_account
PERSON_00013,ADDR_00013,resides_at
PERSON_00014,PHONE_00014,uses_phone
PERSON_00014,ACCT_00014,holds_account
PERSON_00014,ADDR_00014,resides_at
PERSON_00015,PHONE_00015,uses_phone
PERSON_00015,ACCT_00015,holds_account
PERSON_00015,ADDR_00015,resides_at
PERSON_00016,PHONE_00016,uses_phone
PERSON_00016,ACCT_00016,holds_account
PERSON_00016,ADDR_00016,resides_at
PERSON_00017,PHONE_00017,uses_phone
PERSON_00017,ACCT_00017,holds_account
PERSON_00017,ADDR_00017,resides_at
PERSON_00018,PHONE_00018,uses_phone
PERSON_00018,ACCT_00018,holds_account
PERSON_00018,ADDR_00018,resides_at
PERSON_00019,PHONE_00019,uses_phone
PERSON_00019,ACCT_00019,holds_account
PERSON_00019,ADDR_00019,resides_at
PERSON_00020,PHONE_00020,uses_phone
PERSON_00020,ACCT_00020,holds_account
PERSON_00020,ADDR_00020,resides_at
PERSON_00021,PHONE_00021,uses_phone
PERSON_00021,ACCT_00021,holds_account
PERSON_00021,ADDR_00021,resides_at
PERSON_00022,PHONE_00022,uses_phone
PERSON_00022,ACCT_00022,holds_account
PERSON_00022,ADDR_00022,resides_at
PERSON_00023,PHONE_00023,uses_phone
PERSON_00023,ACCT_00023,holds_account
PERSON_00023,ADDR_00023,resides_at
PERSON_00024,PHONE_00024,uses_phone
PERSON_00024,ACCT_00024,holds_account
PERSON_00024,ADDR_00024,resides_at
PERSON_00025,PHONE_00025,uses_phone
PERSON_00025,ACCT_00025,holds_account
PERSON_00025,ADDR_00025,resides_at
PERSON_00026,PHONE_00026,uses_phone
PERSON_00026,ACCT_00026,holds_account
PERSON_00026,ADDR_00026,resides_at
PERSON_00027,PHONE_00027,uses_phone
PERSON_00027,ACCT_00027,holds_account
PERSON_00027,ADDR_00027,resides_at
PERSON_00028,PHONE_00028,uses_phone
