sms_id,date,from_person,to_person,phone_id,message_category
SMS_000001,2025-02-27,PERSON_00001,PERSON_00006,PHONE_00001,meeting
SMS_000002,2025-03-16,PERSON_00004,PERSON_00047,PHONE_00004,work
SMS_000003,2025-11-26,PERSON_00007,PERSON_00088,PHONE_00007,meeting
SMS_000004,2021-12-06,PERSON_00010,PERSON_00129,PHONE_00010,OTP
SMS_000005,2022-01-12,PERSON_00013,PERSON_00170,PHONE_00013,short coordination
SMS_000006,2022-07-06,PERSON_00016,PERSON_00211,PHONE_00016,work
SMS_000007,2023-08-28,PERSON_00019,PERSON_00252,PHONE_00019,family
SMS_000008,2022-02-19,PERSON_00022,PERSON_00293,PHONE_00022,OTP
SMS_000009,2021-05-15,PERSON_00025,PERSON_00334,PHONE_00025,work
SMS_000010,2023-12-05,PERSON_00028,PERSON_00375,PHONE_00028,meeting
SMS_000011,2023-01-28,PERSON_00031,PERSON_00416,PHONE_00031,short coordination
SMS_000012,2021-12-10,PERSON_00034,PERSON_00007,PHONE_00034,meeting
SMS_000013,2025-10-03,PERSON_00037,PERSON_00048,PHONE_00037,short coordination
SMS_000014,2021-10-14,PERSON_00040,PERSON_00089,PHONE_00040,meeting
SMS_000015,2023-08-29,PERSON_00043,PERSON_00130,PHONE_00043,work
SMS_000016,2025-06-21,PERSON_00046,PERSON_00171,PHONE_00046,delivery
SMS_000017,2025-05-14,PERSON_00049,PERSON_00212,PHONE_00049,short coordination
SMS_000018,2025-03-12,PERSON_00052,PERSON_00253,PHONE_00052,OTP
SMS_000019,2022-11-29,PERSON_00055,PERSON_00294,PHONE_00055,delivery
SMS_000020,2026-02-09,PERSON_00058,PERSON_00335,PHONE_00058,family
SMS_000021,2023-07-01,PERSON_00061,PERSON_00376,PHONE_00061,delivery
SMS_000022,2022-05-15,PERSON_00064,PERSON_00417,PHONE_00064,OTP
SMS_000023,2021-11-23,PERSON_00067,PERSON_00008,PHONE_00067,meeting
SMS_000024,2023-07-18,PERSON_00070,PERSON_00049,PHONE_00070,short coordination
SMS_000025,2026-06-27,PERSON_00073,PERSON_00090,PHONE_00073,meeting
SMS_000026,2021-06-03,PERSON_00076,PERSON_00131,PHONE_00076,family
SMS_000027,2021-02-15,PERSON_00079,PERSON_00172,PHONE_00079,work
SMS_000028,2024-02-20,PERSON_00082,PERSON_00213,PHONE_00082,short coordination
SMS_000029,2025-08-22,PERSON_00085,PERSON_00254,PHONE_00085,family
SMS_000030,2026-04-22,PERSON_00088,PERSON_00295,PHONE_00088,short coordination
SMS_000031,2024-08-13,PERSON_00091,PERSON_00336,PHONE_00091,short coordination
SMS_000032,2021-01-24,PERSON_00094,PERSON_00377,PHONE_00094,family
SMS_000033,2025-04-08,PERSON_00097,PERSON_00418,PHONE_00097,work
SMS_000034,2026-06-29,PERSON_00100,PERSON_00009,PHONE_00100,meeting
SMS_000035,2023-05-08,PERSON_00103,PERSON_00050,PHONE_00103,delivery
SMS_000036,2023-12-13,PERSON_00106,PERSON_00091,PHONE_00106,meeting
SMS_000037,2021-04-08,PERSON_00109,PERSON_00132,PHONE_00109,OTP
SMS_000038,2023-02-01,PERSON_00112,PERSON_00173,PHONE_00112,delivery
SMS_000039,2022-04-30,PERSON_00115,PERSON_00214,PHONE_00115,OTP
SMS_000040,2024-01-26,PERSON_00118,PERSON_00255,PHONE_00118,family
SMS_000041,2023-05-31,PERSON_00121,PERSON_00296,PHONE_00121,delivery
SMS_000042,2021-01-26,PERSON_00124,PERSON_00337,PHONE_00124,family
SMS_000043,2022-07-02,PERSON_00127,PERSON_00378,PHONE_00127,short coordination
SMS_000044,2021-06-20,PERSON_00130,PERSON_00419,PHONE_00130,work
SMS_000045,2023-03-31,PERSON_00133,PERSON_00010,PHONE_00133,family
SMS_000046,2022-11-17,PERSON_00136,PERSON_00051,PHONE_00136,short coordination
SMS_000047,2025-02-04,PERSON_00139,PERSON_00092,PHONE_00139,short coordination
SMS_000048,2022-11-09,PERSON_00142,PERSON_00133,PHONE_00142,work
SMS_000049,2024-08-09,PERSON_00145,PERSON_00174,PHONE_00145,meeting
SMS_000050,2023-01-18,PERSON_00148,PERSON_00215,PHONE_00148,meeting
SMS_000051,2026-05-22,PERSON_00151,PERSON_00256,PHONE_00151,delivery
SMS_000052,2025-03-02,PERSON_00154,PERSON_00297,PHONE_00154,OTP
SMS_000053,2023-11-29,PERSON_00157,PERSON_00338,PHONE_00157,short coordination
SMS_000054,2022-02-20,PERSON_00160,PERSON_00379,PHONE_00160,delivery
SMS_000055,2023-09-08,PERSON_00163,PERSON_00420,PHONE_00163,family
SMS_000056,2024-04-12,PERSON_00166,PERSON_00011,PHONE_00166,meeting
SMS_000057,2021-10-03,PERSON_00169,PERSON_00052,PHONE_00169,delivery
SMS_000058,2024-11-02,PERSON_00172,PERSON_00093,PHONE_00172,meeting
SMS_000059,2023-07-08,PERSON_00175,PERSON_00134,PHONE_00175,family
SMS_000060,2023-01-24,PERSON_00178,PERSON_00175,PHONE_00178,short coordination
SMS_000061,2024-10-07,PERSON_00181,PERSON_00216,PHONE_00181,family
SMS_000062,2023-08-27,PERSON_00184,PERSON_00257,PHONE_00184,family
SMS_000063,2022-02-14,PERSON_00187,PERSON_00298,PHONE_00187,OTP
SMS_000064,2023-01-01,PERSON_00190,PERSON_00339,PHONE_00190,family
SMS_000065,2023-01-27,PERSON_00193,PERSON_00380,PHONE_00193,short coordination
SMS_000066,2023-07-03,PERSON_00196,PERSON_00421,PHONE_00196,short coordination
SMS_000067,2026-04-18,PERSON_00199,PERSON_00012,PHONE_00199,delivery
SMS_000068,2023-05-03,PERSON_00202,PERSON_00053,PHONE_00202,short coordination
SMS_000069,2026-02-23,PERSON_00205,PERSON_00094,PHONE_00205,OTP
SMS_000070,2023-01-14,PERSON_00208,PERSON_00135,PHONE_00208,OTP
SMS_000071,2022-04-03,PERSON_00211,PERSON_00176,PHONE_00211,OTP
SMS_000072,2022-11-17,PERSON_00214,PERSON_00217,PHONE_00214,family
SMS_000073,2022-10-17,PERSON_00217,PERSON_00258,PHONE_00217,family
SMS_000074,2023-12-24,PERSON_00220,PERSON_00299,PHONE_00220,work
SMS_000075,2023-06-18,PERSON_00223,PERSON_00340,PHONE_00223,OTP
SMS_000076,2024-07-07,PERSON_00226,PERSON_00381,PHONE_00226,short coordination
SMS_000077,2026-04-29,PERSON_00229,PERSON_00422,PHONE_00229,delivery
SMS_000078,2021-06-03,PERSON_00232,PERSON_00013,PHONE_00232,OTP
SMS_000079,2025-07-17,PERSON_00235,PERSON_00054,PHONE_00235,OTP
SMS_000080,2025-12-27,PERSON_00238,PERSON_00095,PHONE_00238,family
SMS_000081,2025-06-05,PERSON_00241,PERSON_00136,PHONE_00241,work
SMS_000082,2024-02-04,PERSON_00244,PERSON_00177,PHONE_00244,meeting
SMS_000083,2022-12-27,PERSON_00247,PERSON_00218,PHONE_00247,work
SMS_000084,2024-05-20,PERSON_00250,PERSON_00259,PHONE_00250,delivery
SMS_000085,2025-02-10,PERSON_00253,PERSON_00300,PHONE_00253,work
SMS_000086,2023-04-09,PERSON_00256,PERSON_00341,PHONE_00256,short coordination
SMS_000087,2023-02-07,PERSON_00259,PERSON_00382,PHONE_00259,OTP
SMS_000088,2025-03-05,PERSON_00262,PERSON_00423,PHONE_00262,short coordination
SMS_000089,2025-04-25,PERSON_00265,PERSON_00014,PHONE_00265,meeting
SMS_000090,2023-10-04,PERSON_00268,PERSON_00055,PHONE_00268,meeting
SMS_000091,2023-06-24,PERSON_00271,PERSON_00096,PHONE_00271,delivery
SMS_000092,2021-09-30,PERSON_00274,PERSON_00137,PHONE_00274,delivery
SMS_000093,2022-12-18,PERSON_00277,PERSON_00178,PHONE_00277,OTP
SMS_000094,2024-10-19,PERSON_00280,PERSON_00219,PHONE_00280,OTP
SMS_000095,2025-10-26,PERSON_00283,PERSON_00260,PHONE_00283,OTP
SMS_000096,2025-02-14,PERSON_00286,PERSON_00301,PHONE_00286,work
SMS_000097,2021-12-20,PERSON_00289,PERSON_00342,PHONE_00289,meeting
SMS_000098,2025-03-08,PERSON_00292,PERSON_00383,PHONE_00292,work
SMS_000099,2025-11-15,PERSON_00295,PERSON_00424,PHONE_00295,work
SMS_000100,2023-11-30,PERSON_00298,PERSON_00015,PHONE_00298,meeting
SMS_000101,2021-11-04,PERSON_00301,PERSON_00056,PHONE_00301,work
SMS_000102,2025-05-10,PERSON_00304,PERSON_00097,PHONE_00304,delivery
SMS_000103,2024-03-16,PERSON_00307,PERSON_00138,PHONE_00307,work
SMS_000104,2023-03-13,PERSON_00310,PERSON_00179,PHONE_00310,meeting
SMS_000105,2021-04-16,PERSON_00313,PERSON_00220,PHONE_00313,OTP
SMS_000106,2023-06-27,PERSON_00316,PERSON_00261,PHONE_00316,meeting
SMS_000107,2021-03-23,PERSON_00319,PERSON_00302,PHONE_00319,short coordination
SMS_000108,2023-12-10,PERSON_00322,PERSON_00343,PHONE_00322,work
SMS_000109,2023-09-04,PERSON_00325,PERSON_00384,PHONE_00325,delivery
SMS_000110,2025-03-08,PERSON_00328,PERSON_00425,PHONE_00328,family
SMS_000111,2021-11-14,PERSON_00331,PERSON_00016,PHONE_00331,OTP
SMS_000112,2022-07-25,PERSON_00334,PERSON_00057,PHONE_00334,family
SMS_000113,2023-07-31,PERSON_00337,PERSON_00098,PHONE_00337,meeting
SMS_000114,2023-09-04,PERSON_00340,PERSON_00139,PHONE_00340,delivery
SMS_000115,2024-06-12,PERSON_00343,PERSON_00180,PHONE_00343,short coordination
SMS_000116,2022-12-19,PERSON_00346,PERSON_00221,PHONE_00346,family
SMS_000117,2024-06-08,PERSON_00349,PERSON_00262,PHONE_00349,OTP
SMS_000118,2025-04-12,PERSON_00352,PERSON_00303,PHONE_00352,family
SMS_000119,2023-02-16,PERSON_00355,PERSON_00344,PHONE_00355,meeting
SMS_000120,2026-05-29,PERSON_00358,PERSON_00385,PHONE_00358,work
SMS_000121,2025-02-13,PERSON_00361,PERSON_00426,PHONE_00361,OTP
SMS_000122,2021-01-13,PERSON_00364,PERSON_00017,PHONE_00364,delivery
SMS_000123,2022-03-14,PERSON_00367,PERSON_00058,PHONE_00367,delivery
SMS_000124,2021-06-14,PERSON_00370,PERSON_00099,PHONE_00370,work
SMS_000125,2021-05-18,PERSON_00373,PERSON_00140,PHONE_00373,OTP
SMS_000126,2022-11-22,PERSON_00376,PERSON_00181,PHONE_00376,family
SMS_000127,2021-02-17,PERSON_00379,PERSON_00222,PHONE_00379,meeting
SMS_000128,2024-11-25,PERSON_00382,PERSON_00263,PHONE_00382,OTP
SMS_000129,2022-06-17,PERSON_00385,PERSON_00304,PHONE_00385,family
SMS_000130,2025-08-24,PERSON_00388,PERSON_00345,PHONE_00388,delivery
SMS_000131,2022-03-24,PERSON_00391,PERSON_00386,PHONE_00391,work
SMS_000132,2021-04-18,PERSON_00394,PERSON_00427,PHONE_00394,family
SMS_000133,2026-05-05,PERSON_00397,PERSON_00018,PHONE_00397,work
SMS_000134,2021-07-14,PERSON_00400,PERSON_00059,PHONE_00400,OTP
SMS_000135,2024-04-09,PERSON_00403,PERSON_00100,PHONE_00403,meeting
SMS_000136,2022-03-27,PERSON_00406,PERSON_00141,PHONE_00406,meeting
SMS_000137,2023-10-10,PERSON_00409,PERSON_00182,PHONE_00409,short coordination
SMS_000138,2025-02-28,PERSON_00412,PERSON_00223,PHONE_00412,work
SMS_000139,2021-04-27,PERSON_00415,PERSON_00264,PHONE_00415,OTP
SMS_000140,2025-11-08,PERSON_00418,PERSON_00305,PHONE_00418,meeting
SMS_000141,2023-12-19,PERSON_00421,PERSON_00346,PHONE_00421,meeting
SMS_000142,2025-08-04,PERSON_00424,PERSON_00387,PHONE_00424,delivery
SMS_000143,2026-05-22,PERSON_00427,PERSON_00428,PHONE_00427,meeting
SMS_000144,2025-05-11,PERSON_00430,PERSON_00019,PHONE_00430,delivery
SMS_000145,2023-07-25,PERSON_00433,PERSON_00060,PHONE_00433,OTP
SMS_000146,2025-07-22,PERSON_00436,PERSON_00101,PHONE_00436,OTP
SMS_000147,2022-01-07,PERSON_00439,PERSON_00142,PHONE_00439,OTP
SMS_000148,2025-09-01,PERSON_00442,PERSON_00183,PHONE_00442,delivery
SMS_000149,2022-08-07,PERSON_00445,PERSON_00224,PHONE_00445,family
SMS_000150,2023-11-17,PERSON_00448,PERSON_00265,PHONE_00448,delivery
SMS_000151,2023-05-26,PERSON_00001,PERSON_00306,PHONE_00001,meeting
SMS_000152,2025-09-14,PERSON_00004,PERSON_00347,PHONE_00004,family
SMS_000153,2023-08-22,PERSON_00007,PERSON_00388,PHONE_00007,family
SMS_000154,2023-10-22,PERSON_00010,PERSON_00429,PHONE_00010,short coordination
SMS_000155,2024-08-08,PERSON_00013,PERSON_00020,PHONE_00013,work
SMS_000156,2021-09-09,PERSON_00016,PERSON_00061,PHONE_00016,OTP
SMS_000157,2025-08-02,PERSON_00019,PERSON_00102,PHONE_00019,short coordination
SMS_000158,2026-04-12,PERSON_00022,PERSON_00143,PHONE_00022,meeting
SMS_000159,2025-08-12,PERSON_00025,PERSON_00184,PHONE_00025,work
SMS_000160,2021-02-08,PERSON_00028,PERSON_00225,PHONE_00028,delivery
SMS_000161,2025-11-11,PERSON_00031,PERSON_00266,PHONE_00031,short coordination
SMS_000162,2021-10-29,PERSON_00034,PERSON_00307,PHONE_00034,OTP
SMS_000163,2023-09-29,PERSON_00037,PERSON_00348,PHONE_00037,family
SMS_000164,2024-05-27,PERSON_00040,PERSON_00389,PHONE_00040,short coordination
SMS_000165,2025-01-28,PERSON_00043,PERSON_00430,PHONE_00043,family
SMS_000166,2022-04-29,PERSON_00046,PERSON_00021,PHONE_00046,delivery
SMS_000167,2025-05-11,PERSON_00049,PERSON_00062,PHONE_00049,delivery
SMS_000168,2024-01-11,PERSON_00052,PERSON_00103,PHONE_00052,meeting
SMS_000169,2023-02-17,PERSON_00055,PERSON_00144,PHONE_00055,meeting
SMS_000170,2024-02-25,PERSON_00058,PERSON_00185,PHONE_00058,delivery
SMS_000171,2024-06-16,PERSON_00061,PERSON_00226,PHONE_00061,short coordination
SMS_000172,2024-09-17,PERSON_00064,PERSON_00267,PHONE_00064,short coordination
SMS_000173,2022-10-26,PERSON_00067,PERSON_00308,PHONE_00067,meeting
SMS_000174,2024-05-26,PERSON_00070,PERSON_00349,PHONE_00070,short coordination
SMS_000175,2026-06-18,PERSON_00073,PERSON_00390,PHONE_00073,OTP
SMS_000176,2025-01-26,PERSON_00076,PERSON_00431,PHONE_00076,family
SMS_000177,2021-09-21,PERSON_00079,PERSON_00022,PHONE_00079,OTP
SMS_000178,2024-02-22,PERSON_00082,PERSON_00063,PHONE_00082,OTP
SMS_000179,2025-12-25,PERSON_00085,PERSON_00104,PHONE_00085,short coordination
SMS_000180,2024-06-03,PERSON_00088,PERSON_00145,PHONE_00088,delivery
SMS_000181,2025-05-26,PERSON_00091,PERSON_00186,PHONE_00091,meeting
SMS_000182,2021-12-31,PERSON_00094,PERSON_00227,PHONE_00094,delivery
SMS_000183,2025-12-01,PERSON_00097,PERSON_00268,PHONE_00097,family
SMS_000184,2024-11-19,PERSON_00100,PERSON_00309,PHONE_00100,meeting
SMS_000185,2021-07-25,PERSON_00103,PERSON_00350,PHONE_00103,work
SMS_000186,2021-01-27,PERSON_00106,PERSON_00391,PHONE_00106,OTP
SMS_000187,2024-10-23,PERSON_00109,PERSON_00432,PHONE_00109,short coordination
SMS_000188,2025-01-30,PERSON_00112,PERSON_00023,PHONE_00112,delivery
SMS_000189,2023-12-14,PERSON_00115,PERSON_00064,PHONE_00115,short coordination
SMS_000190,2025-08-22,PERSON_00118,PERSON_00105,PHONE_00118,short coordination
SMS_000191,2024-06-20,PERSON_00121,PERSON_00146,PHONE_00121,short coordination
SMS_000192,2025-04-20,PERSON_00124,PERSON_00187,PHONE_00124,family
SMS_000193,2021-06-24,PERSON_00127,PERSON_00228,PHONE_00127,short coordination
SMS_000194,2024-01-29,PERSON_00130,PERSON_00269,PHONE_00130,family
SMS_000195,2021-02-11,PERSON_00133,PERSON_00310,PHONE_00133,OTP
SMS_000196,2022-03-22,PERSON_00136,PERSON_00351,PHONE_00136,OTP
SMS_000197,2022-07-12,PERSON_00139,PERSON_00392,PHONE_00139,delivery
SMS_000198,2023-05-07,PERSON_00142,PERSON_00433,PHONE_00142,delivery
SMS_000199,2022-08-15,PERSON_00145,PERSON_00024,PHONE_00145,meeting
SMS_000200,2021-04-30,PERSON_00148,PERSON_00065,PHONE_00148,delivery
SMS_000201,2022-10-14,PERSON_00151,PERSON_00106,PHONE_00151,short coordination
SMS_000202,2026-04-07,PERSON_00154,PERSON_00147,PHONE_00154,work
SMS_000203,2022-12-25,PERSON_00157,PERSON_00188,PHONE_00157,delivery
SMS_000204,2026-02-04,PERSON_00160,PERSON_00229,PHONE_00160,delivery
SMS_000205,2022-11-07,PERSON_00163,PERSON_00270,PHONE_00163,OTP
SMS_000206,2023-01-19,PERSON_00166,PERSON_00311,PHONE_00166,short coordination
SMS_000207,2021-07-03,PERSON_00169,PERSON_00352,PHONE_00169,family
SMS_000208,2025-05-31,PERSON_00172,PERSON_00393,PHONE_00172,OTP
SMS_000209,2021-09-12,PERSON_00175,PERSON_00434,PHONE_00175,family
SMS_000210,2022-10-31,PERSON_00178,PERSON_00025,PHONE_00178,family
SMS_000211,2021-01-28,PERSON_00181,PERSON_00066,PHONE_00181,OTP
SMS_000212,2021-01-03,PERSON_00184,PERSON_00107,PHONE_00184,OTP
SMS_000213,2022-01-23,PERSON_00187,PERSON_00148,PHONE_00187,OTP
SMS_000214,2021-03-09,PERSON_00190,PERSON_00189,PHONE_00190,OTP
SMS_000215,2024-01-07,PERSON_00193,PERSON_00230,PHONE_00193,work
SMS_000216,2021-05-14,PERSON_00196,PERSON_00271,PHONE_00196,delivery
SMS_000217,2025-07-31,PERSON_00199,PERSON_00312,PHONE_00199,delivery
SMS_000218,2022-08-27,PERSON_00202,PERSON_00353,PHONE_00202,OTP
SMS_000219,2024-03-20,PERSON_00205,PERSON_00394,PHONE_00205,meeting
SMS_000220,2021-04-01,PERSON_00208,PERSON_00435,PHONE_00208,work
SMS_000221,2024-01-01,PERSON_00211,PERSON_00026,PHONE_00211,meeting
SMS_000222,2026-06-22,PERSON_00214,PERSON_00067,PHONE_00214,family
SMS_000223,2021-04-02,PERSON_00217,PERSON_00108,PHONE_00217,delivery
SMS_000224,2024-01-15,PERSON_00220,PERSON_00149,PHONE_00220,family
SMS_000225,2023-12-12,PERSON_00223,PERSON_00190,PHONE_00223,work
SMS_000226,2021-04-02,PERSON_00226,PERSON_00231,PHONE_00226,work
SMS_000227,2022-02-05,PERSON_00229,PERSON_00272,PHONE_00229,short coordination
SMS_000228,2021-11-11,PERSON_00232,PERSON_00313,PHONE_00232,OTP
SMS_000229,2022-09-03,PERSON_00235,PERSON_00354,PHONE_00235,family
SMS_000230,2021-10-09,PERSON_00238,PERSON_00395,PHONE_00238,short coordination
