txn_id,date,account_id,person_id,transaction_type,amount,counterparty,description
TXN_000001,2025-07-18,ACCT_00001,PERSON_00001,grocery,2739,PERSON_00012,grocery
TXN_000002,2023-05-23,ACCT_00002,PERSON_00002,supplier,80460,PERSON_00049,supplier
TXN_000003,2022-03-03,ACCT_00003,PERSON_00003,upi,119882,PERSON_00086,upi
TXN_000004,2024-04-16,ACCT_00004,PERSON_00004,rent,21063,PERSON_00123,rent
TXN_000005,2026-04-18,ACCT_00005,PERSON_00005,upi,7838,PERSON_00160,upi
TXN_000006,2021-04-03,ACCT_00006,PERSON_00006,cash_deposit,75837,PERSON_00197,cash deposit
TXN_000007,2021-03-16,ACCT_00007,PERSON_00007,grocery,5435,PERSON_00234,grocery
TXN_000008,2022-06-11,ACCT_00008,PERSON_00008,cash_deposit,124028,PERSON_00271,cash deposit
TXN_000009,2025-09-18,ACCT_00009,PERSON_00009,cash_deposit,146955,PERSON_00308,cash deposit
TXN_000010,2024-04-23,ACCT_00010,PERSON_00010,customer,69090,PERSON_00345,customer
TXN_000011,2025-02-18,ACCT_00011,PERSON_00011,upi,1342,PERSON_00382,upi
TXN_000012,2024-03-03,ACCT_00012,PERSON_00012,upi,105548,PERSON_00419,upi
TXN_000013,2024-06-15,ACCT_00013,PERSON_00013,upi,2244,PERSON_00006,upi
TXN_000014,2021-10-22,ACCT_00014,PERSON_00014,supplier,7721,PERSON_00043,supplier
TXN_000015,2025-05-07,ACCT_00015,PERSON_00015,transfer,58598,PERSON_00080,transfer
TXN_000016,2022-07-15,ACCT_00016,PERSON_00016,fuel,5350,PERSON_00117,fuel
TXN_000017,2025-09-13,ACCT_00017,PERSON_00017,rent,7838,PERSON_00154,rent
TXN_000018,2023-07-30,ACCT_00018,PERSON_00018,upi,232137,PERSON_00191,upi
TXN_000019,2021-08-08,ACCT_00019,PERSON_00019,rent,19949,PERSON_00228,rent
TXN_000020,2022-03-02,ACCT_00020,PERSON_00020,upi,198177,PERSON_00265,upi
TXN_000021,2025-08-24,ACCT_00021,PERSON_00021,salary,68289,PERSON_00302,salary
TXN_000022,2021-07-21,ACCT_00022,PERSON_00022,rent,7568,PERSON_00339,rent
TXN_000023,2024-01-08,ACCT_00023,PERSON_00023,customer,64825,PERSON_00376,customer
TXN_000024,2024-01-11,ACCT_00024,PERSON_00024,upi,4847,PERSON_00413,upi
TXN_000025,2025-07-28,ACCT_00025,PERSON_00025,fuel,2909,PERSON_00450,fuel
TXN_000026,2021-10-07,ACCT_00026,PERSON_00026,rent,21210,PERSON_00037,rent
TXN_000027,2026-05-21,ACCT_00027,PERSON_00027,transfer,18474,PERSON_00074,transfer
TXN_000028,2023-05-16,ACCT_00028,PERSON_00028,upi,5225,PERSON_00111,upi
TXN_000029,2021-05-20,ACCT_00029,PERSON_00029,upi,11764,PERSON_00148,upi
TXN_000030,2024-02-22,ACCT_00030,PERSON_00030,supplier,5412,PERSON_00185,supplier
TXN_000031,2026-06-21,ACCT_00031,PERSON_00031,upi,9996,PERSON_00222,upi
TXN_000032,2023-05-09,ACCT_00032,PERSON_00032,rent,21497,PERSON_00259,rent
TXN_000033,2025-05-28,ACCT_00033,PERSON_00033,grocery,5919,PERSON_00296,grocery
TXN_000034,2024-07-20,ACCT_00034,PERSON_00034,transfer,92129,PERSON_00333,transfer
TXN_000035,2021-05-25,ACCT_00035,PERSON_00035,transfer,81528,PERSON_00370,transfer
TXN_000036,2022-02-02,ACCT_00036,PERSON_00036,grocery,4258,PERSON_00407,grocery
TXN_000037,2022-01-03,ACCT_00037,PERSON_00037,salary,64694,PERSON_00444,salary
TXN_000038,2021-12-23,ACCT_00038,PERSON_00038,emi,12338,PERSON_00031,emi
TXN_000039,2022-09-06,ACCT_00039,PERSON_00039,upi,6783,PERSON_00068,upi
TXN_000040,2022-10-26,ACCT_00040,PERSON_00040,rent,18214,PERSON_00105,rent
TXN_000041,2023-12-22,ACCT_00041,PERSON_00041,fuel,3365,PERSON_00142,fuel
TXN_000042,2024-12-27,ACCT_00042,PERSON_00042,rent,12807,PERSON_00179,rent
TXN_000043,2025-09-04,ACCT_00043,PERSON_00043,fuel,4089,PERSON_00216,fuel
TXN_000044,2025-01-06,ACCT_00044,PERSON_00044,emi,13552,PERSON_00253,emi
TXN_000045,2023-01-16,ACCT_00045,PERSON_00045,supplier,36229,PERSON_00290,supplier
TXN_000046,2022-07-12,ACCT_00046,PERSON_00046,grocery,6031,PERSON_00327,grocery
TXN_000047,2024-11-08,ACCT_00047,PERSON_00047,upi,4899,PERSON_00364,upi
TXN_000048,2024-03-25,ACCT_00048,PERSON_00048,emi,24594,PERSON_00401,emi
TXN_000049,2024-03-07,ACCT_00049,PERSON_00049,salary,64255,PERSON_00438,salary
TXN_000050,2026-01-27,ACCT_00050,PERSON_00050,transfer,54891,PERSON_00025,transfer
TXN_000051,2026-03-07,ACCT_00051,PERSON_00051,upi,1751,PERSON_00062,upi
TXN_000052,2025-06-04,ACCT_00052,PERSON_00052,grocery,1555,PERSON_00099,grocery
TXN_000053,2021-08-11,ACCT_00053,PERSON_00053,utility,1372,PERSON_00136,utility
TXN_000054,2022-05-02,ACCT_00054,PERSON_00054,rent,7537,PERSON_00173,rent
TXN_000055,2024-10-11,ACCT_00055,PERSON_00055,grocery,1043,PERSON_00210,grocery
TXN_000056,2021-03-06,ACCT_00056,PERSON_00056,grocery,993,PERSON_00247,grocery
TXN_000057,2024-02-14,ACCT_00057,PERSON_00057,upi,7513,PERSON_00284,upi
TXN_000058,2023-10-25,ACCT_00058,PERSON_00058,upi,233874,PERSON_00321,upi
TXN_000059,2023-05-05,ACCT_00059,PERSON_00059,customer,118294,PERSON_00358,customer
TXN_000060,2025-03-19,ACCT_00060,PERSON_00060,customer,73728,PERSON_00395,customer
TXN_000061,2023-04-16,ACCT_00061,PERSON_00061,supplier,10905,PERSON_00432,supplier
TXN_000062,2026-06-15,ACCT_00062,PERSON_00062,emi,14571,PERSON_00019,emi
TXN_000063,2021-09-27,ACCT_00063,PERSON_00063,rent,6797,PERSON_00056,rent
