travel_id,person_id,date,mode,origin,destination
TRV_0001,PERSON_00001,2025-05-13,Flight,Raipur,Kolkata
TRV_0002,PERSON_00008,2021-07-08,Bus,Panaji,Ahmedabad
TRV_0003,PERSON_00015,2022-02-01,Flight,Indore,Kochi
TRV_0004,PERSON_00022,2024-08-08,Hotel,Jaipur,Indore
TRV_0005,PERSON_00029,2021-03-01,Bus,Panaji,Jaipur
TRV_0006,PERSON_00036,2025-01-14,Flight,Jaipur,Indore
TRV_0007,PERSON_00043,2023-08-17,Hotel,Ahmedabad,Ahmedabad
TRV_0008,PERSON_00050,2026-04-05,Rail,Noida,Noida
TRV_0009,PERSON_00057,2026-06-16,Bus,Hyderabad,Chennai
TRV_0010,PERSON_00064,2023-01-15,Bus,Raipur,Kochi
TRV_0011,PERSON_00071,2022-10-26,Bus,Patna,Kochi
TRV_0012,PERSON_00078,2022-06-26,Flight,Kolkata,Jaipur
TRV_0013,PERSON_00085,2025-12-09,Flight,Bhubaneswar,Vijayawada
TRV_0014,PERSON_00092,2026-03-21,Hotel,Patna,Bengaluru
TRV_0015,PERSON_00099,2022-11-24,Rail,Bengaluru,Vijayawada
TRV_0016,PERSON_00106,2023-09-26,Rail,Jaipur,Delhi
TRV_0017,PERSON_00113,2024-03-05,Bus,Ahmedabad,Kolkata
TRV_0018,PERSON_00120,2025-12-31,Rail,Panaji,Bengaluru
TRV_0019,PERSON_00127,2025-05-12,Flight,Bengaluru,Bengaluru
TRV_0020,PERSON_00134,2022-03-16,Bus,Ahmedabad,Bengaluru
TRV_0021,PERSON_00141,2026-04-05,Flight,Patna,Vijayawada
TRV_0022,PERSON_00148,2024-08-31,Rail,Jaipur,Bhubaneswar
TRV_0023,PERSON_00155,2024-03-12,Bus,Kochi,Kochi
TRV_0024,PERSON_00162,2025-04-14,Rail,Delhi,Hyderabad
TRV_0025,PERSON_00169,2024-03-14,Rail,Noida,Raipur
TRV_0026,PERSON_00176,2022-11-07,Flight,Jaipur,Panaji
TRV_0027,PERSON_00183,2024-09-25,Rail,Jaipur,Bengaluru
TRV_0028,PERSON_00190,2024-06-11,Bus,Raipur,Delhi
TRV_0029,PERSON_00197,2024-06-19,Hotel,Ranchi,Noida
TRV_0030,PERSON_00204,2023-05-21,Rail,Bengaluru,Noida
TRV_0031,PERSON_00211,2024-11-10,Hotel,Kolkata,Bhubaneswar
TRV_0032,PERSON_00218,2025-07-11,Flight,Chennai,Chennai
TRV_0033,PERSON_00225,2023-09-20,Flight,Bengaluru,Hyderabad
TRV_0034,PERSON_00232,2023-10-08,Flight,Ahmedabad,Jaipur
TRV_0035,PERSON_00239,2022-06-23,Hotel,Vijayawada,Raipur
TRV_0036,PERSON_00246,2024-09-26,Bus,Hyderabad,Jaipur
TRV_0037,PERSON_00253,2025-11-26,Flight,Panaji,Ahmedabad
TRV_0038,PERSON_00260,2022-12-18,Hotel,Ranchi,Patna
TRV_0039,PERSON_00267,2025-11-12,Rail,Kochi,Delhi
TRV_0040,PERSON_00274,2022-12-31,Flight,Indore,Kochi
TRV_0041,PERSON_00281,2023-12-17,Flight,Bhubaneswar,Ranchi
TRV_0042,PERSON_00288,2021-07-05,Hotel,Bhubaneswar,Mumbai
TRV_0043,PERSON_00295,2024-07-15,Flight,Mumbai,Bengaluru
TRV_0044,PERSON_00302,2022-03-26,Rail,Panaji,Kolkata
TRV_0045,PERSON_00309,2025-03-07,Hotel,Indore,Jaipur
TRV_0046,PERSON_00316,2025-08-19,Rail,Noida,Bengaluru
TRV_0047,PERSON_00323,2023-01-21,Rail,Noida,Raipur
TRV_0048,PERSON_00330,2025-05-18,Rail,Delhi,Kochi
TRV_0049,PERSON_00337,2021-07-12,Flight,Delhi,Hyderabad
TRV_0050,PERSON_00344,2026-04-09,Hotel,Mumbai,Mumbai
TRV_0051,PERSON_00351,2023-02-19,Rail,Hyderabad,Vijayawada
TRV_0052,PERSON_00358,2022-05-13,Hotel,Jaipur,Hyderabad
TRV_0053,PERSON_00365,2024-08-25,Hotel,Kolkata,Panaji
TRV_0054,PERSON_00372,2021-09-24,Hotel,Jaipur,Kolkata
TRV_0055,PERSON_00379,2022-05-09,Bus,Noida,Chennai
TRV_0056,PERSON_00386,2022-01-24,Flight,Chennai,Ahmedabad
TRV_0057,PERSON_00393,2026-02-15,Rail,Kolkata,Vijayawada
TRV_0058,PERSON_00400,2023-01-15,Rail,Bhubaneswar,Ahmedabad
TRV_0059,PERSON_00407,2026-06-19,Flight,Raipur,Hyderabad
TRV_0060,PERSON_00414,2024-03-14,Hotel,Ranchi,Ranchi
TRV_0061,PERSON_00421,2022-02-05,Rail,Kochi,Ahmedabad
TRV_0062,PERSON_00428,2026-03-03,Rail,Delhi,Bhubaneswar
TRV_0063,PERSON_00435,2024-08-06,Rail,Jaipur,Patna
TRV_0064,PERSON_00442,2021-04-13,Flight,Bengaluru,Bengaluru
TRV_0065,PERSON_00449,2025-10-16,Bus,Kochi,Hyderabad
TRV_0066,PERSON_00006,2024-05-01,Flight,Chennai,Bhubaneswar
TRV_0067,PERSON_00013,2021-03-25,Hotel,Ranchi,Patna
TRV_0068,PERSON_00020,2022-04-16,Rail,Chennai,Hyderabad
TRV_0069,PERSON_00027,2023-09-26,Flight,Indore,Mumbai
TRV_0070,PERSON_00034,2025-08-04,Rail,Patna,Delhi
TRV_0071,PERSON_00041,2025-06-09,Flight,Delhi,Noida
TRV_0072,PERSON_00048,2026-06-22,Rail,Chennai,Vijayawada
TRV_0073,PERSON_00055,2026-01-31,Rail,Jaipur,Chennai
TRV_0074,PERSON_00062,2024-01-06,Hotel,Patna,Chennai
TRV_0075,PERSON_00069,2026-06-01,Rail,Jaipur,Chennai
TRV_0076,PERSON_00076,2023-07-06,Rail,Bengaluru,Indore
TRV_0077,PERSON_00083,2026-01-15,Rail,Bengaluru,Noida
TRV_0078,PERSON_00090,2025-10-23,Hotel,Jaipur,Chennai
TRV_0079,PERSON_00097,2025-12-10,Bus,Bhubaneswar,Hyderabad
TRV_0080,PERSON_00104,2022-12-01,Hotel,Mumbai,Bhubaneswar
TRV_0081,PERSON_00111,2025-11-14,Hotel,Indore,Hyderabad
TRV_0082,PERSON_00118,2025-07-16,Hotel,Kolkata,Indore
TRV_0083,PERSON_00125,2022-07-01,Flight,Raipur,Patna
TRV_0084,PERSON_00132,2021-05-05,Flight,Kochi,Ranchi
TRV_0085,PERSON_00139,2025-04-13,Hotel,Ahmedabad,Kolkata
TRV_0086,PERSON_00146,2023-08-08,Bus,Indore,Kochi
TRV_0087,PERSON_00153,2022-04-03,Rail,Patna,Noida
TRV_0088,PERSON_00160,2023-03-06,Flight,Chennai,Delhi
TRV_0089,PERSON_00167,2024-12-14,Flight,Mumbai,Bengaluru
TRV_0090,PERSON_00174,2025-07-23,Hotel,Raipur,Panaji
