vehicle_id,owner_person_id,valid_from,valid_to
VEH_0001,PERSON_00001,2022-05-15,2023-06-21
VEH_0001,PERSON_00034,2023-09-27,
VEH_0002,PERSON_00014,2021-05-03,
VEH_0003,PERSON_00027,2023-04-18,
VEH_0004,PERSON_00040,2021-01-13,2022-10-22
VEH_0005,PERSON_00053,2023-03-14,
VEH_0006,PERSON_00066,2023-04-11,
VEH_0007,PERSON_00079,2023-05-13,2024-03-18
VEH_0008,PERSON_00092,2022-01-10,
VEH_0008,PERSON_00167,2023-05-25,
VEH_0009,PERSON_00105,2022-04-07,
VEH_0010,PERSON_00118,2023-04-15,2024-12-25
VEH_0011,PERSON_00131,2022-06-29,
VEH_0012,PERSON_00144,2021-08-20,
VEH_0013,PERSON_00157,2021-07-22,2024-03-01
VEH_0014,PERSON_00170,2021-09-17,
VEH_0015,PERSON_00183,2021-01-29,
VEH_0015,PERSON_00300,2022-06-13,
VEH_0016,PERSON_00196,2021-07-22,2022-06-20
VEH_0017,PERSON_00209,2023-05-21,
VEH_0018,PERSON_00222,2023-03-05,
VEH_0019,PERSON_00235,2021-06-19,2022-11-04
VEH_0020,PERSON_00248,2022-06-04,
VEH_0021,PERSON_00261,2022-05-06,
VEH_0022,PERSON_00274,2023-03-17,2024-06-16
VEH_0022,PERSON_00433,2024-07-29,
VEH_0023,PERSON_00287,2021-05-12,
VEH_0024,PERSON_00300,2022-01-23,
VEH_0025,PERSON_00313,2021-05-02,2023-03-11
VEH_0026,PERSON_00326,2021-11-02,
VEH_0027,PERSON_00339,2023-05-04,
VEH_0028,PERSON_00352,2021-03-20,2022-11-12
VEH_0029,PERSON_00365,2023-02-11,
VEH_0029,PERSON_00116,2024-06-25,
VEH_0030,PERSON_00378,2022-01-19,
VEH_0031,PERSON_00391,2023-03-09,2025-03-28
VEH_0032,PERSON_00404,2021-05-26,
VEH_0033,PERSON_00417,2023-05-17,
VEH_0034,PERSON_00430,2022-04-17,2023-04-06
VEH_0035,PERSON_00443,2021-01-24,
VEH_0036,PERSON_00006,2022-10-03,
VEH_0036,PERSON_00249,2024-02-15,
VEH_0037,PERSON_00019,2021-03-02,2022-09-19
VEH_0038,PERSON_00032,2021-12-21,
VEH_0039,PERSON_00045,2022-01-14,
VEH_0040,PERSON_00058,2023-06-04,2024-04-14
VEH_0041,PERSON_00071,2021-01-17,
VEH_0042,PERSON_00084,2021-01-18,
VEH_0043,PERSON_00097,2021-02-24,2022-09-29
VEH_0043,PERSON_00382,2022-07-09,
VEH_0044,PERSON_00110,2021-10-29,
VEH_0045,PERSON_00123,2021-10-18,
VEH_0046,PERSON_00136,2022-06-08,2025-02-02
VEH_0047,PERSON_00149,2021-04-16,
VEH_0048,PERSON_00162,2022-01-29,
VEH_0049,PERSON_00175,2022-07-02,2024-10-08
VEH_0050,PERSON_00188,2021-07-13,
VEH_0050,PERSON_00065,2022-11-25,
VEH_0051,PERSON_00201,2022-08-10,
VEH_0052,PERSON_00214,2023-04-28,2024-07-15
VEH_0053,PERSON_00227,2022-10-13,
VEH_0054,PERSON_00240,2021-08-24,
VEH_0055,PERSON_00253,2021-10-17,2024-07-10
VEH_0056,PERSON_00266,2021-10-19,
VEH_0057,PERSON_00279,2023-05-02,
VEH_0057,PERSON_00198,2024-09-13,
VEH_0058,PERSON_00292,2023-05-29,2025-05-13
VEH_0059,PERSON_00305,2023-04-18,
VEH_0060,PERSON_00318,2023-02-14,
VEH_0061,PERSON_00331,2023-03-10,2025-07-11
VEH_0062,PERSON_00344,2022-10-25,
VEH_0063,PERSON_00357,2023-06-15,
VEH_0064,PERSON_00370,2022-02-06,2024-08-17
VEH_0064,PERSON_00331,2023-06-21,
VEH_0065,PERSON_00383,2022-04-05,
VEH_0066,PERSON_00396,2022-09-10,
VEH_0067,PERSON_00409,2022-11-23,2024-02-09
VEH_0068,PERSON_00422,2021-05-30,
VEH_0069,PERSON_00435,2021-02-01,
VEH_0070,PERSON_00448,2023-02-05,2024-03-08
VEH_0071,PERSON_00011,2021-10-13,
VEH_0071,PERSON_00014,2023-02-25,
VEH_0072,PERSON_00024,2022-03-17,
VEH_0073,PERSON_00037,2021-05-13,2023-07-16
VEH_0074,PERSON_00050,2022-02-19,
VEH_0075,PERSON_00063,2022-11-14,
VEH_0076,PERSON_00076,2021-05-04,2023-12-09
VEH_0077,PERSON_00089,2021-06-05,
VEH_0078,PERSON_00102,2021-11-16,
VEH_0078,PERSON_00147,2023-03-31,
VEH_0079,PERSON_00115,2021-10-22,2023-03-22
VEH_0080,PERSON_00128,2023-02-09,
VEH_0081,PERSON_00141,2022-04-22,
VEH_0082,PERSON_00154,2022-06-09,2024-09-28
VEH_0083,PERSON_00167,2021-08-16,
VEH_0084,PERSON_00180,2021-05-07,
VEH_0085,PERSON_00193,2023-03-30,2024-08-21
VEH_0085,PERSON_00280,2024-08-11,
VEH_0086,PERSON_00206,2021-12-11,
VEH_0087,PERSON_00219,2021-12-10,
VEH_0088,PERSON_00232,2021-09-04,2022-05-01
VEH_0089,PERSON_00245,2021-02-12,
VEH_0090,PERSON_00258,2022-10-20,
VEH_0091,PERSON_00271,2022-04-27,2022-10-24
VEH_0092,PERSON_00284,2022-11-28,
VEH_0092,PERSON_00413,2024-04-11,
VEH_0093,PERSON_00297,2022-12-03,
VEH_0094,PERSON_00310,2021-05-06,2022-05-20
VEH_0095,PERSON_00323,2021-02-20,
VEH_0096,PERSON_00336,2022-12-27,
VEH_0097,PERSON_00349,2022-06-28,2024-06-22
VEH_0098,PERSON_00362,2022-01-13,
VEH_0099,PERSON_00375,2021-04-15,
VEH_0099,PERSON_00096,2022-08-28,
VEH_0100,PERSON_00388,2021-11-18,2024-01-09
VEH_0101,PERSON_00401,2021-10-24,
VEH_0102,PERSON_00414,2021-03-23,
VEH_0103,PERSON_00427,2021-11-13,2023-03-09
VEH_0104,PERSON_00440,2021-08-11,
VEH_0105,PERSON_00003,2023-04-18,
VEH_0106,PERSON_00016,2021-07-25,2022-07-22
VEH_0106,PERSON_00229,2022-12-07,
VEH_0107,PERSON_00029,2021-06-26,
VEH_0108,PERSON_00042,2021-11-25,
VEH_0109,PERSON_00055,2022-10-12,2024-05-26
VEH_0110,PERSON_00068,2022-08-30,
VEH_0111,PERSON_00081,2022-10-16,
VEH_0112,PERSON_00094,2021-02-07,2022-03-08
VEH_0113,PERSON_00107,2022-02-03,
VEH_0113,PERSON_00362,2023-06-18,
VEH_0114,PERSON_00120,2022-05-24,
VEH_0115,PERSON_00133,2022-06-05,2025-02-06
VEH_0116,PERSON_00146,2021-07-12,
VEH_0117,PERSON_00159,2021-05-24,
VEH_0118,PERSON_00172,2021-06-08,2023-12-13
VEH_0119,PERSON_00185,2021-01-23,
VEH_0120,PERSON_00198,2022-10-30,
VEH_0120,PERSON_00045,2024-03-13,
VEH_0121,PERSON_00211,2022-11-14,2024-07-13
VEH_0122,PERSON_00224,2021-04-07,
VEH_0123,PERSON_00237,2021-04-08,
VEH_0124,PERSON_00250,2023-06-15,2024-01-03
VEH_0125,PERSON_00263,2022-09-29,
VEH_0126,PERSON_00276,2022-12-26,
VEH_0127,PERSON_00289,2021-11-30,2022-11-23
VEH_0127,PERSON_00178,2023-04-14,
VEH_0128,PERSON_00302,2022-12-18,
VEH_0129,PERSON_00315,2023-02-27,
VEH_0130,PERSON_00328,2022-08-15,2024-03-15
VEH_0131,PERSON_00341,2021-06-25,
VEH_0132,PERSON_00354,2022-05-09,
VEH_0133,PERSON_00367,2023-03-23,2024-04-08
VEH_0134,PERSON_00380,2022-03-13,
VEH_0134,PERSON_00311,2023-07-26,
VEH_0135,PERSON_00393,2022-03-03,
VEH_0136,PERSON_00406,2022-12-09,2025-03-15
VEH_0137,PERSON_00419,2023-04-24,
VEH_0138,PERSON_00432,2022-05-21,
VEH_0139,PERSON_00445,2022-07-26,2024-10-07
VEH_0140,PERSON_00008,2022-02-19,
VEH_0141,PERSON_00021,2022-07-27,
VEH_0141,PERSON_00444,2023-12-09,
VEH_0142,PERSON_00034,2022-04-10,2024-06-06
VEH_0143,PERSON_00047,2023-01-26,
VEH_0144,PERSON_00060,2021-11-30,
VEH_0145,PERSON_00073,2023-05-04,2024-08-22
