sighting_id,vehicle_id,date,location_id,observed_driver,source
SIGHT_00001,VEH_0001,2021-02-11,LOC_0001,PERSON_00001,patrol note
SIGHT_00002,VEH_0002,2023-11-26,LOC_0008,PERSON_00034,patrol note
SIGHT_00003,VEH_0003,2025-05-19,LOC_0015,PERSON_00014,parking record
SIGHT_00004,VEH_0004,2022-05-10,LOC_0022,PERSON_00027,toll camera
SIGHT_00005,VEH_0005,2022-03-03,LOC_0029,PERSON_00125,parking record
SIGHT_00006,VEH_0006,2025-06-28,LOC_0036,PERSON_00053,parking record
SIGHT_00007,VEH_0007,2024-01-08,LOC_0043,PERSON_00066,parking record
SIGHT_00008,VEH_0008,2022-03-21,LOC_0050,PERSON_00079,toll camera
SIGHT_00009,VEH_0009,2022-11-06,LOC_0057,PERSON_00249,CCTV summary
SIGHT_00010,VEH_0010,2022-09-12,LOC_0064,PERSON_00167,CCTV summary
SIGHT_00011,VEH_0011,2021-10-10,LOC_0071,PERSON_00105,CCTV summary
SIGHT_00012,VEH_0012,2021-07-24,LOC_0078,PERSON_00118,patrol note
SIGHT_00013,VEH_0013,2025-01-15,LOC_0085,PERSON_00373,patrol note
SIGHT_00014,VEH_0014,2024-11-06,LOC_0092,PERSON_00144,CCTV summary
SIGHT_00015,VEH_0015,2025-09-01,LOC_0099,PERSON_00157,patrol note
SIGHT_00016,VEH_0016,2024-11-01,LOC_0106,PERSON_00170,patrol note
SIGHT_00017,VEH_0017,2023-01-12,LOC_0113,PERSON_00047,parking record
SIGHT_00018,VEH_0018,2024-04-28,LOC_0120,PERSON_00300,patrol note
SIGHT_00019,VEH_0019,2021-12-06,LOC_0007,PERSON_00196,patrol note
SIGHT_00020,VEH_0020,2024-02-26,LOC_0014,PERSON_00209,parking record
SIGHT_00021,VEH_0021,2021-11-28,LOC_0021,PERSON_00171,patrol note
SIGHT_00022,VEH_0022,2025-08-29,LOC_0028,PERSON_00235,CCTV summary
SIGHT_00023,VEH_0023,2025-07-02,LOC_0035,PERSON_00248,CCTV summary
SIGHT_00024,VEH_0024,2024-02-04,LOC_0042,PERSON_00261,toll camera
SIGHT_00025,VEH_0025,2023-07-03,LOC_0049,PERSON_00295,patrol note
SIGHT_00026,VEH_0026,2024-08-14,LOC_0056,PERSON_00433,toll camera
SIGHT_00027,VEH_0027,2024-08-15,LOC_0063,PERSON_00287,CCTV summary
SIGHT_00028,VEH_0028,2022-07-17,LOC_0070,PERSON_00300,toll camera
SIGHT_00029,VEH_0029,2025-07-02,LOC_0077,PERSON_00419,toll camera
SIGHT_00030,VEH_0030,2024-09-13,LOC_0084,PERSON_00326,CCTV summary
SIGHT_00031,VEH_0031,2021-01-30,LOC_0091,PERSON_00339,CCTV summary
SIGHT_00032,VEH_0032,2026-04-20,LOC_0098,PERSON_00352,toll camera
SIGHT_00033,VEH_0033,2021-12-31,LOC_0105,PERSON_00093,patrol note
SIGHT_00034,VEH_0034,2024-07-10,LOC_0112,PERSON_00116,parking record
SIGHT_00035,VEH_0035,2024-07-04,LOC_0119,PERSON_00378,toll camera
SIGHT_00036,VEH_0036,2021-04-23,LOC_0006,PERSON_00391,toll camera
SIGHT_00037,VEH_0037,2021-03-06,LOC_0013,PERSON_00217,parking record
SIGHT_00038,VEH_0038,2021-06-19,LOC_0020,PERSON_00417,parking record
SIGHT_00039,VEH_0039,2021-12-31,LOC_0027,PERSON_00430,toll camera
SIGHT_00040,VEH_0040,2022-09-01,LOC_0034,PERSON_00443,patrol note
SIGHT_00041,VEH_0041,2024-08-22,LOC_0041,PERSON_00341,parking record
SIGHT_00042,VEH_0042,2023-01-25,LOC_0048,PERSON_00249,CCTV summary
