vehicle_id,registration,make_model,fuel,registered_state
VEH_0001,AP41KI0001,Tata Nexon,Diesel,Andhra Pradesh
VEH_0002,MH61KV0002,Hyundai i20,CNG,Maharashtra
VEH_0003,MP33GU0003,Mahindra Bolero,Petrol,Madhya Pradesh
VEH_0004,BR70BC0004,Hyundai i20,CNG,Bihar
VEH_0005,DL93BK0005,Tata Ace,Diesel,Delhi
VEH_0006,TS50LP0006,Mahindra Bolero,Petrol,Telangana
VEH_0007,WB34IX0007,Maruti Swift,CNG,West Bengal
VEH_0008,CG53MV0008,Hyundai i20,Petrol,Chhattisgarh
VEH_0009,AP10ZG0009,Mahindra Bolero,CNG,Andhra Pradesh
VEH_0010,MP78NZ0010,Maruti Swift,CNG,Madhya Pradesh
VEH_0011,RJ44PT0011,Hyundai i20,CNG,Rajasthan
VEH_0012,GA73LL0012,Honda City,Petrol,Goa
VEH_0013,JH25AW0013,Tata Nexon,CNG,Jharkhand
VEH_0014,CG76DP0014,Tata Nexon,Petrol,Chhattisgarh
VEH_0015,BR17VQ0015,Hyundai i20,Petrol,Bihar
VEH_0016,MP88KD0016,Tata Ace,CNG,Madhya Pradesh
VEH_0017,GA96BR0017,Tata Nexon,Diesel,Goa
VEH_0018,MP46QW0018,Honda City,CNG,Madhya Pradesh
VEH_0019,WB88CP0019,Honda City,Petrol,West Bengal
VEH_0020,UP31SH0020,Tata Ace,Petrol,Uttar Pradesh
VEH_0021,TS56JV0021,Toyota Innova,Diesel,Telangana
VEH_0022,RJ24CQ0022,Toyota Innova,Petrol,Rajasthan
VEH_0023,MH85LA0023,Ashok Leyland Dost,Petrol,Maharashtra
VEH_0024,MP68YS0024,Tata Ace,Diesel,Madhya Pradesh
VEH_0025,JH47OW0025,Maruti Swift,CNG,Jharkhand
VEH_0026,TS50BX0026,Tata Ace,Petrol,Telangana
VEH_0027,UP16DQ0027,Ashok Leyland Dost,CNG,Uttar Pradesh
VEH_0028,JH42NY0028,Toyota Innova,Petrol,Jharkhand
VEH_0029,CG34HD0029,Ashok Leyland Dost,Petrol,Chhattisgarh
VEH_0030,RJ74IO0030,Toyota Innova,Diesel,Rajasthan
VEH_0031,DL41WH0031,Maruti Swift,Petrol,Delhi
VEH_0032,DL43HG0032,Honda City,Diesel,Delhi
VEH_0033,MP85KB0033,Honda City,Diesel,Madhya Pradesh
VEH_0034,BR24EV0034,Honda City,Petrol,Bihar
VEH_0035,GA94PY0035,Maruti Swift,Diesel,Goa
VEH_0036,KA95FB0036,Honda City,Petrol,Karnataka
VEH_0037,MP37WN0037,Tata Ace,CNG,Madhya Pradesh
VEH_0038,TN49QU0038,Tata Ace,Petrol,Tamil Nadu
VEH_0039,OD84HT0039,Toyota Innova,Petrol,Odisha
VEH_0040,OD14EE0040,Mahindra Bolero,CNG,Odisha
VEH_0041,UP75NI0041,Hyundai i20,CNG,Uttar Pradesh
VEH_0042,UP64UX0042,Hyundai i20,Petrol,Uttar Pradesh
VEH_0043,KA53ES0043,Tata Ace,Petrol,Karnataka
VEH_0044,UP86IC0044,Mahindra Bolero,Diesel,Uttar Pradesh
VEH_0045,GA73AB0045,Tata Ace,Diesel,Goa
VEH_0046,MP83BS0046,Honda City,Diesel,Madhya Pradesh
VEH_0047,KA34TD0047,Ashok Leyland Dost,Diesel,Karnataka
VEH_0048,WB90QZ0048,Tata Ace,Diesel,West Bengal
VEH_0049,CG41YB0049,Ashok Leyland Dost,Petrol,Chhattisgarh
VEH_0050,KA94QH0050,Honda City,Diesel,Karnataka
VEH_0051,BR57HK0051,Tata Ace,Diesel,Bihar
VEH_0052,TS75UY0052,Maruti Swift,Petrol,Telangana
VEH_0053,DL19DJ0053,Hyundai i20,CNG,Delhi
VEH_0054,KL14BV0054,Ashok Leyland Dost,Diesel,Kerala
VEH_0055,GJ40QG0055,Hyundai i20,Petrol,Gujarat
VEH_0056,KA52GZ0056,Ashok Leyland Dost,Petrol,Karnataka
VEH_0057,DL29YE0057,Toyota Innova,Petrol,Delhi
VEH_0058,RJ29XY0058,Maruti Swift,Diesel,Rajasthan
VEH_0059,CG77TC0059,Honda City,Petrol,Chhattisgarh
VEH_0060,KL70CD0060,Maruti Swift,Diesel,Kerala
VEH_0061,DL81MU0061,Ashok Leyland Dost,Diesel,Delhi
VEH_0062,MP77AB0062,Honda City,Petrol,Madhya Pradesh
VEH_0063,JH93ZM0063,Honda City,Diesel,Jharkhand
VEH_0064,WB71BP0064,Toyota Innova,CNG,West Bengal
VEH_0065,JH36MJ0065,Tata Nexon,Diesel,Jharkhand
VEH_0066,RJ65PD0066,Tata Nexon,Diesel,Rajasthan
VEH_0067,GA35DA0067,Mahindra Bolero,Diesel,Goa
VEH_0068,GJ45JA0068,Mahindra Bolero,Diesel,Gujarat
VEH_0069,KL56CX0069,Tata Nexon,Diesel,Kerala
VEH_0070,MH87PM0070,Hyundai i20,Petrol,Maharashtra
VEH_0071,MP72NP0071,Maruti Swift,Diesel,Madhya Pradesh
VEH_0072,WB73MW0072,Ashok Leyland Dost,CNG,West Bengal
VEH_0073,UP68JR0073,Toyota Innova,Petrol,Uttar Pradesh
VEH_0074,OD14HF0074,Honda City,Diesel,Odisha
VEH_0075,MP98TN0075,Tata Nexon,Diesel,Madhya Pradesh
VEH_0076,CG67FW0076,Toyota Innova,Petrol,Chhattisgarh
VEH_0077,RJ81AY0077,Mahindra Bolero,Petrol,Rajasthan
VEH_0078,DL20KX0078,Honda City,Diesel,Delhi
VEH_0079,UP37YG0079,Maruti Swift,Petrol,Uttar Pradesh
VEH_0080,TN62OU0080,Ashok Leyland Dost,CNG,Tamil Nadu
VEH_0081,GA80SE0081,Toyota Innova,CNG,Goa
VEH_0082,RJ22YD0082,Tata Ace,Petrol,Rajasthan
VEH_0083,MP16MC0083,Toyota Innova,Diesel,Madhya Pradesh
VEH_0084,TS10YP0084,Tata Ace,Petrol,Telangana
VEH_0085,MP22PY0085,Toyota Innova,Diesel,Madhya Pradesh
VEH_0086,UP66FB0086,Tata Ace,CNG,Uttar Pradesh
VEH_0087,WB99HB0087,Toyota Innova,CNG,West Bengal
VEH_0088,BR65JU0088,Honda City,Petrol,Bihar
VEH_0089,DL48WF0089,Honda City,Petrol,Delhi
VEH_0090,TN51HX0090,Honda City,Diesel,Tamil Nadu
VEH_0091,MH81UT0091,Ashok Leyland Dost,Petrol,Maharashtra
VEH_0092,MH39OY0092,Mahindra Bolero,Diesel,Maharashtra
VEH_0093,TN28CZ0093,Honda City,CNG,Tamil Nadu
VEH_0094,CG60VO0094,Tata Nexon,Petrol,Chhattisgarh
VEH_0095,GA78UF0095,Ashok Leyland Dost,Diesel,Goa
VEH_0096,WB82AN0096,Toyota Innova,Diesel,West Bengal
VEH_0097,RJ76DS0097,Hyundai i20,Diesel,Rajasthan
VEH_0098,CG39LS0098,Toyota Innova,Diesel,Chhattisgarh
VEH_0099,GJ68LX0099,Tata Nexon,CNG,Gujarat
VEH_0100,GA34IY0100,Maruti Swift,Petrol,Goa
VEH_0101,JH36ZR0101,Tata Ace,Diesel,Jharkhand
VEH_0102,OD85CQ0102,Mahindra Bolero,Diesel,Odisha
VEH_0103,MH44OH0103,Toyota Innova,Diesel,Maharashtra
VEH_0104,DL60AD0104,Tata Ace,Diesel,Delhi
VEH_0105,GJ95MJ0105,Toyota Innova,Petrol,Gujarat
VEH_0106,RJ96CT0106,Honda City,Petrol,Rajasthan
VEH_0107,GJ86LQ0107,Tata Nexon,Diesel,Gujarat
VEH_0108,MH60UJ0108,Honda City,CNG,Maharashtra
VEH_0109,UP64KK0109,Toyota Innova,Diesel,Uttar Pradesh
VEH_0110,TS41OM0110,Tata Ace,CNG,Telangana
VEH_0111,KA13YV0111,Mahindra Bolero,Diesel,Karnataka
VEH_0112,OD43MC0112,Toyota Innova,Diesel,Odisha
VEH_0113,WB31PE0113,Mahindra Bolero,CNG,West Bengal
VEH_0114,GJ54IW0114,Tata Nexon,Diesel,Gujarat
VEH_0115,KL78KW0115,Tata Nexon,CNG,Kerala
VEH_0116,TS47ME0116,Ashok Leyland Dost,Petrol,Telangana
VEH_0117,WB93SO0117,Tata Ace,Diesel,West Bengal
VEH_0118,TN21FI0118,Mahindra Bolero,Diesel,Tamil Nadu
VEH_0119,JH35KH0119,Honda City,Diesel,Jharkhand
VEH_0120,CG79VU0120,Tata Nexon,CNG,Chhattisgarh
VEH_0121,OD32IL0121,Honda City,CNG,Odisha
VEH_0122,KA17XR0122,Ashok Leyland Dost,Diesel,Karnataka
VEH_0123,JH34NM0123,Tata Ace,Petrol,Jharkhand
VEH_0124,KA17XC0124,Tata Nexon,CNG,Karnataka
VEH_0125,TN52LC0125,Maruti Swift,CNG,Tamil Nadu
VEH_0126,UP88TT0126,Tata Nexon,Petrol,Uttar Pradesh
VEH_0127,RJ10XW0127,Tata Ace,Petrol,Rajasthan
