call_id,date,from_person,to_person,duration_sec,phone_id,call_type
CALL_000001,2024-01-18,PERSON_00150,PERSON_00188,420,PHONE_00373,voice
CALL_000002,2023-11-20,PERSON_00353,PERSON_00375,65,PHONE_00394,outgoing
CALL_000003,2025-09-30,PERSON_00011,PERSON_00196,1200,PHONE_00533,voice
CALL_000004,2022-08-29,PERSON_00220,PERSON_00178,240,PHONE_00503,missed
CALL_000005,2024-05-27,PERSON_00378,PERSON_00223,600,PHONE_00146,outgoing
CALL_000006,2022-08-11,PERSON_00203,PERSON_00450,60,PHONE_00321,outgoing
CALL_000007,2022-04-12,PERSON_00028,PERSON_00171,65,PHONE_00399,voice
CALL_000008,2021-06-22,PERSON_00076,PERSON_00337,65,PHONE_00504,voice
CALL_000009,2026-01-27,PERSON_00281,PERSON_00072,240,PHONE_00166,voice
CALL_000010,2024-02-24,PERSON_00072,PERSON_00287,0,PHONE_00140,voice
CALL_000011,2024-06-27,PERSON_00016,PERSON_00166,120,PHONE_00555,voice
CALL_000012,2023-05-13,PERSON_00257,PERSON_00174,120,PHONE_00099,voice
CALL_000013,2025-12-13,PERSON_00133,PERSON_00016,65,PHONE_00502,voice
CALL_000014,2021-08-13,PERSON_00173,PERSON_00281,240,PHONE_00529,voice
CALL_000015,2022-03-09,PERSON_00412,PERSON_00246,60,PHONE_00511,voice
CALL_000016,2023-01-12,PERSON_00332,PERSON_00445,180,PHONE_00459,voice
CALL_000017,2025-07-10,PERSON_00300,PERSON_00393,420,PHONE_00060,missed
CALL_000018,2022-12-09,PERSON_00143,PERSON_00166,600,PHONE_00497,missed
CALL_000019,2021-04-23,PERSON_00416,PERSON_00385,780,PHONE_00236,missed
CALL_000020,2022-04-08,PERSON_00279,PERSON_00185,65,PHONE_00329,missed
CALL_000021,2025-03-20,PERSON_00214,PERSON_00167,0,PHONE_00040,missed
CALL_000022,2021-10-21,PERSON_00443,PERSON_00374,180,PHONE_00417,voice
CALL_000023,2024-04-06,PERSON_00375,PERSON_00072,240,PHONE_00387,outgoing
CALL_000024,2026-01-13,PERSON_00125,PERSON_00411,28,PHONE_00638,voice
CALL_000025,2025-01-26,PERSON_00132,PERSON_00436,600,PHONE_00371,voice
CALL_000026,2023-03-09,PERSON_00192,PERSON_00002,30,PHONE_00605,voice
CALL_000027,2022-04-14,PERSON_00281,PERSON_00134,180,PHONE_00166,missed
CALL_000028,2025-11-24,PERSON_00290,PERSON_00283,65,PHONE_00119,voice
CALL_000029,2021-05-16,PERSON_00273,PERSON_00318,300,PHONE_00480,outgoing
CALL_000030,2024-01-10,PERSON_00227,PERSON_00110,300,PHONE_00130,voice
CALL_000031,2021-03-26,PERSON_00105,PERSON_00281,240,PHONE_00106,missed
CALL_000032,2026-05-11,PERSON_00410,PERSON_00045,0,PHONE_00355,missed
CALL_000033,2023-07-18,PERSON_00300,PERSON_00176,240,PHONE_00060,outgoing
CALL_000034,2021-01-10,PERSON_00145,PERSON_00181,300,PHONE_00019,outgoing
CALL_000035,2024-12-16,PERSON_00182,PERSON_00382,780,PHONE_00627,voice
CALL_000036,2025-02-13,PERSON_00300,PERSON_00393,780,PHONE_00060,outgoing
CALL_000037,2022-11-06,PERSON_00072,PERSON_00281,420,PHONE_00140,voice
CALL_000038,2021-05-19,PERSON_00309,PERSON_00232,120,PHONE_00497,voice
CALL_000039,2021-03-30,PERSON_00281,PERSON_00376,12,PHONE_00166,missed
CALL_000040,2025-04-07,PERSON_00052,PERSON_00102,120,PHONE_00582,missed
CALL_000041,2025-05-31,PERSON_00306,PERSON_00043,240,PHONE_00117,outgoing
CALL_000042,2021-09-27,PERSON_00425,PERSON_00082,240,PHONE_00152,voice
CALL_000043,2021-01-18,PERSON_00064,PERSON_00325,300,PHONE_00164,voice
CALL_000044,2026-03-10,PERSON_00448,PERSON_00036,420,PHONE_00284,voice
CALL_000045,2025-05-28,PERSON_00318,PERSON_00270,120,PHONE_00111,missed
CALL_000046,2022-05-06,PERSON_00360,PERSON_00343,65,PHONE_00467,outgoing
CALL_000047,2023-05-06,PERSON_00163,PERSON_00069,780,PHONE_00323,voice
CALL_000048,2021-12-24,PERSON_00157,PERSON_00426,420,PHONE_00232,voice
CALL_000049,2021-04-24,PERSON_00182,PERSON_00402,420,PHONE_00627,missed
CALL_000050,2025-01-11,PERSON_00320,PERSON_00173,120,PHONE_00336,voice
CALL_000051,2023-02-11,PERSON_00035,PERSON_00168,300,PHONE_00341,outgoing
CALL_000052,2022-09-08,PERSON_00113,PERSON_00348,180,PHONE_00054,voice
CALL_000053,2021-08-23,PERSON_00430,PERSON_00388,120,PHONE_00434,missed
CALL_000054,2021-04-16,PERSON_00416,PERSON_00319,180,PHONE_00236,voice
CALL_000055,2025-12-25,PERSON_00078,PERSON_00096,60,PHONE_00134,voice
CALL_000056,2025-10-12,PERSON_00240,PERSON_00064,60,PHONE_00284,outgoing
CALL_000057,2022-08-17,PERSON_00442,PERSON_00223,0,PHONE_00022,voice
CALL_000058,2025-09-24,PERSON_00011,PERSON_00057,65,PHONE_00533,voice
CALL_000059,2025-05-09,PERSON_00223,PERSON_00099,180,PHONE_00141,outgoing
CALL_000060,2022-06-10,PERSON_00268,PERSON_00445,600,PHONE_00365,voice
