case_id,person_id,role
CASE_0001,PERSON_00027,primary subject
CASE_0001,PERSON_00204,associate
CASE_0002,PERSON_00287,primary subject
CASE_0002,PERSON_00212,associate
CASE_0002,PERSON_00090,witness
CASE_0003,PERSON_00203,primary subject
CASE_0003,PERSON_00266,associate
CASE_0003,PERSON_00281,witness
CASE_0004,PERSON_00283,primary subject
CASE_0004,PERSON_00014,associate
CASE_0005,PERSON_00426,primary subject
CASE_0005,PERSON_00091,associate
CASE_0006,PERSON_00192,primary subject
CASE_0006,PERSON_00025,associate
CASE_0006,PERSON_00097,witness
CASE_0007,PERSON_00259,primary subject
CASE_0007,PERSON_00287,associate
CASE_0008,PERSON_00204,primary subject
CASE_0008,PERSON_00130,associate
CASE_0008,PERSON_00134,witness
CASE_0009,PERSON_00023,primary subject
CASE_0009,PERSON_00302,associate
CASE_0010,PERSON_00147,primary subject
CASE_0010,PERSON_00198,associate
CASE_0011,PERSON_00064,primary subject
CASE_0011,PERSON_00049,associate
CASE_0011,PERSON_00336,witness
CASE_0012,PERSON_00272,primary subject
CASE_0012,PERSON_00048,associate
CASE_0012,PERSON_00040,witness
CASE_0013,PERSON_00011,primary subject
CASE_0013,PERSON_00183,associate
CASE_0013,PERSON_00293,witness
CASE_0014,PERSON_00072,primary subject
CASE_0014,PERSON_00349,associate
CASE_0015,PERSON_00427,primary subject
CASE_0015,PERSON_00405,associate
CASE_0016,PERSON_00300,primary subject
CASE_0016,PERSON_00109,associate
CASE_0016,PERSON_00258,witness
CASE_0017,PERSON_00325,primary subject
CASE_0017,PERSON_00268,associate
CASE_0017,PERSON_00049,witness
CASE_0017,PERSON_00065,complainant
CASE_0017,PERSON_00402,employee
CASE_0018,PERSON_00281,primary subject
CASE_0018,PERSON_00122,associate
CASE_0018,PERSON_00387,witness
CASE_0019,PERSON_00444,primary subject
CASE_0019,PERSON_00326,associate
CASE_0019,PERSON_00226,witness
CASE_0020,PERSON_00184,primary subject
CASE_0020,PERSON_00181,associate
CASE_0020,PERSON_00125,witness
CASE_0020,PERSON_00061,complainant
CASE_0020,PERSON_00013,employee
CASE_0021,PERSON_00407,primary subject
CASE_0021,PERSON_00195,associate
CASE_0021,PERSON_00003,witness
CASE_0021,PERSON_00025,complainant
CASE_0022,PERSON_00032,primary subject
CASE_0022,PERSON_00427,associate
CASE_0022,PERSON_00054,witness
CASE_0022,PERSON_00026,complainant
CASE_0023,PERSON_00113,primary subject
CASE_0023,PERSON_00133,associate
CASE_0023,PERSON_00047,witness
CASE_0023,PERSON_00025,complainant
CASE_0024,PERSON_00449,primary subject
CASE_0024,PERSON_00213,associate
CASE_0024,PERSON_00114,witness
CASE_0025,PERSON_00102,primary subject
CASE_0025,PERSON_00096,associate
CASE_0025,PERSON_00396,witness
CASE_0025,PERSON_00399,complainant
CASE_0025,PERSON_00306,employee
CASE_0026,PERSON_00272,primary subject
CASE_0026,PERSON_00438,associate
CASE_0026,PERSON_00125,witness
CASE_0026,PERSON_00154,complainant
CASE_0027,PERSON_00179,primary subject
CASE_0027,PERSON_00373,associate
CASE_0027,PERSON_00342,witness
CASE_0028,PERSON_00281,primary subject
CASE_0028,PERSON_00206,associate
CASE_0028,PERSON_00086,witness
CASE_0029,PERSON_00363,primary subject
CASE_0029,PERSON_00161,associate
CASE_0029,PERSON_00034,witness
CASE_0030,PERSON_00287,primary subject
CASE_0030,PERSON_00175,associate
CASE_0030,PERSON_00091,witness
CASE_0030,PERSON_00304,complainant
CASE_0031,PERSON_00388,primary subject
CASE_0031,PERSON_00075,associate
CASE_0031,PERSON_00289,witness
CASE_0031,PERSON_00011,complainant
CASE_0032,PERSON_00033,primary subject
CASE_0032,PERSON_00269,associate
CASE_0032,PERSON_00060,witness
CASE_0033,PERSON_00309,primary subject
CASE_0033,PERSON_00316,associate
CASE_0033,PERSON_00348,witness
CASE_0034,PERSON_00078,primary subject
CASE_0034,PERSON_00036,associate
CASE_0034,PERSON_00254,witness
CASE_0035,PERSON_00011,primary subject
CASE_0035,PERSON_00125,associate
CASE_0035,PERSON_00027,witness
CASE_0035,PERSON_00176,complainant
CASE_0036,PERSON_00151,primary subject
CASE_0036,PERSON_00082,associate
CASE_0036,PERSON_00438,witness
CASE_0036,PERSON_00367,complainant
CASE_0037,PERSON_00417,primary subject
CASE_0037,PERSON_00200,associate
CASE_0037,PERSON_00105,witness
CASE_0038,PERSON_00398,primary subject
CASE_0038,PERSON_00226,associate
CASE_0038,PERSON_00197,witness
CASE_0039,PERSON_00188,primary subject
CASE_0039,PERSON_00319,associate
CASE_0039,PERSON_00409,witness
CASE_0039,PERSON_00321,complainant
CASE_0040,PERSON_00127,primary subject
CASE_0040,PERSON_00419,associate
CASE_0040,PERSON_00210,witness
CASE_0040,PERSON_00301,complainant
CASE_0041,PERSON_00088,primary subject
CASE_0041,PERSON_00180,associate
CASE_0041,PERSON_00048,witness
CASE_0041,PERSON_00434,complainant
CASE_0041,PERSON_00445,employee
CASE_0042,PERSON_00281,primary subject
CASE_0042,PERSON_00332,associate
CASE_0042,PERSON_00176,witness
CASE_0042,PERSON_00250,complainant
CASE_0042,PERSON_00301,employee
CASE_0043,PERSON_00027,primary subject
CASE_0043,PERSON_00195,associate
CASE_0043,PERSON_00030,witness
CASE_0043,PERSON_00055,complainant
CASE_0043,PERSON_00094,employee
CASE_0044,PERSON_00182,primary subject
CASE_0044,PERSON_00191,associate
CASE_0044,PERSON_00252,witness
CASE_0044,PERSON_00014,complainant
CASE_0044,PERSON_00181,employee
CASE_0045,PERSON_00130,primary subject
CASE_0045,PERSON_00281,associate
CASE_0045,PERSON_00012,witness
CASE_0046,PERSON_00146,primary subject
CASE_0046,PERSON_00066,associate
CASE_0046,PERSON_00275,witness
CASE_0046,PERSON_00449,complainant
CASE_0046,PERSON_00155,employee
CASE_0046,PERSON_00313,account holder
CASE_0046,PERSON_00065,vehicle owner
CASE_0046,PERSON_00084,primary subject
CASE_0047,PERSON_00426,primary subject
CASE_0047,PERSON_00440,associate
CASE_0047,PERSON_00256,witness
CASE_0047,PERSON_00148,complainant
CASE_0047,PERSON_00139,employee
CASE_0048,PERSON_00185,primary subject
CASE_0048,PERSON_00134,associate
CASE_0048,PERSON_00391,witness
CASE_0048,PERSON_00165,complainant
CASE_0048,PERSON_00116,employee
CASE_0048,PERSON_00032,account holder
CASE_0048,PERSON_00200,vehicle owner
CASE_0048,PERSON_00289,primary subject
CASE_0049,PERSON_00178,primary subject
CASE_0049,PERSON_00011,associate
CASE_0049,PERSON_00278,witness
CASE_0049,PERSON_00127,complainant
CASE_0049,PERSON_00332,employee
CASE_0049,PERSON_00299,account holder
CASE_0049,PERSON_00120,vehicle owner
CASE_0049,PERSON_00197,primary subject
CASE_0050,PERSON_00169,primary subject
CASE_0050,PERSON_00344,associate
CASE_0050,PERSON_00221,witness
CASE_0050,PERSON_00150,complainant
CASE_0050,PERSON_00299,employee
CASE_0051,PERSON_00074,primary subject
CASE_0051,PERSON_00363,associate
CASE_0051,PERSON_00391,witness
CASE_0051,PERSON_00211,complainant
CASE_0051,PERSON_00016,employee
CASE_0051,PERSON_00073,account holder
CASE_0052,PERSON_00065,primary subject
CASE_0052,PERSON_00225,associate
CASE_0052,PERSON_00206,witness
CASE_0052,PERSON_00060,complainant
CASE_0052,PERSON_00131,employee
CASE_0052,PERSON_00148,account holder
CASE_0052,PERSON_00407,vehicle owner
CASE_0052,PERSON_00389,primary subject
CASE_0053,PERSON_00064,primary subject
CASE_0053,PERSON_00217,associate
CASE_0053,PERSON_00184,witness
CASE_0053,PERSON_00065,complainant
CASE_0053,PERSON_00316,employee
CASE_0054,PERSON_00272,primary subject
CASE_0054,PERSON_00046,associate
CASE_0054,PERSON_00020,witness
CASE_0054,PERSON_00200,complainant
CASE_0054,PERSON_00336,employee
CASE_0055,PERSON_00100,primary subject
CASE_0055,PERSON_00410,associate
CASE_0055,PERSON_00109,witness
CASE_0055,PERSON_00260,complainant
CASE_0055,PERSON_00448,employee
CASE_0055,PERSON_00426,account holder
CASE_0055,PERSON_00111,vehicle owner
CASE_0056,PERSON_00281,primary subject
CASE_0056,PERSON_00125,associate
CASE_0056,PERSON_00068,witness
CASE_0056,PERSON_00434,complainant
CASE_0056,PERSON_00223,employee
CASE_0056,PERSON_00091,account holder
CASE_0056,PERSON_00047,vehicle owner
CASE_0056,PERSON_00051,primary subject
CASE_0057,PERSON_00048,primary subject
CASE_0057,PERSON_00054,associate
CASE_0057,PERSON_00100,witness
CASE_0057,PERSON_00308,complainant
CASE_0057,PERSON_00063,employee
CASE_0057,PERSON_00369,account holder
CASE_0058,PERSON_00378,primary subject
CASE_0058,PERSON_00298,associate
CASE_0058,PERSON_00060,witness
CASE_0058,PERSON_00421,complainant
CASE_0058,PERSON_00007,employee
CASE_0058,PERSON_00337,account holder
CASE_0058,PERSON_00058,vehicle owner
CASE_0059,PERSON_00173,primary subject
CASE_0059,PERSON_00186,associate
CASE_0059,PERSON_00440,witness
CASE_0059,PERSON_00125,complainant
CASE_0059,PERSON_00398,employee
CASE_0059,PERSON_00369,account holder
CASE_0060,PERSON_00391,primary subject
CASE_0060,PERSON_00054,associate
CASE_0060,PERSON_00322,witness
CASE_0060,PERSON_00316,complainant
CASE_0060,PERSON_00342,employee
CASE_0060,PERSON_00193,account holder
CASE_0060,PERSON_00064,vehicle owner
