case_member_id,case_id,person_id,role
CM00001,C0001,P0099,WITNESS
CM00002,C0001,P0096,UNKNOWN
CM00003,C0001,P0073,COMPLAINANT
CM00004,C0001,P0161,SUBJECT
CM00005,C0001,P0033,WITNESS
CM00006,C0001,P0158,ASSOCIATE
CM00007,C0001,P0110,UNKNOWN
CM00008,C0001,P0176,COMPLAINANT
CM00009,C0001,P0068,SUBJECT
CM00010,C0002,P0028,ASSOCIATE
CM00011,C0002,P0116,COMPLAINANT
CM00012,C0002,P0141,UNKNOWN
CM00013,C0002,P0151,COMPLAINANT
CM00014,C0002,P0153,WITNESS
CM00015,C0002,P0167,UNKNOWN
CM00016,C0003,P0168,SUBJECT
CM00017,C0003,P0092,SUBJECT
CM00018,C0003,P0108,COMPLAINANT
CM00019,C0003,P0082,COMPLAINANT
CM00020,C0003,P0095,COMPLAINANT
CM00021,C0003,P0021,WITNESS
CM00022,C0003,P0113,WITNESS
CM00023,C0003,P0127,UNKNOWN
CM00024,C0003,P0020,UNKNOWN
CM00025,C0004,P0057,ASSOCIATE
CM00026,C0004,P0130,WITNESS
CM00027,C0004,P0124,UNKNOWN
CM00028,C0004,P0101,COMPLAINANT
CM00029,C0004,P0007,UNKNOWN
CM00030,C0005,P0012,UNKNOWN
CM00031,C0005,P0120,SUBJECT
CM00032,C0005,P0034,UNKNOWN
CM00033,C0005,P0168,UNKNOWN
CM00034,C0005,P0009,ASSOCIATE
CM00035,C0005,P0149,WITNESS
CM00036,C0005,P0110,SUBJECT
CM00037,C0005,P0147,COMPLAINANT
CM00038,C0005,P0135,SUBJECT
CM00039,C0006,P0138,ASSOCIATE
CM00040,C0006,P0131,ASSOCIATE
CM00041,C0006,P0019,WITNESS
CM00042,C0006,P0028,UNKNOWN
CM00043,C0006,P0150,UNKNOWN
CM00044,C0006,P0165,ASSOCIATE
CM00045,C0006,P0173,WITNESS
CM00046,C0006,P0171,WITNESS
CM00047,C0006,P0006,UNKNOWN
CM00048,C0007,P0047,COMPLAINANT
CM00049,C0007,P0013,ASSOCIATE
CM00050,C0007,P0113,ASSOCIATE
CM00051,C0008,P0101,ASSOCIATE
CM00052,C0008,P0064,UNKNOWN
CM00053,C0008,P0030,UNKNOWN
CM00054,C0008,P0110,ASSOCIATE
CM00055,C0008,P0141,UNKNOWN
CM00056,C0008,P0031,WITNESS
CM00057,C0008,P0117,UNKNOWN
CM00058,C0009,P0020,ASSOCIATE
CM00059,C0009,P0163,UNKNOWN
CM00060,C0009,P0046,UNKNOWN
CM00061,C0009,P0071,WITNESS
CM00062,C0009,P0081,UNKNOWN
CM00063,C0009,P0152,COMPLAINANT
CM00064,C0009,P0174,ASSOCIATE
CM00065,C0009,P0067,WITNESS
CM00066,C0009,P0041,UNKNOWN
CM00067,C0010,P0001,WITNESS
CM00068,C0010,P0020,ASSOCIATE
CM00069,C0010,P0155,COMPLAINANT
CM00070,C0010,P0094,WITNESS
CM00071,C0010,P0111,ASSOCIATE
CM00072,C0010,P0025,ASSOCIATE
CM00073,C0010,P0004,WITNESS
CM00074,C0010,P0095,COMPLAINANT
CM00075,C0010,P0080,SUBJECT
CM00076,C0010,P0029,WITNESS
CM00077,C0011,P0135,WITNESS
CM00078,C0011,P0094,UNKNOWN
CM00079,C0011,P0013,ASSOCIATE
CM00080,C0011,P0067,WITNESS
CM00081,C0011,P0164,COMPLAINANT
CM00082,C0011,P0162,WITNESS
CM00083,C0012,P0067,COMPLAINANT
CM00084,C0012,P0101,SUBJECT
CM00085,C0012,P0110,ASSOCIATE
CM00086,C0013,P0139,UNKNOWN
CM00087,C0013,P0017,WITNESS
CM00088,C0013,P0025,ASSOCIATE
CM00089,C0013,P0028,ASSOCIATE
CM00090,C0013,P0174,SUBJECT
CM00091,C0013,P0069,ASSOCIATE
CM00092,C0013,P0083,ASSOCIATE
CM00093,C0013,P0121,WITNESS
CM00094,C0013,P0037,WITNESS
CM00095,C0014,P0058,ASSOCIATE
