cdr_id,timestamp,from_phone_id,to_phone_id,duration_seconds,call_type,cell_location_id,case_id
CDR00001,2024-03-09 07:00:00,PH0001,PH0002,415,SMS,L001,C101
CDR00002,2024-03-13 07:00:00,PH0001,PH0003,135,VOICE,L001,C101
CDR00003,2024-03-05 11:00:00,PH0002,PH0003,62,SMS,L001,C101
CDR00004,2024-03-04 05:00:00,PH0002,PH0005,503,VOICE,L001,C101
CDR00005,2024-03-06 09:00:00,PH0003,PH0005,510,SMS,L001,C101
CDR00006,2024-03-09 08:00:00,PH0003,PH0010,247,VOICE,L001,C101
CDR00007,2024-03-06 06:00:00,PH0005,PH0010,220,SMS,L001,C101
CDR00008,2024-03-05 15:00:00,PH0005,PH0016,111,VOICE,L001,C101
CDR00009,2024-03-13 13:00:00,PH0010,PH0016,430,SMS,L001,C101
CDR00010,2024-03-30 14:00:00,PH0002,PH0004,255,VOICE,L001,C102
CDR00011,2024-04-02 12:00:00,PH0002,PH0005,48,SMS,L001,C102
CDR00012,2024-04-05 14:00:00,PH0004,PH0005,83,VOICE,L001,C102
CDR00013,2024-04-02 13:00:00,PH0004,PH0011,101,SMS,L001,C102
CDR00014,2024-04-06 07:00:00,PH0005,PH0011,254,VOICE,L001,C102
CDR00015,2024-04-07 07:00:00,PH0005,PH0018,583,SMS,L001,C102
CDR00016,2024-03-30 09:00:00,PH0011,PH0018,304,VOICE,L001,C102
CDR00017,2024-04-29 12:00:00,PH0005,PH0006,541,SMS,L001,C103
CDR00018,2024-04-22 11:00:00,PH0005,PH0015,562,VOICE,L001,C103
CDR00019,2024-04-23 11:00:00,PH0006,PH0015,523,SMS,L001,C103
CDR00020,2024-04-27 07:00:00,PH0006,PH0019,57,VOICE,L001,C103
CDR00021,2024-04-27 07:00:00,PH0015,PH0019,45,SMS,L001,C103
CDR00022,2024-06-16 15:00:00,PH0003,PH0007,552,VOICE,L001,C104
CDR00023,2024-06-13 10:00:00,PH0003,PH0014,129,SMS,L001,C104
CDR00024,2024-06-08 15:00:00,PH0007,PH0014,164,VOICE,L001,C104
CDR00025,2024-06-12 16:00:00,PH0007,PH0017,563,SMS,L001,C104
CDR00026,2024-06-11 05:00:00,PH0014,PH0017,243,VOICE,L001,C104
CDR00027,2024-06-11 08:00:00,PH0014,PH0020,73,SMS,L001,C104
CDR00028,2024-06-07 10:00:00,PH0017,PH0020,498,VOICE,L001,C104
CDR00029,2024-07-16 14:00:00,PH0008,PH0021,306,SMS,L001,C105
CDR00030,2024-07-16 11:00:00,PH0008,PH0022,121,VOICE,L001,C105
CDR00031,2024-07-17 14:00:00,PH0021,PH0022,598,SMS,L001,C105
CDR00032,2024-08-27 04:00:00,PH0004,PH0005,427,VOICE,L001,C106
CDR00033,2024-08-21 13:00:00,PH0004,PH0009,436,SMS,L001,C106
CDR00034,2024-08-19 09:00:00,PH0005,PH0009,314,VOICE,L001,C106
CDR00035,2024-08-21 11:00:00,PH0005,PH0016,420,SMS,L001,C106
CDR00036,2024-08-22 08:00:00,PH0009,PH0016,50,VOICE,L001,C106
CDR00037,2024-09-11 10:00:00,PH0003,PH0012,444,SMS,L001,C107
CDR00038,2024-09-09 14:00:00,PH0003,PH0017,463,VOICE,L001,C107
CDR00039,2024-09-11 08:00:00,PH0012,PH0017,175,SMS,L001,C107
CDR00040,2024-09-06 16:00:00,PH0012,PH0023,58,VOICE,L001,C107
CDR00041,2024-09-04 06:00:00,PH0017,PH0023,220,SMS,L001,C107
CDR00042,2024-10-04 18:20:00,PH0013,PH0025,180,VOICE,L008,C108
CDR00043,2024-11-05 08:00:00,PH0005,PH0026,257,SMS,L001,C109
CDR00044,2024-11-02 07:00:00,PH0005,PH0027,267,VOICE,L001,C109
CDR00045,2024-11-03 13:00:00,PH0026,PH0027,512,SMS,L001,C109
CDR00046,2024-11-28 14:00:00,PH0003,PH0028,304,VOICE,L001,C110
CDR00047,2024-11-20 15:00:00,PH0003,PH0029,289,SMS,L001,C110
CDR00048,2024-11-23 14:00:00,PH0028,PH0029,595,VOICE,L001,C110
CDR00049,2024-11-29 16:00:00,PH0028,PH0030,302,SMS,L001,C110
CDR00050,2024-11-22 10:00:00,PH0029,PH0030,241,VOICE,L001,C110
CDR00051,2024-05-01 11:15:00,PH0005,PH0001,320,VOICE,L002,
CDR00052,2024-05-01 11:15:00,PH0005,PH0002,320,VOICE,L002,
CDR00053,2024-05-01 11:15:00,PH0005,PH0004,320,VOICE,L002,
CDR00054,2024-05-01 11:15:00,PH0005,PH0006,320,VOICE,L002,
