device_id,imei,device_type
DEV_0001,451919362604570,Feature Phone
DEV_0002,443867301297339,Feature Phone
DEV_0003,643011269040155,Android Phone
DEV_0004,807461551789621,Android Phone
DEV_0005,640470052497804,Feature Phone
DEV_0006,659465145458976,Android Phone
DEV_0007,761909765132059,Feature Phone
DEV_0008,531763836988844,Laptop
DEV_0009,500956242889057,Feature Phone
DEV_0010,408868978077651,Tablet
DEV_0011,790151931988372,Feature Phone
DEV_0012,387441515073813,Feature Phone
DEV_0013,875598974060054,Laptop
DEV_0014,530691977021603,Laptop
DEV_0015,392125470771517,Laptop
DEV_0016,551095063814065,Laptop
DEV_0017,555706669404733,Feature Phone
DEV_0018,688336003755256,Tablet
DEV_0019,751631945504896,Tablet
DEV_0020,387586031166253,Laptop
DEV_0021,509340510001915,Android Phone
DEV_0022,518293396603178,Android Phone
DEV_0023,628119528499898,Android Phone
DEV_0024,864488504977728,Feature Phone
DEV_0025,483990877863096,Tablet
DEV_0026,866867309485473,Laptop
DEV_0027,624712532646890,Android Phone
DEV_0028,698847546544016,Tablet
DEV_0029,674911665358038,Tablet
DEV_0030,698297646538298,Android Phone
DEV_0031,760056848582862,Android Phone
DEV_0032,683340072943235,Laptop
DEV_0033,506844701398633,Tablet
DEV_0034,793352551778197,Android Phone
DEV_0035,563200659605222,Tablet
DEV_0036,630338875449821,Tablet
DEV_0037,491223475169749,Laptop
DEV_0038,588087535048401,Tablet
DEV_0039,785370753616713,Tablet
DEV_0040,890259204417175,Tablet
DEV_0041,581117975749137,Tablet
DEV_0042,737354801415722,Android Phone
DEV_0043,821263909289573,Laptop
DEV_0044,620939931143407,Android Phone
DEV_0045,642941602254129,Tablet
DEV_0046,521702010580112,Feature Phone
DEV_0047,651631914928736,Tablet
DEV_0048,812280096303287,Tablet
DEV_0049,607755750023909,Laptop
DEV_0050,437995172816778,Feature Phone
DEV_0051,508296783983754,Feature Phone
DEV_0052,820648391474749,Android Phone
DEV_0053,642919308419627,Laptop
DEV_0054,755452501529956,Tablet
DEV_0055,734513741355531,Feature Phone
DEV_0056,836368770556386,Feature Phone
DEV_0057,711708960650477,Tablet
DEV_0058,638681351734501,Android Phone
DEV_0059,850347568105375,Android Phone
DEV_0060,761740770892404,Feature Phone
DEV_0061,489147076751936,Android Phone
DEV_0062,680357459142519,Feature Phone
DEV_0063,899715274264423,Feature Phone
DEV_0064,356915436965323,Android Phone
DEV_0065,860391698050820,Laptop
DEV_0066,451594627807673,Feature Phone
DEV_0067,454186324725759,Laptop
DEV_0068,784730255004655,Android Phone
DEV_0069,562569315762673,Android Phone
DEV_0070,750074136407474,Android Phone
DEV_0071,475577677473371,Laptop
DEV_0072,632710435336827,Feature Phone
DEV_0073,553988069792745,Tablet
DEV_0074,701544010469639,Laptop
DEV_0075,743373671621796,Android Phone
DEV_0076,579572634907009,Tablet
DEV_0077,825896340245139,Laptop
DEV_0078,733097265821402,Android Phone
DEV_0079,387074703030209,Android Phone
DEV_0080,801275940077478,Feature Phone
DEV_0081,573316775816272,Tablet
DEV_0082,603753707610916,Tablet
DEV_0083,479957872678620,Android Phone
DEV_0084,453342366831211,Laptop
DEV_0085,763478029487134,Feature Phone
DEV_0086,755119751677690,Android Phone
DEV_0087,754257215587883,Tablet
DEV_0088,459802221383514,Tablet
DEV_0089,507189859242342,Android Phone
DEV_0090,504463036315418,Feature Phone
DEV_0091,716897840298928,Android Phone
DEV_0092,409691358928214,Feature Phone
DEV_0093,672408729701256,Android Phone
DEV_0094,873698599920280,Tablet
DEV_0095,698955572531270,Android Phone
DEV_0096,734445481872231,Laptop
DEV_0097,361646302238631,Tablet
DEV_0098,840452526045201,Android Phone
DEV_0099,581526106024620,Android Phone
DEV_0100,411844227288402,Android Phone
DEV_0101,437407251764806,Tablet
DEV_0102,754098044514675,Android Phone
DEV_0103,741349006249252,Feature Phone
DEV_0104,434218218025665,Laptop
DEV_0105,661830014066772,Tablet
DEV_0106,782259157517772,Feature Phone
DEV_0107,696752038734943,Laptop
DEV_0108,859462867903474,Tablet
DEV_0109,548584569108336,Tablet
DEV_0110,717408147469396,Tablet
