document_id,case_id,document_type,file_path,language,source_environment
DOC00001,C0011,FIR_NOTE,documents/DOC00001.txt,en,synthetic
DOC00002,C0029,FIR_NOTE,documents/DOC00002.txt,en,synthetic
DOC00003,C0026,FIR_NOTE,documents/DOC00003.txt,en,synthetic
DOC00004,C0015,FIR_NOTE,documents/DOC00004.txt,en,synthetic
DOC00005,C0021,FIR_NOTE,documents/DOC00005.txt,en,synthetic
DOC00006,C0014,FIR_NOTE,documents/DOC00006.txt,en,synthetic
DOC00007,C0008,FIR_NOTE,documents/DOC00007.txt,en,synthetic
DOC00008,C0013,FIR_NOTE,documents/DOC00008.txt,en,synthetic
DOC00009,C0012,FIR_NOTE,documents/DOC00009.txt,en,synthetic
DOC00010,C0026,FIR_NOTE,documents/DOC00010.txt,en,synthetic
DOC00011,C0028,FIR_NOTE,documents/DOC00011.txt,en,synthetic
DOC00012,C0017,FIR_NOTE,documents/DOC00012.txt,en,synthetic
DOC00013,C0011,FIR_NOTE,documents/DOC00013.txt,en,synthetic
DOC00014,C0009,FIR_NOTE,documents/DOC00014.txt,en,synthetic
DOC00015,C0031,FIR_NOTE,documents/DOC00015.txt,en,synthetic
DOC00016,C0026,FIR_NOTE,documents/DOC00016.txt,en,synthetic
DOC00017,C0022,FIR_NOTE,documents/DOC00017.txt,en,synthetic
DOC00018,C0033,FIR_NOTE,documents/DOC00018.txt,en,synthetic
DOC00019,C0007,FIR_NOTE,documents/DOC00019.txt,en,synthetic
DOC00020,C0015,FIR_NOTE,documents/DOC00020.txt,en,synthetic
DOC00021,C0017,FIR_NOTE,documents/DOC00021.txt,en,synthetic
DOC00022,C0031,FIR_NOTE,documents/DOC00022.txt,en,synthetic
DOC00023,C0016,FIR_NOTE,documents/DOC00023.txt,en,synthetic
DOC00024,C0004,FIR_NOTE,documents/DOC00024.txt,en,synthetic
DOC00025,C0009,FIR_NOTE,documents/DOC00025.txt,en,synthetic
DOC00026,C0026,FIR_NOTE,documents/DOC00026.txt,en,synthetic
DOC00027,C0009,FIR_NOTE,documents/DOC00027.txt,en,synthetic
DOC00028,C0027,FIR_NOTE,documents/DOC00028.txt,en,synthetic
DOC00029,C0036,FIR_NOTE,documents/DOC00029.txt,en,synthetic
DOC00030,C0007,FIR_NOTE,documents/DOC00030.txt,en,synthetic
DOC00031,C0014,FIR_NOTE,documents/DOC00031.txt,en,synthetic
DOC00032,C0029,FIR_NOTE,documents/DOC00032.txt,en,synthetic
DOC00033,C0023,FIR_NOTE,documents/DOC00033.txt,en,synthetic
DOC00034,C0003,FIR_NOTE,documents/DOC00034.txt,en,synthetic
DOC00035,C0005,FIR_NOTE,documents/DOC00035.txt,en,synthetic
DOC00036,C0025,FIR_NOTE,documents/DOC00036.txt,en,synthetic
DOC00037,C0026,FIR_NOTE,documents/DOC00037.txt,en,synthetic
DOC00038,C0029,FIR_NOTE,documents/DOC00038.txt,en,synthetic
DOC00039,C0006,FIR_NOTE,documents/DOC00039.txt,en,synthetic
DOC00040,C0003,FIR_NOTE,documents/DOC00040.txt,en,synthetic
DOC00041,C0008,FIR_NOTE,documents/DOC00041.txt,en,synthetic
DOC00042,C0006,FIR_NOTE,documents/DOC00042.txt,en,synthetic
DOC00043,C0013,FIR_NOTE,documents/DOC00043.txt,en,synthetic
DOC00044,C0028,FIR_NOTE,documents/DOC00044.txt,en,synthetic
DOC00045,C0010,FIR_NOTE,documents/DOC00045.txt,en,synthetic
DOC00046,C0013,FIR_NOTE,documents/DOC00046.txt,en,synthetic
DOC00047,C0023,FIR_NOTE,documents/DOC00047.txt,en,synthetic
DOC00048,C0022,FIR_NOTE,documents/DOC00048.txt,en,synthetic
DOC00049,C0020,FIR_NOTE,documents/DOC00049.txt,en,synthetic
DOC00050,C0021,FIR_NOTE,documents/DOC00050.txt,en,synthetic
DOC00051,C0001,FIR_NOTE,documents/DOC00051.txt,en,synthetic
DOC00052,C0003,FIR_NOTE,documents/DOC00052.txt,en,synthetic
DOC00053,C0020,FIR_NOTE,documents/DOC00053.txt,en,synthetic
DOC00054,C0013,FIR_NOTE,documents/DOC00054.txt,en,synthetic
DOC00055,C0010,FIR_NOTE,documents/DOC00055.txt,en,synthetic
DOC00056,C0027,FIR_NOTE,documents/DOC00056.txt,en,synthetic
DOC00057,C0033,FIR_NOTE,documents/DOC00057.txt,en,synthetic
DOC00058,C0036,FIR_NOTE,documents/DOC00058.txt,en,synthetic
DOC00059,C0002,FIR_NOTE,documents/DOC00059.txt,en,synthetic
DOC00060,C0027,FIR_NOTE,documents/DOC00060.txt,en,synthetic
DOC00061,C0013,FIR_NOTE,documents/DOC00061.txt,en,synthetic
DOC00062,C0017,FIR_NOTE,documents/DOC00062.txt,en,synthetic
DOC00063,C0015,FIR_NOTE,documents/DOC00063.txt,en,synthetic
DOC00064,C0022,FIR_NOTE,documents/DOC00064.txt,en,synthetic
DOC00065,C0014,FIR_NOTE,documents/DOC00065.txt,en,synthetic
DOC00066,C0035,FIR_NOTE,documents/DOC00066.txt,en,synthetic
DOC00067,C0012,FIR_NOTE,documents/DOC00067.txt,en,synthetic
DOC00068,C0013,FIR_NOTE,documents/DOC00068.txt,en,synthetic
DOC00069,C0005,FIR_NOTE,documents/DOC00069.txt,en,synthetic
DOC00070,C0004,FIR_NOTE,documents/DOC00070.txt,en,synthetic
DOC00071,C0022,FIR_NOTE,documents/DOC00071.txt,en,synthetic
DOC00072,C0004,FIR_NOTE,documents/DOC00072.txt,en,synthetic
DOC00073,C0027,FIR_NOTE,documents/DOC00073.txt,en,synthetic
DOC00074,C0014,FIR_NOTE,documents/DOC00074.txt,en,synthetic
DOC00075,C0033,FIR_NOTE,documents/DOC00075.txt,en,synthetic
DOC00076,C0032,FIR_NOTE,documents/DOC00076.txt,en,synthetic
