person_id,org_id,role,valid_from,valid_to
PERSON_00001,ORG_0014,Property Consultant,2020-12-27,
PERSON_00002,ORG_0044,Engineer,2020-01-01,2023-08-14
PERSON_00002,ORG_0040,Software Analyst,2023-08-15,
PERSON_00003,ORG_0052,Clerk,2021-06-25,
PERSON_00004,ORG_0013,Broker,2020-01-01,2024-08-23
PERSON_00004,ORG_0055,Engineer,2024-08-24,
PERSON_00005,ORG_0052,Technician,2020-02-17,2021-03-26
PERSON_00006,ORG_0022,Jewellery Trader,2022-12-22,2024-07-15
PERSON_00007,ORG_0002,Electrician,2020-01-01,2023-12-29
PERSON_00007,ORG_0008,Engineer,2023-12-30,
PERSON_00008,ORG_0035,Property Consultant,2020-01-01,2023-02-26
PERSON_00008,ORG_0031,Clerk,2023-02-27,
PERSON_00009,ORG_0024,Agent,2020-12-27,
PERSON_00010,ORG_0028,Teacher,2020-12-03,2022-07-03
PERSON_00011,ORG_0018,Shop Owner,2021-04-29,
PERSON_00012,ORG_0023,Field Officer,2020-01-01,2023-11-05
PERSON_00012,ORG_0028,Consultant,2023-11-06,
PERSON_00013,ORG_0051,Agent,2020-01-01,2024-03-27
PERSON_00013,ORG_0008,Field Officer,2024-03-28,
PERSON_00014,ORG_0019,Receptionist,2020-01-01,2023-06-19
PERSON_00014,ORG_0036,Driver,2023-06-20,
PERSON_00015,ORG_0020,Consultant,2020-01-01,2023-05-31
PERSON_00015,ORG_0051,Driver,2023-06-01,
PERSON_00016,ORG_0009,Teacher,2020-01-01,2023-12-16
PERSON_00016,ORG_0032,Warehouse Supervisor,2023-12-17,
PERSON_00017,ORG_0029,Technician,2020-01-01,2024-10-22
PERSON_00017,ORG_0011,Accountant,2024-10-23,
PERSON_00018,ORG_0054,Broker,2023-07-03,
PERSON_00019,ORG_0003,Technician,2024-09-06,
PERSON_00020,ORG_0023,Clerk,2023-05-12,
PERSON_00021,ORG_0014,Engineer,2020-01-01,2024-01-14
PERSON_00021,ORG_0022,Agent,2024-01-15,
PERSON_00022,ORG_0024,Receptionist,2020-01-01,2023-07-18
PERSON_00022,ORG_0050,Teacher,2023-07-19,
PERSON_00023,ORG_0053,Receptionist,2020-01-01,2023-05-14
PERSON_00023,ORG_0048,Receptionist,2023-05-15,
PERSON_00024,ORG_0002,Technician,2020-01-01,2024-01-10
PERSON_00024,ORG_0047,Mechanic,2024-01-11,
PERSON_00025,ORG_0023,Technician,2020-01-01,2023-04-25
PERSON_00025,ORG_0055,Jewellery Trader,2023-04-26,
PERSON_00026,ORG_0021,Property Consultant,2020-01-01,2023-04-10
PERSON_00026,ORG_0027,Receptionist,2023-04-11,
PERSON_00027,ORG_0008,Clerk,2021-05-31,2022-06-13
PERSON_00028,ORG_0037,Property Consultant,2020-01-01,2024-05-02
PERSON_00028,ORG_0001,Electrician,2024-05-03,
PERSON_00029,ORG_0047,Driver,2023-12-12,2026-05-22
