evidence_id,case_id,type,collected_date,status
EVID_00001,CASE_0001,forensic report,2023-02-14,Sealed
EVID_00002,CASE_0001,CCTV still,2023-02-03,Received
EVID_00003,CASE_0002,company register,2025-02-10,Under Review
EVID_00004,CASE_0002,email printout,2025-03-02,Indexed
EVID_00005,CASE_0003,email printout,2025-10-02,Indexed
EVID_00006,CASE_0003,bank statement,2025-10-05,Received
EVID_00007,CASE_0004,email printout,2023-12-23,Indexed
EVID_00008,CASE_0004,device image,2023-12-19,Indexed
EVID_00009,CASE_0005,statement,2023-08-23,Sealed
EVID_00010,CASE_0005,vehicle seizure,2023-08-24,Sealed
EVID_00011,CASE_0006,phone extraction,2025-10-11,Indexed
EVID_00012,CASE_0006,vehicle seizure,2025-09-24,Under Review
EVID_00013,CASE_0007,vehicle seizure,2026-02-15,Sealed
EVID_00014,CASE_0007,device image,2026-03-04,Received
EVID_00015,CASE_0008,device image,2025-03-11,Indexed
EVID_00016,CASE_0008,company register,2025-02-13,Under Review
EVID_00017,CASE_0009,CCTV still,2025-04-03,Under Review
EVID_00018,CASE_0009,bank statement,2025-03-29,Received
EVID_00019,CASE_0010,statement,2024-12-25,Under Review
EVID_00020,CASE_0010,forensic report,2024-12-24,Received
EVID_00021,CASE_0011,property deed,2025-09-14,Received
EVID_00022,CASE_0011,forensic report,2025-09-17,Sealed
EVID_00023,CASE_0012,CCTV still,2024-07-12,Sealed
EVID_00024,CASE_0012,email printout,2024-07-16,Under Review
EVID_00025,CASE_0013,bank statement,2024-03-27,Indexed
EVID_00026,CASE_0013,vehicle seizure,2024-03-31,Under Review
EVID_00027,CASE_0014,device image,2023-12-11,Received
EVID_00028,CASE_0014,vehicle seizure,2023-11-21,Sealed
EVID_00029,CASE_0015,vehicle seizure,2025-02-25,Indexed
EVID_00030,CASE_0015,bank statement,2025-02-21,Received
EVID_00031,CASE_0016,company register,2023-11-21,Indexed
EVID_00032,CASE_0016,email printout,2023-11-29,Indexed
EVID_00033,CASE_0017,property deed,2025-04-17,Sealed
EVID_00034,CASE_0017,device image,2025-04-17,Indexed
EVID_00035,CASE_0018,phone extraction,2024-10-10,Sealed
EVID_00036,CASE_0018,property deed,2024-10-09,Received
EVID_00037,CASE_0019,forensic report,2025-02-13,Received
EVID_00038,CASE_0019,device image,2025-02-03,Indexed
EVID_00039,CASE_0020,travel record,2024-04-02,Received
EVID_00040,CASE_0020,CCTV still,2024-04-01,Indexed
EVID_00041,CASE_0021,travel record,2024-11-07,Indexed
EVID_00042,CASE_0021,CCTV still,2024-11-13,Received
EVID_00043,CASE_0022,device image,2025-03-30,Sealed
EVID_00044,CASE_0022,bank statement,2025-03-31,Indexed
EVID_00045,CASE_0023,email printout,2023-07-13,Received
EVID_00046,CASE_0023,property deed,2023-07-22,Received
EVID_00047,CASE_0024,travel record,2025-02-21,Indexed
EVID_00048,CASE_0024,vehicle seizure,2025-03-10,Under Review
EVID_00049,CASE_0025,forensic report,2022-08-05,Under Review
EVID_00050,CASE_0025,bank statement,2022-08-01,Sealed
EVID_00051,CASE_0026,email printout,2023-02-12,Under Review
EVID_00052,CASE_0026,forensic report,2023-02-06,Received
EVID_00053,CASE_0027,bank statement,2024-08-13,Sealed
EVID_00054,CASE_0027,forensic report,2024-08-03,Under Review
EVID_00055,CASE_0028,statement,2022-03-21,Under Review
EVID_00056,CASE_0028,company register,2022-02-28,Sealed
EVID_00057,CASE_0029,CCTV still,2023-09-20,Under Review
EVID_00058,CASE_0029,phone extraction,2023-10-02,Indexed
EVID_00059,CASE_0030,CCTV still,2023-04-01,Sealed
EVID_00060,CASE_0030,company register,2023-03-25,Under Review
EVID_00061,CASE_0031,property deed,2024-03-05,Indexed
EVID_00062,CASE_0031,company register,2024-02-17,Sealed
EVID_00063,CASE_0032,forensic report,2024-02-12,Under Review
EVID_00064,CASE_0032,travel record,2024-03-11,Under Review
EVID_00065,CASE_0033,email printout,2023-02-10,Sealed
EVID_00066,CASE_0033,phone extraction,2023-02-07,Indexed
EVID_00067,CASE_0034,phone extraction,2022-04-30,Indexed
EVID_00068,CASE_0034,device image,2022-04-26,Under Review
EVID_00069,CASE_0035,travel record,2022-11-23,Received
EVID_00070,CASE_0035,email printout,2022-12-06,Received
