property_id,address_id,property_type,transaction_date,declared_value
PROP_0001,ADDR_00287,Industrial,2024-12-16,27.87 lakh
PROP_0002,ADDR_00273,Industrial,2021-12-23,112.14 lakh
PROP_0003,ADDR_00228,Commercial,2025-03-04,195.15 lakh
PROP_0004,ADDR_00459,Agricultural,2026-01-14,231.60 lakh
PROP_0005,ADDR_00120,Industrial,2024-10-22,198.69 lakh
PROP_0006,ADDR_00094,Agricultural,2025-12-24,36.82 lakh
PROP_0007,ADDR_00278,Agricultural,2023-02-28,235.97 lakh
PROP_0008,ADDR_00127,Residential,2025-11-23,185.92 lakh
PROP_0009,ADDR_00149,Residential,2022-07-22,176.61 lakh
PROP_0010,ADDR_00223,Agricultural,2025-04-30,233.54 lakh
PROP_0011,ADDR_00130,Residential,2024-12-30,45.83 lakh
PROP_0012,ADDR_00067,Residential,2026-06-15,200.30 lakh
PROP_0013,ADDR_00247,Industrial,2024-12-24,64.26 lakh
PROP_0014,ADDR_00020,Commercial,2023-11-10,218.07 lakh
PROP_0015,ADDR_00473,Agricultural,2024-07-03,205.49 lakh
PROP_0016,ADDR_00460,Industrial,2023-09-29,153.49 lakh
PROP_0017,ADDR_00404,Industrial,2022-10-08,131.05 lakh
PROP_0018,ADDR_00401,Industrial,2023-07-19,210.99 lakh
PROP_0019,ADDR_00185,Industrial,2023-07-21,31.17 lakh
PROP_0020,ADDR_00194,Residential,2022-08-11,162.69 lakh
PROP_0021,ADDR_00304,Residential,2021-10-15,70.83 lakh
PROP_0022,ADDR_00396,Commercial,2025-01-12,163.98 lakh
PROP_0023,ADDR_00087,Commercial,2023-03-28,21.76 lakh
PROP_0024,ADDR_00139,Agricultural,2021-12-31,90.69 lakh
PROP_0025,ADDR_00273,Residential,2021-08-30,155.80 lakh
PROP_0026,ADDR_00028,Industrial,2022-09-29,135.64 lakh
PROP_0027,ADDR_00301,Industrial,2023-01-22,110.47 lakh
PROP_0028,ADDR_00081,Residential,2025-05-01,213.89 lakh
PROP_0029,ADDR_00305,Agricultural,2021-01-14,179.74 lakh
PROP_0030,ADDR_00423,Industrial,2025-07-23,164.80 lakh
PROP_0031,ADDR_00476,Residential,2023-02-22,238.61 lakh
PROP_0032,ADDR_00305,Agricultural,2022-01-24,147.18 lakh
PROP_0033,ADDR_00130,Commercial,2022-12-26,176.28 lakh
PROP_0034,ADDR_00338,Industrial,2024-12-09,200.41 lakh
PROP_0035,ADDR_00366,Commercial,2021-05-12,25.35 lakh
PROP_0036,ADDR_00131,Commercial,2023-05-06,213.93 lakh
PROP_0037,ADDR_00357,Industrial,2024-02-22,96.53 lakh
PROP_0038,ADDR_00255,Commercial,2025-09-07,23.65 lakh
PROP_0039,ADDR_00415,Commercial,2024-02-14,80.12 lakh
PROP_0040,ADDR_00178,Agricultural,2026-01-16,201.54 lakh
PROP_0041,ADDR_00214,Agricultural,2023-02-13,201.23 lakh
PROP_0042,ADDR_00025,Agricultural,2021-08-05,149.42 lakh
PROP_0043,ADDR_00288,Commercial,2025-12-30,57.29 lakh
PROP_0044,ADDR_00248,Agricultural,2021-07-24,161.05 lakh
PROP_0045,ADDR_00088,Commercial,2021-12-31,152.91 lakh
PROP_0046,ADDR_00304,Industrial,2024-04-23,216.26 lakh
PROP_0047,ADDR_00074,Residential,2021-07-12,167.63 lakh
PROP_0048,ADDR_00134,Residential,2022-01-18,54.12 lakh
PROP_0049,ADDR_00371,Commercial,2022-02-22,170.08 lakh
PROP_0050,ADDR_00077,Commercial,2025-01-07,166.08 lakh
PROP_0051,ADDR_00081,Industrial,2025-07-05,197.41 lakh
PROP_0052,ADDR_00433,Residential,2025-02-12,63.81 lakh
PROP_0053,ADDR_00105,Residential,2026-02-14,70.46 lakh
PROP_0054,ADDR_00277,Agricultural,2022-04-20,15.85 lakh
PROP_0055,ADDR_00170,Commercial,2021-06-17,14.06 lakh
PROP_0056,ADDR_00240,Residential,2024-01-23,234.88 lakh
PROP_0057,ADDR_00232,Industrial,2023-01-28,201.38 lakh
PROP_0058,ADDR_00429,Agricultural,2022-04-06,78.16 lakh
PROP_0059,ADDR_00181,Industrial,2025-08-11,207.29 lakh
PROP_0060,ADDR_00099,Agricultural,2025-03-07,33.75 lakh
PROP_0061,ADDR_00221,Residential,2025-02-19,216.89 lakh
PROP_0062,ADDR_00118,Commercial,2024-07-30,189.96 lakh
PROP_0063,ADDR_00228,Residential,2025-01-18,149.27 lakh
PROP_0064,ADDR_00197,Commercial,2024-01-25,166.64 lakh
PROP_0065,ADDR_00424,Agricultural,2021-02-01,116.00 lakh
PROP_0066,ADDR_00316,Commercial,2021-08-09,166.15 lakh
PROP_0067,ADDR_00213,Residential,2024-02-27,28.74 lakh
PROP_0068,ADDR_00132,Commercial,2022-05-28,110.52 lakh
PROP_0069,ADDR_00045,Industrial,2022-04-04,231.11 lakh
PROP_0070,ADDR_00420,Industrial,2023-11-07,103.93 lakh
