source_id,target_id,relationship
PERSON_00001,PHONE_00232,uses_phone
PERSON_00002,PHONE_00566,uses_phone
PERSON_00003,PHONE_00402,uses_phone
PERSON_00004,PHONE_00536,uses_phone
PERSON_00004,PHONE_00406,uses_phone
PERSON_00005,PHONE_00074,uses_phone
PERSON_00006,PHONE_00105,uses_phone
PERSON_00006,PHONE_00470,uses_phone
PERSON_00007,PHONE_00394,uses_phone
PERSON_00008,PHONE_00024,uses_phone
PERSON_00008,PHONE_00298,uses_phone
PERSON_00009,PHONE_00339,uses_phone
PERSON_00010,PHONE_00080,uses_phone
PERSON_00011,PHONE_00533,uses_phone
PERSON_00012,PHONE_00623,uses_phone
PERSON_00013,PHONE_00377,uses_phone
PERSON_00014,PHONE_00453,uses_phone
PERSON_00015,PHONE_00212,uses_phone
PERSON_00016,PHONE_00555,uses_phone
PERSON_00017,PHONE_00101,uses_phone
PERSON_00018,PHONE_00575,uses_phone
PERSON_00019,PHONE_00101,uses_phone
PERSON_00019,PHONE_00216,uses_phone
PERSON_00020,PHONE_00604,uses_phone
PERSON_00021,PHONE_00325,uses_phone
PERSON_00022,PHONE_00534,uses_phone
PERSON_00023,PHONE_00375,uses_phone
PERSON_00024,PHONE_00366,uses_phone
PERSON_00025,PHONE_00169,uses_phone
PERSON_00026,PHONE_00090,uses_phone
PERSON_00027,PHONE_00063,uses_phone
PERSON_00028,PHONE_00399,uses_phone
PERSON_00029,PHONE_00325,uses_phone
PERSON_00030,PHONE_00547,uses_phone
PERSON_00030,PHONE_00139,uses_phone
PERSON_00031,PHONE_00493,uses_phone
PERSON_00032,PHONE_00446,uses_phone
PERSON_00033,PHONE_00048,uses_phone
PERSON_00034,PHONE_00596,uses_phone
PERSON_00035,PHONE_00341,uses_phone
PERSON_00036,PHONE_00024,uses_phone
PERSON_00037,PHONE_00233,uses_phone
PERSON_00038,PHONE_00319,uses_phone
PERSON_00038,PHONE_00179,uses_phone
PERSON_00039,PHONE_00441,uses_phone
PERSON_00040,PHONE_00208,uses_phone
PERSON_00041,PHONE_00327,uses_phone
PERSON_00042,PHONE_00423,uses_phone
PERSON_00042,PHONE_00342,uses_phone
PERSON_00043,PHONE_00343,uses_phone
PERSON_00044,PHONE_00184,uses_phone
PERSON_00045,PHONE_00559,uses_phone
PERSON_00046,PHONE_00109,uses_phone
PERSON_00047,PHONE_00082,uses_phone
PERSON_00047,PHONE_00644,uses_phone
PERSON_00048,PHONE_00455,uses_phone
PERSON_00048,PHONE_00116,uses_phone
PERSON_00049,PHONE_00176,uses_phone
PERSON_00049,PHONE_00538,uses_phone
PERSON_00050,PHONE_00378,uses_phone
PERSON_00050,PHONE_00341,uses_phone
PERSON_00051,PHONE_00030,uses_phone
PERSON_00052,PHONE_00582,uses_phone
PERSON_00053,PHONE_00527,uses_phone
PERSON_00054,PHONE_00453,uses_phone
PERSON_00055,PHONE_00393,uses_phone
PERSON_00056,PHONE_00086,uses_phone
PERSON_00056,PHONE_00495,uses_phone
PERSON_00057,PHONE_00456,uses_phone
PERSON_00058,PHONE_00190,uses_phone
PERSON_00058,PHONE_00584,uses_phone
PERSON_00059,PHONE_00531,uses_phone
PERSON_00060,PHONE_00001,uses_phone
PERSON_00060,PHONE_00630,uses_phone
PERSON_00061,PHONE_00432,uses_phone
PERSON_00062,PHONE_00323,uses_phone
PERSON_00063,PHONE_00179,uses_phone
PERSON_00064,PHONE_00164,uses_phone
PERSON_00065,PHONE_00557,uses_phone
PERSON_00066,PHONE_00026,uses_phone
PERSON_00067,PHONE_00202,uses_phone
PERSON_00068,PHONE_00385,uses_phone
PERSON_00068,PHONE_00146,uses_phone
PERSON_00069,PHONE_00163,uses_phone
PERSON_00069,PHONE_00251,uses_phone
PERSON_00070,PHONE_00175,uses_phone
PERSON_00070,PHONE_00183,uses_phone
PERSON_00071,PHONE_00392,uses_phone
PERSON_00072,PHONE_00140,uses_phone
PERSON_00073,PHONE_00484,uses_phone
PERSON_00073,PHONE_00619,uses_phone
PERSON_00074,PHONE_00038,uses_phone
PERSON_00075,PHONE_00260,uses_phone
PERSON_00076,PHONE_00504,uses_phone
PERSON_00077,PHONE_00017,uses_phone
PERSON_00077,PHONE_00562,uses_phone
PERSON_00078,PHONE_00134,uses_phone
PERSON_00079,PHONE_00027,uses_phone
PERSON_00080,PHONE_00598,uses_phone
PERSON_00081,PHONE_00196,uses_phone
PERSON_00082,PHONE_00428,uses_phone
PERSON_00083,PHONE_00123,uses_phone
PERSON_00084,PHONE_00344,uses_phone
PERSON_00085,PHONE_00166,uses_phone
PERSON_00086,PHONE_00239,uses_phone
PERSON_00087,PHONE_00462,uses_phone
PERSON_00088,PHONE_00006,uses_phone
PERSON_00088,PHONE_00210,uses_phone
PERSON_00089,PHONE_00039,uses_phone
PERSON_00090,PHONE_00406,uses_phone
PERSON_00091,PHONE_00412,uses_phone
PERSON_00091,PHONE_00377,uses_phone
PERSON_00091,PHONE_00612,uses_phone
PERSON_00092,PHONE_00648,uses_phone
PERSON_00093,PHONE_00315,uses_phone
PERSON_00094,PHONE_00044,uses_phone
PERSON_00094,PHONE_00219,uses_phone
PERSON_00095,PHONE_00415,uses_phone
PERSON_00095,PHONE_00610,uses_phone
PERSON_00096,PHONE_00035,uses_phone
PERSON_00097,PHONE_00389,uses_phone
PERSON_00098,PHONE_00555,uses_phone
PERSON_00099,PHONE_00428,uses_phone
PERSON_00099,PHONE_00103,uses_phone
PERSON_00100,PHONE_00094,uses_phone
PERSON_00101,PHONE_00408,uses_phone
PERSON_00102,PHONE_00442,uses_phone
PERSON_00103,PHONE_00408,uses_phone
PERSON_00104,PHONE_00627,uses_phone
PERSON_00105,PHONE_00106,uses_phone
PERSON_00106,PHONE_00476,uses_phone
PERSON_00107,PHONE_00345,uses_phone
PERSON_00108,PHONE_00254,uses_phone
PERSON_00109,PHONE_00585,uses_phone
PERSON_00109,PHONE_00429,uses_phone
PERSON_00110,PHONE_00378,uses_phone
PERSON_00110,PHONE_00260,uses_phone
PERSON_00111,PHONE_00124,uses_phone
PERSON_00111,PHONE_00086,uses_phone
PERSON_00112,PHONE_00309,uses_phone
PERSON_00113,PHONE_00054,uses_phone
PERSON_00114,PHONE_00216,uses_phone
PERSON_00115,PHONE_00252,uses_phone
PERSON_00116,PHONE_00444,uses_phone
PERSON_00117,PHONE_00312,uses_phone
PERSON_00118,PHONE_00094,uses_phone
PERSON_00118,PHONE_00553,uses_phone
PERSON_00119,PHONE_00619,uses_phone
PERSON_00120,PHONE_00343,uses_phone
PERSON_00120,PHONE_00172,uses_phone
PERSON_00121,PHONE_00362,uses_phone
PERSON_00122,PHONE_00195,uses_phone
PERSON_00123,PHONE_00233,uses_phone
PERSON_00124,PHONE_00488,uses_phone
PERSON_00124,PHONE_00503,uses_phone
PERSON_00125,PHONE_00638,uses_phone
PERSON_00126,PHONE_00268,uses_phone
PERSON_00126,PHONE_00021,uses_phone
PERSON_00127,PHONE_00292,uses_phone
PERSON_00128,PHONE_00055,uses_phone
PERSON_00129,PHONE_00468,uses_phone
PERSON_00130,PHONE_00086,uses_phone
PERSON_00131,PHONE_00052,uses_phone
PERSON_00132,PHONE_00371,uses_phone
PERSON_00133,PHONE_00502,uses_phone
PERSON_00134,PHONE_00074,uses_phone
PERSON_00135,PHONE_00564,uses_phone
PERSON_00136,PHONE_00596,uses_phone
PERSON_00137,PHONE_00044,uses_phone
PERSON_00138,PHONE_00290,uses_phone
PERSON_00138,PHONE_00320,uses_phone
PERSON_00139,PHONE_00021,uses_phone
PERSON_00140,PHONE_00084,uses_phone
PERSON_00140,PHONE_00594,uses_phone
PERSON_00141,PHONE_00528,uses_phone
PERSON_00142,PHONE_00465,uses_phone
PERSON_00143,PHONE_00497,uses_phone
PERSON_00144,PHONE_00195,uses_phone
PERSON_00145,PHONE_00019,uses_phone
PERSON_00146,PHONE_00300,uses_phone
PERSON_00147,PHONE_00097,uses_phone
PERSON_00147,PHONE_00286,uses_phone
PERSON_00148,PHONE_00587,uses_phone
PERSON_00148,PHONE_00407,uses_phone
PERSON_00149,PHONE_00320,uses_phone
PERSON_00150,PHONE_00373,uses_phone
PERSON_00151,PHONE_00100,uses_phone
PERSON_00152,PHONE_00069,uses_phone
PERSON_00153,PHONE_00170,uses_phone
PERSON_00154,PHONE_00642,uses_phone
PERSON_00155,PHONE_00056,uses_phone
PERSON_00155,PHONE_00573,uses_phone
PERSON_00156,PHONE_00605,uses_phone
PERSON_00157,PHONE_00232,uses_phone
PERSON_00157,PHONE_00254,uses_phone
PERSON_00158,PHONE_00030,uses_phone
PERSON_00158,PHONE_00253,uses_phone
PERSON_00159,PHONE_00441,uses_phone
PERSON_00160,PHONE_00267,uses_phone
PERSON_00160,PHONE_00565,uses_phone
PERSON_00161,PHONE_00447,uses_phone
PERSON_00162,PHONE_00058,uses_phone
PERSON_00163,PHONE_00488,uses_phone
PERSON_00163,PHONE_00251,uses_phone
PERSON_00163,PHONE_00323,uses_phone
PERSON_00164,PHONE_00628,uses_phone
PERSON_00164,PHONE_00637,uses_phone
PERSON_00165,PHONE_00584,uses_phone
PERSON_00166,PHONE_00054,uses_phone
PERSON_00166,PHONE_00226,uses_phone
PERSON_00167,PHONE_00319,uses_phone
PERSON_00168,PHONE_00358,uses_phone
PERSON_00168,PHONE_00158,uses_phone
PERSON_00169,PHONE_00042,uses_phone
PERSON_00170,PHONE_00152,uses_phone
PERSON_00171,PHONE_00471,uses_phone
PERSON_00171,PHONE_00214,uses_phone
PERSON_00172,PHONE_00487,uses_phone
PERSON_00173,PHONE_00529,uses_phone
PERSON_00174,PHONE_00637,uses_phone
PERSON_00175,PHONE_00524,uses_phone
PERSON_00176,PHONE_00494,uses_phone
PERSON_00177,PHONE_00375,uses_phone
PERSON_00177,PHONE_00170,uses_phone
PERSON_00178,PHONE_00090,uses_phone
PERSON_00179,PHONE_00441,uses_phone
PERSON_00179,PHONE_00490,uses_phone
PERSON_00180,PHONE_00338,uses_phone
PERSON_00181,PHONE_00124,uses_phone
PERSON_00181,PHONE_00269,uses_phone
PERSON_00182,PHONE_00627,uses_phone
PERSON_00182,PHONE_00203,uses_phone
PERSON_00183,PHONE_00612,uses_phone
PERSON_00184,PHONE_00164,uses_phone
PERSON_00184,PHONE_00496,uses_phone
PERSON_00185,PHONE_00525,uses_phone
PERSON_00186,PHONE_00398,uses_phone
