sms_id,date,from_person,to_person,phone_id,message_category
SMS_000001,2022-12-03,PERSON_00325,PERSON_00162,PHONE_00466,work
SMS_000002,2022-05-03,PERSON_00448,PERSON_00143,PHONE_00284,delivery
SMS_000003,2021-03-21,PERSON_00089,PERSON_00019,PHONE_00039,delivery
SMS_000004,2025-10-09,PERSON_00340,PERSON_00099,PHONE_00243,routine
SMS_000005,2021-11-26,PERSON_00101,PERSON_00058,PHONE_00408,work
SMS_000006,2023-08-03,PERSON_00281,PERSON_00105,PHONE_00166,routine
SMS_000007,2021-08-03,PERSON_00076,PERSON_00028,PHONE_00504,family
SMS_000008,2022-04-09,PERSON_00449,PERSON_00126,PHONE_00371,bank alert
SMS_000009,2021-06-21,PERSON_00178,PERSON_00147,PHONE_00090,family
SMS_000010,2025-03-02,PERSON_00016,PERSON_00150,PHONE_00555,family
SMS_000011,2023-11-02,PERSON_00259,PERSON_00311,PHONE_00031,routine
SMS_000012,2023-07-10,PERSON_00290,PERSON_00283,PHONE_00119,work
SMS_000013,2023-10-29,PERSON_00182,PERSON_00382,PHONE_00203,routine
SMS_000014,2023-12-23,PERSON_00086,PERSON_00113,PHONE_00239,work
SMS_000015,2024-06-11,PERSON_00040,PERSON_00331,PHONE_00208,appointment
SMS_000016,2023-12-14,PERSON_00048,PERSON_00364,PHONE_00116,family
SMS_000017,2022-06-12,PERSON_00118,PERSON_00127,PHONE_00094,travel
SMS_000018,2024-01-11,PERSON_00221,PERSON_00032,PHONE_00007,travel
SMS_000019,2025-11-01,PERSON_00388,PERSON_00430,PHONE_00497,appointment
SMS_000020,2023-05-29,PERSON_00065,PERSON_00394,PHONE_00557,travel
SMS_000021,2024-10-24,PERSON_00046,PERSON_00056,PHONE_00109,delivery
SMS_000022,2021-10-26,PERSON_00049,PERSON_00448,PHONE_00538,delivery
SMS_000023,2023-06-25,PERSON_00376,PERSON_00048,PHONE_00109,travel
SMS_000024,2025-07-12,PERSON_00384,PERSON_00307,PHONE_00559,routine
SMS_000025,2022-04-11,PERSON_00371,PERSON_00061,PHONE_00288,family
SMS_000026,2022-11-11,PERSON_00168,PERSON_00044,PHONE_00358,delivery
SMS_000027,2025-07-15,PERSON_00224,PERSON_00128,PHONE_00087,routine
SMS_000028,2023-09-29,PERSON_00374,PERSON_00411,PHONE_00616,family
SMS_000029,2021-12-28,PERSON_00150,PERSON_00374,PHONE_00373,delivery
SMS_000030,2022-09-05,PERSON_00173,PERSON_00430,PHONE_00529,routine
SMS_000031,2022-03-14,PERSON_00184,PERSON_00343,PHONE_00164,bank alert
SMS_000032,2025-12-12,PERSON_00252,PERSON_00275,PHONE_00406,work
SMS_000033,2021-11-22,PERSON_00390,PERSON_00009,PHONE_00577,bank alert
SMS_000034,2022-10-20,PERSON_00133,PERSON_00052,PHONE_00502,travel
SMS_000035,2023-12-01,PERSON_00093,PERSON_00030,PHONE_00315,routine
SMS_000036,2022-07-25,PERSON_00425,PERSON_00040,PHONE_00152,work
SMS_000037,2023-08-11,PERSON_00363,PERSON_00145,PHONE_00407,work
SMS_000038,2021-10-28,PERSON_00320,PERSON_00173,PHONE_00336,work
SMS_000039,2022-10-25,PERSON_00259,PERSON_00362,PHONE_00031,travel
SMS_000040,2022-06-20,PERSON_00169,PERSON_00090,PHONE_00042,family
SMS_000041,2024-04-23,PERSON_00376,PERSON_00341,PHONE_00109,work
SMS_000042,2026-05-11,PERSON_00246,PERSON_00225,PHONE_00297,work
SMS_000043,2024-03-04,PERSON_00026,PERSON_00053,PHONE_00090,work
SMS_000044,2023-04-19,PERSON_00427,PERSON_00027,PHONE_00216,bank alert
SMS_000045,2023-01-13,PERSON_00208,PERSON_00160,PHONE_00597,family
SMS_000046,2025-06-10,PERSON_00228,PERSON_00106,PHONE_00483,bank alert
SMS_000047,2022-09-02,PERSON_00170,PERSON_00060,PHONE_00152,work
SMS_000048,2025-02-07,PERSON_00094,PERSON_00364,PHONE_00219,work
SMS_000049,2022-03-23,PERSON_00402,PERSON_00434,PHONE_00228,travel
SMS_000050,2025-08-19,PERSON_00294,PERSON_00024,PHONE_00111,routine
SMS_000051,2025-11-02,PERSON_00406,PERSON_00141,PHONE_00601,family
SMS_000052,2022-12-13,PERSON_00151,PERSON_00359,PHONE_00100,delivery
SMS_000053,2026-06-09,PERSON_00009,PERSON_00127,PHONE_00339,family
SMS_000054,2022-08-20,PERSON_00201,PERSON_00398,PHONE_00390,travel
SMS_000055,2024-05-27,PERSON_00075,PERSON_00158,PHONE_00260,family
SMS_000056,2023-04-25,PERSON_00072,PERSON_00148,PHONE_00140,delivery
SMS_000057,2021-05-26,PERSON_00065,PERSON_00060,PHONE_00557,work
SMS_000058,2024-07-04,PERSON_00078,PERSON_00192,PHONE_00134,family
SMS_000059,2021-03-07,PERSON_00324,PERSON_00286,PHONE_00648,work
SMS_000060,2021-03-16,PERSON_00397,PERSON_00118,PHONE_00086,bank alert
SMS_000061,2024-06-27,PERSON_00417,PERSON_00023,PHONE_00599,family
SMS_000062,2021-09-26,PERSON_00263,PERSON_00259,PHONE_00416,appointment
SMS_000063,2026-06-11,PERSON_00407,PERSON_00220,PHONE_00064,work
SMS_000064,2025-05-17,PERSON_00199,PERSON_00187,PHONE_00471,appointment
SMS_000065,2022-02-17,PERSON_00281,PERSON_00174,PHONE_00166,work
SMS_000066,2024-06-27,PERSON_00069,PERSON_00091,PHONE_00251,family
SMS_000067,2021-02-08,PERSON_00152,PERSON_00072,PHONE_00069,delivery
SMS_000068,2022-07-21,PERSON_00032,PERSON_00223,PHONE_00446,travel
SMS_000069,2026-03-12,PERSON_00398,PERSON_00288,PHONE_00229,family
SMS_000070,2025-10-22,PERSON_00135,PERSON_00322,PHONE_00564,bank alert
SMS_000071,2023-04-05,PERSON_00049,PERSON_00064,PHONE_00538,delivery
SMS_000072,2026-04-13,PERSON_00368,PERSON_00013,PHONE_00397,family
SMS_000073,2022-01-04,PERSON_00178,PERSON_00057,PHONE_00090,work
SMS_000074,2025-02-11,PERSON_00189,PERSON_00063,PHONE_00092,family
SMS_000075,2025-10-31,PERSON_00390,PERSON_00429,PHONE_00577,work
SMS_000076,2026-01-15,PERSON_00281,PERSON_00322,PHONE_00166,delivery
SMS_000077,2023-09-08,PERSON_00011,PERSON_00312,PHONE_00533,appointment
SMS_000078,2022-07-02,PERSON_00205,PERSON_00282,PHONE_00648,work
SMS_000079,2023-10-03,PERSON_00402,PERSON_00287,PHONE_00114,bank alert
SMS_000080,2022-06-23,PERSON_00050,PERSON_00014,PHONE_00378,family
SMS_000081,2021-08-24,PERSON_00101,PERSON_00430,PHONE_00408,family
SMS_000082,2022-01-06,PERSON_00071,PERSON_00201,PHONE_00392,family
SMS_000083,2022-12-03,PERSON_00416,PERSON_00263,PHONE_00236,work
SMS_000084,2023-05-14,PERSON_00444,PERSON_00376,PHONE_00153,appointment
SMS_000085,2025-11-29,PERSON_00344,PERSON_00213,PHONE_00371,work
