travel_id,person_id,date,mode,origin,destination
TRV_0001,PERSON_00225,2025-01-09,Bus,H,Nizamabad
TRV_0002,PERSON_00359,2025-01-09,Car,W,Nizamabad
TRV_0003,PERSON_00387,2025-01-09,Bus,N,Warangal
TRV_0004,PERSON_00148,2024-06-18,Train,N,Mumbai
TRV_0005,PERSON_00379,2024-06-18,Car,N,Hyderabad
TRV_0006,PERSON_00073,2024-06-18,Flight,W,Nizamabad
TRV_0007,PERSON_00402,2025-01-12,Train,N,Lucknow
TRV_0008,PERSON_00072,2025-01-12,Flight,D,Ghaziabad
TRV_0009,PERSON_00176,2025-01-12,Car,N,Noida
TRV_0010,PERSON_00081,2023-10-17,Bus,N,New Delhi
TRV_0011,PERSON_00405,2023-10-17,Flight,N,Noida
TRV_0012,PERSON_00345,2023-10-17,Car,D,Lucknow
TRV_0013,PERSON_00060,2023-07-02,Bus,V,Warangal
TRV_0014,PERSON_00381,2023-07-02,Flight,G,Nizamabad
TRV_0015,PERSON_00212,2023-07-02,Bus,V,Visakhapatnam
TRV_0016,PERSON_00309,2025-01-04,Train,V,Hyderabad
TRV_0017,PERSON_00124,2025-01-04,Train,V,Visakhapatnam
TRV_0018,PERSON_00157,2025-01-04,Flight,V,Vijayawada
TRV_0019,PERSON_00231,2025-09-12,Car,C,Chennai
TRV_0020,PERSON_00336,2025-09-12,Bus,C,Coimbatore
TRV_0021,PERSON_00279,2025-09-12,Bus,C,Madurai
TRV_0022,PERSON_00171,2024-02-23,Train,C,Coimbatore
TRV_0023,PERSON_00078,2024-02-23,Train,M,Madurai
TRV_0024,PERSON_00184,2024-02-23,Flight,C,Chennai
TRV_0025,PERSON_00425,2024-10-29,Bus,B,Howrah
TRV_0026,PERSON_00082,2024-10-29,Train,R,Rourkela
TRV_0027,PERSON_00333,2024-10-29,Bus,R,Kolkata
TRV_0028,PERSON_00065,2025-01-11,Train,B,Kolkata
TRV_0029,PERSON_00126,2025-01-11,Flight,C,Kolkata
TRV_0030,PERSON_00165,2025-01-11,Bus,C,Howrah
