vehicle_id,owner_person_id,valid_from,valid_to
VEH_0001,PERSON_00277,2022-01-12,
VEH_0002,PERSON_00336,2022-06-06,2023-05-31
VEH_0002,PERSON_00138,2023-06-01,
VEH_0003,PERSON_00095,2024-05-06,
VEH_0004,PERSON_00214,2022-06-19,
VEH_0005,PERSON_00011,2022-09-15,
VEH_0006,PERSON_00303,2022-10-08,2023-10-12
VEH_0006,PERSON_00179,2023-10-13,2025-07-16
VEH_0006,PERSON_00025,2025-07-17,
VEH_0007,PERSON_00261,2022-08-12,2023-02-24
VEH_0007,PERSON_00219,2023-02-25,
VEH_0008,PERSON_00238,2021-10-16,
VEH_0009,PERSON_00083,2021-03-24,2023-08-18
VEH_0009,PERSON_00177,2023-08-19,
VEH_0010,PERSON_00083,2021-12-23,
VEH_0011,PERSON_00373,2021-12-02,2024-01-20
VEH_0011,PERSON_00171,2024-01-21,
VEH_0012,PERSON_00056,2024-03-13,
VEH_0013,PERSON_00211,2022-11-06,2023-10-01
VEH_0013,PERSON_00397,2023-10-02,
VEH_0014,PERSON_00226,2023-11-11,2024-11-17
VEH_0014,PERSON_00185,2024-11-18,
VEH_0015,PERSON_00410,2023-12-16,
VEH_0016,PERSON_00227,2024-04-04,2025-07-19
VEH_0016,PERSON_00388,2025-07-20,
VEH_0017,PERSON_00395,2022-10-07,
VEH_0018,PERSON_00001,2024-05-22,
VEH_0019,PERSON_00239,2021-03-10,
VEH_0020,PERSON_00363,2022-10-07,
VEH_0021,PERSON_00244,2023-08-27,
VEH_0022,PERSON_00265,2024-05-20,
VEH_0023,PERSON_00003,2021-11-04,
VEH_0024,PERSON_00306,2022-04-27,2023-06-06
VEH_0024,PERSON_00340,2023-06-07,
VEH_0025,PERSON_00429,2023-01-06,
VEH_0026,PERSON_00347,2022-03-01,
VEH_0027,PERSON_00374,2021-06-03,
VEH_0028,PERSON_00249,2021-08-19,
VEH_0029,PERSON_00342,2021-06-11,2022-08-13
VEH_0029,PERSON_00377,2022-08-14,
VEH_0030,PERSON_00079,2022-12-17,
VEH_0031,PERSON_00302,2024-05-14,2026-06-30
VEH_0031,PERSON_00189,2026-07-01,
VEH_0032,PERSON_00151,2024-03-24,
VEH_0033,PERSON_00406,2021-09-21,2023-07-27
VEH_0033,PERSON_00191,2023-07-28,
VEH_0034,PERSON_00034,2021-11-16,
VEH_0035,PERSON_00366,2023-06-29,2024-11-27
VEH_0035,PERSON_00305,2024-11-28,
VEH_0036,PERSON_00365,2022-11-13,2024-08-15
VEH_0036,PERSON_00123,2024-08-16,
VEH_0037,PERSON_00005,2024-03-01,
VEH_0038,PERSON_00090,2021-05-02,
VEH_0039,PERSON_00398,2023-11-01,
VEH_0040,PERSON_00381,2023-06-23,2024-01-25
VEH_0040,PERSON_00033,2024-01-26,
VEH_0041,PERSON_00105,2022-09-11,
VEH_0042,PERSON_00422,2023-01-23,
VEH_0043,PERSON_00209,2023-10-02,2024-12-03
VEH_0043,PERSON_00046,2024-12-04,2026-06-30
VEH_0043,PERSON_00308,2026-07-01,
VEH_0044,PERSON_00309,2023-12-05,
VEH_0045,PERSON_00274,2024-04-18,
VEH_0046,PERSON_00322,2023-05-31,2024-06-01
VEH_0046,PERSON_00011,2024-06-02,
VEH_0047,PERSON_00276,2023-05-15,2024-07-05
VEH_0047,PERSON_00086,2024-07-06,
VEH_0048,PERSON_00127,2022-08-23,
VEH_0049,PERSON_00299,2022-06-19,
VEH_0050,PERSON_00435,2022-05-29,
VEH_0051,PERSON_00430,2024-04-03,
VEH_0052,PERSON_00319,2022-02-10,2024-04-17
VEH_0052,PERSON_00257,2024-04-18,2025-03-15
VEH_0052,PERSON_00060,2025-03-16,
VEH_0053,PERSON_00370,2023-10-22,
VEH_0054,PERSON_00110,2023-08-28,2025-10-03
VEH_0054,PERSON_00262,2025-10-04,2026-06-30
VEH_0054,PERSON_00212,2026-07-01,
VEH_0055,PERSON_00154,2024-05-18,
VEH_0056,PERSON_00309,2023-06-24,
VEH_0057,PERSON_00233,2024-06-12,
VEH_0058,PERSON_00012,2023-04-30,
VEH_0059,PERSON_00009,2023-05-10,
VEH_0060,PERSON_00205,2024-06-03,
VEH_0061,PERSON_00424,2021-09-03,2023-10-15
VEH_0061,PERSON_00299,2023-10-16,2024-05-30
VEH_0061,PERSON_00083,2024-05-31,
VEH_0062,PERSON_00256,2023-06-26,2024-08-15
VEH_0062,PERSON_00105,2024-08-16,
VEH_0063,PERSON_00197,2021-12-07,2023-05-21
VEH_0063,PERSON_00044,2023-05-22,
VEH_0064,PERSON_00070,2023-09-25,2024-03-10
VEH_0064,PERSON_00121,2024-03-11,
VEH_0065,PERSON_00158,2024-02-28,
VEH_0066,PERSON_00418,2022-07-13,
VEH_0067,PERSON_00311,2022-08-03,
VEH_0068,PERSON_00356,2024-01-31,
VEH_0069,PERSON_00444,2022-06-06,
VEH_0070,PERSON_00216,2023-08-22,2025-05-25
VEH_0070,PERSON_00100,2025-05-26,
VEH_0071,PERSON_00076,2022-10-31,2023-08-04
VEH_0071,PERSON_00334,2023-08-05,
VEH_0072,PERSON_00007,2021-05-27,
VEH_0073,PERSON_00419,2021-05-11,2022-02-12
VEH_0073,PERSON_00416,2022-02-13,
VEH_0074,PERSON_00254,2024-05-26,
VEH_0075,PERSON_00013,2023-04-22,2025-02-15
VEH_0075,PERSON_00296,2025-02-16,
VEH_0076,PERSON_00224,2023-03-29,
VEH_0077,PERSON_00182,2022-09-14,
VEH_0078,PERSON_00416,2021-03-03,2023-05-21
VEH_0078,PERSON_00140,2023-05-22,
VEH_0079,PERSON_00247,2023-01-12,2025-02-19
VEH_0079,PERSON_00130,2025-02-20,2026-06-30
