vehicle_id,registration_number,vehicle_type,owner_person_id,color
V0001,MH11AB1001,SUV,P001,White
V0002,MH12AB1002,SEDAN,P002,Black
V0003,MH13AB1003,SUV,P003,Grey
V0004,MH14AB1004,SEDAN,P004,Blue
V0005,MH15AB1005,SUV,P005,Silver
V0006,MH16AB1006,SEDAN,P006,White
V0007,KA17AB1007,SUV,P007,Black
V0008,KA18AB1008,SEDAN,P008,Grey
V0009,TS19AB1009,SUV,P009,Blue
V0010,MH20AB1010,SEDAN,P010,Silver
V0011,MH21AB1011,SUV,P011,White
V0012,TS22AB1012,SEDAN,P012,Black
V0013,RJ23AB1013,SUV,P013,Grey
V0014,KA24AB1014,SEDAN,P014,Blue
V0015,MH25AB1015,SUV,P015,Silver
V0016,MH26AB1016,SEDAN,P016,White
V0017,KA27AB1017,SUV,P017,Black
V0018,MH28AB1018,SEDAN,P018,Grey
V0019,MH29AB1019,SUV,P019,Blue
V0020,KA10AB1020,SEDAN,P020,Silver
V0021,KA11AB1021,SUV,P021,White
V0022,KA12AB1022,SEDAN,P022,Black
V0023,TS13AB1023,SUV,P023,Grey
V0024,RJ14AB1024,SEDAN,P024,Blue
V0025,RJ15AB1025,SUV,P025,Silver
V0026,RJ16AB1026,SEDAN,P026,White
V0027,RJ17AB1027,SUV,P027,Black
V0028,RJ18AB1028,SEDAN,P028,Grey
V0029,RJ19AB1029,SUV,P029,Blue
V0030,RJ20AB1030,SEDAN,P030,Silver
