clip_id,camera_location,timestamp_start,timestamp_end,persons_observed,vehicle_reg,record_nonce
CCTV0224-000,"ICICI Bank, Andheri Lokhandwala",2025-05-18T17:12:00+00:00,2025-05-18T17:14:00+00:00,7,MH02OO0123,E-0224|CR-2019|evidence/CR-2019/CR-2019_CCTV_09.csv
CCTV0224-001,"SBI Main Branch, Ballard Estate",2025-05-18T17:30:00+00:00,2025-05-18T17:32:00+00:00,7,,E-0224|CR-2019|evidence/CR-2019/CR-2019_CCTV_09.csv
CCTV0224-002,"Yes Bank, BKC Branch",2025-05-18T17:48:00+00:00,2025-05-18T17:50:00+00:00,7,MH02QQ8901,E-0224|CR-2019|evidence/CR-2019/CR-2019_CCTV_09.csv
CCTV0224-003,"Kotak Mahindra, Lower Parel",2025-05-18T18:06:00+00:00,2025-05-18T18:08:00+00:00,7,,E-0224|CR-2019|evidence/CR-2019/CR-2019_CCTV_09.csv
CCTV0224-004,"Casino Paradise, Majestic Hotel",2025-05-18T18:24:00+00:00,2025-05-18T18:26:00+00:00,7,MH02SS6789,E-0224|CR-2019|evidence/CR-2019/CR-2019_CCTV_09.csv
CCTV0224-005,"Garage Complex, Sewri",2025-05-18T18:42:00+00:00,2025-05-18T18:44:00+00:00,unknown,,E-0224|CR-2019|evidence/CR-2019/CR-2019_CCTV_09.csv
CCTV0224-006,"A-24, Antop Hill Slum Redevelopment",2025-05-18T19:00:00+00:00,2025-05-18T19:02:00+00:00,unknown,MH02UU4567,E-0224|CR-2019|evidence/CR-2019/CR-2019_CCTV_09.csv
CCTV0224-007,"Film City, Goregaon East",2025-05-18T19:18:00+00:00,2025-05-18T19:20:00+00:00,unknown,,E-0224|CR-2019|evidence/CR-2019/CR-2019_CCTV_09.csv
CCTV0224-008,"Backbay Reclamation, Nariman Point",2025-05-18T19:36:00+00:00,2025-05-18T19:38:00+00:00,unknown,MH02WW2345,E-0224|CR-2019|evidence/CR-2019/CR-2019_CCTV_09.csv
CCTV0224-009,"Cuffe Parade, Tower 4",2025-05-18T19:54:00+00:00,2025-05-18T19:56:00+00:00,unknown,,E-0224|CR-2019|evidence/CR-2019/CR-2019_CCTV_09.csv
CCTV0224-010,"Pali Hill, Bandra West",2025-05-18T20:12:00+00:00,2025-05-18T20:14:00+00:00,unknown,MH02YY0123,E-0224|CR-2019|evidence/CR-2019/CR-2019_CCTV_09.csv
CCTV0224-011,Versova Jetty,2025-05-18T20:30:00+00:00,2025-05-18T20:32:00+00:00,unknown,,E-0224|CR-2019|evidence/CR-2019/CR-2019_CCTV_09.csv
CCTV0224-012,"Dockyard Road, Yellow Gate",2025-05-18T20:48:00+00:00,2025-05-18T20:50:00+00:00,unknown,MH02AAA890,E-0224|CR-2019|evidence/CR-2019/CR-2019_CCTV_09.csv
CCTV0224-013,St. Xavier's College Campus,2025-05-18T21:06:00+00:00,2025-05-18T21:08:00+00:00,unknown,,E-0224|CR-2019|evidence/CR-2019/CR-2019_CCTV_09.csv
CCTV0224-014,Bandra Reclamation Promenade,2025-05-18T21:24:00+00:00,2025-05-18T21:26:00+00:00,unknown,MH02CD5678,E-0224|CR-2019|evidence/CR-2019/CR-2019_CCTV_09.csv

# CrimeLink Demo Dataset v2 — SYNTHETIC data. Not real records.
